symbol,market,purge_note,enrolled,baseline_price,last_price,ret_pct,rsi,rsi_zone,last_checked
BHARATRAS,IN,tuned-model 2026-07-24,2026-07-27,1273.800048828125,1273.800048828125,0.0,35.3,SELL,2026-07-27
IRCON,IN,tuned-model 2026-07-24,2026-07-27,126.4800033569336,126.4800033569336,0.0,36.3,SELL,2026-07-27
URJA,IN,tuned-model 2026-07-24,2026-07-27,9.100000381469727,9.100000381469727,0.0,34.1,SELL,2026-07-27
FIRSTCRY,IN,tuned-model 2026-07-24,2026-07-27,213.50999450683594,213.50999450683594,0.0,48.6,HOLD,2026-07-27
INDIAMART,IN,tuned-model 2026-07-24,2026-07-27,1759.699951171875,1759.699951171875,0.0,28.7,SELL,2026-07-27
CELLO,IN,tuned-model 2026-07-24,2026-07-27,345.04998779296875,345.04998779296875,0.0,33.8,SELL,2026-07-27
NFL,IN,tuned-model 2026-07-24,2026-07-27,71.04000091552734,71.04000091552734,0.0,37.2,SELL,2026-07-27
GSFC,IN,tuned-model 2026-07-24,2026-07-27,160.0800018310547,160.0800018310547,0.0,49.3,HOLD,2026-07-27
SJVN,IN,tuned-model 2026-07-24,2026-07-27,68.04000091552734,68.04000091552734,0.0,32.6,SELL,2026-07-27
HSY,US,tuned-model 2026-07-24,2026-07-27,174.3000030517578,174.3000030517578,0.0,47.5,HOLD,2026-07-27
ASO,US,tuned-model 2026-07-24,2026-07-27,46.58000183105469,46.58000183105469,0.0,42.9,HOLD,2026-07-27
PEP,US,tuned-model 2026-07-24,2026-07-27,136.63999938964844,136.63999938964844,0.0,44.6,HOLD,2026-07-27
NRP,US,tuned-model 2026-07-24,2026-07-27,98.0,98.0,0.0,43.6,HOLD,2026-07-27
RAILTEL,IN,evicted 2026-07-23 after 14 sessions in sell zone,2026-07-27,288.54998779296875,288.54998779296875,0.0,35.6,SELL,2026-07-27
SKFINDIA,IN,evicted 2026-07-23 after 14 sessions in sell zone,2026-07-27,1481.4000244140625,1481.4000244140625,0.0,35.8,SELL,2026-07-27
FINPIPE,IN,evicted 2026-07-23 after 13 sessions in sell zone,2026-07-27,163.8300018310547,163.8300018310547,0.0,41.4,HOLD,2026-07-27
