symbol
AAPL
MSFT
GOOGL
AMZN
NVDA
TSLA
BRK.B
JNJ
V
WMT
JPM
MA
PG
ORCL
AVGO
LLY
ABBV
COST
META
KO
PEP
NFLX
BA
MMM
IBM
INTC
AMD
CSCO
CAT
CVX
XOM
PM
TMO
HON
ADBE
QCOM
CRM
NOW
SNOW
AZO
