Symbol,downtrend,distress,blowup,untradeable,excluded,Company Name,Industry
EIHOTEL,True,False,False,False,True,EIH Ltd.,Consumer Services
ELECON,True,False,False,False,True,Elecon Engineering Co. Ltd.,Capital Goods
ELGIEQUIP,False,False,False,False,False,Elgi Equipments Ltd.,Capital Goods
EMAMILTD,True,True,False,False,True,Emami Ltd.,Fast Moving Consumer Goods
EMCURE,False,False,False,False,False,Emcure Pharmaceuticals Ltd.,Healthcare
EMMVEE,False,False,False,False,False,Emmvee Photovoltaic Power Ltd.,Capital Goods
ENGINERSIN,False,False,False,False,False,Engineers India Ltd.,Construction
ERIS,False,False,False,False,False,Eris Lifesciences Ltd.,Healthcare
FACT,True,False,False,False,True,Fertilisers and Chemicals Travancore Ltd.,Chemicals
FINCABLES,False,False,False,False,False,Finolex Cables Ltd.,Capital Goods
FSL,True,False,False,False,True,Firstsource Solutions Ltd.,Services
FIVESTAR,False,False,False,False,False,Five-Star Business Finance Ltd.,Financial Services
FORCEMOT,True,False,False,False,True,Force Motors Ltd.,Automobile and Auto Components
GABRIEL,False,False,False,False,False,Gabriel India Ltd.,Automobile and Auto Components
GALLANTT,True,False,True,False,True,Gallantt Ispat Ltd.,Capital Goods
GRSE,False,False,False,False,False,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods
GILLETTE,True,False,False,False,True,Gillette India Ltd.,Fast Moving Consumer Goods
GLAND,False,False,False,False,False,Gland Pharma Ltd.,Healthcare
GODIGIT,True,False,False,False,True,Go Digit General Insurance Ltd.,Financial Services
GPIL,True,False,False,False,True,Godawari Power & Ispat Ltd.,Capital Goods
GRANULES,False,False,False,False,False,Granules India Ltd.,Healthcare
GRAPHITE,False,False,False,False,False,Graphite India Ltd.,Capital Goods
GRAVITA,False,False,False,False,False,Gravita India Ltd.,Metals & Mining
GESHIP,False,False,False,False,False,Great Eastern Shipping Co. Ltd.,Services
GMDCLTD,True,False,False,False,True,Gujarat Mineral Development Corporation Ltd.,Metals & Mining
HEG,False,False,False,False,False,H.E.G. Ltd.,Capital Goods
HBLENGINE,True,False,False,False,True,HBL Engineering Ltd.,Capital Goods
HFCL,False,False,True,False,True,HFCL Ltd.,Telecommunication
HSCL,False,False,False,False,False,Himadri Speciality Chemical Ltd.,Chemicals
HINDCOPPER,False,False,True,False,True,Hindustan Copper Ltd.,Metals & Mining
HOMEFIRST,False,False,False,False,False,Home First Finance Company India Ltd.,Financial Services
HONASA,False,False,False,False,False,Honasa Consumer Ltd.,Fast Moving Consumer Goods
IDBI,True,False,True,False,True,IDBI Bank Ltd.,Financial Services
IFCI,False,False,True,False,True,IFCI Ltd.,Financial Services
IIFL,False,False,False,False,False,IIFL Finance Ltd.,Financial Services
IRB,True,False,False,False,True,IRB Infrastructure Developers Ltd.,Construction
IRCON,True,True,False,False,True,IRCON International Ltd.,Construction
ITI,True,False,False,False,True,ITI Ltd.,Telecommunication
INDGN,True,False,False,False,True,Indegene Ltd.,Healthcare
INDIACEM,False,False,False,False,False,India Cements Ltd.,Construction Materials
INDIAMART,True,False,False,False,True,Indiamart Intermesh Ltd.,Consumer Services
IEX,True,False,False,False,True,Indian Energy Exchange Ltd.,Financial Services
IOB,True,True,False,False,True,Indian Overseas Bank,Financial Services
IGL,True,False,False,False,True,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels
INOXWIND,True,True,False,False,True,Inox Wind Ltd.,Capital Goods
INTELLECT,True,False,False,False,True,Intellect Design Arena Ltd.,Information Technology
IGIL,False,False,False,False,False,International Gemological Institute Ltd.,Services
IKS,False,False,False,False,False,Inventurus Knowledge Solutions Ltd.,Information Technology
JBMA,False,False,False,False,False,JBM Auto Ltd.,Automobile and Auto Components
JKTYRE,True,False,False,False,True,JK Tyre & Industries Ltd.,Automobile and Auto Components
JMFINANCIL,True,False,False,False,True,JM Financial Ltd.,Financial Services
JSWCEMENT,False,False,False,False,False,JSW Cement Ltd.,Construction Materials
JSWDULUX,True,False,False,False,True,JSW Dulux Ltd.,Consumer Durables
JAINREC,True,False,True,False,True,Jain Resource Recycling Ltd.,Metals & Mining
JPPOWER,False,False,True,False,True,Jaiprakash Power Ventures Ltd.,Power
J&KBANK,False,False,False,False,False,Jammu & Kashmir Bank Ltd.,Financial Services
JINDALSAW,False,False,True,False,True,Jindal Saw Ltd.,Capital Goods
JUBLINGREA,False,False,False,False,False,Jubilant Ingrevia Ltd.,Chemicals
JUBLPHARMA,False,False,False,False,False,Jubilant Pharmova Ltd.,Healthcare
JWL,True,True,False,False,True,Jupiter Wagons Ltd.,Capital Goods
JYOTICNC,True,False,False,False,True,Jyoti CNC Automation Ltd.,Capital Goods
KAJARIACER,False,False,False,False,False,Kajaria Ceramics Ltd.,Consumer Durables
KPIL,False,False,False,False,False,Kalpataru Projects International Ltd.,Construction
KARURVYSYA,False,False,False,False,False,Karur Vysya Bank Ltd.,Financial Services
KAYNES,True,True,False,False,True,Kaynes Technology India Ltd.,Capital Goods
KEC,True,True,False,False,True,Kec International Ltd.,Construction
KFINTECH,True,False,False,False,True,Kfin Technologies Ltd.,Financial Services
KIRLOSENG,False,False,False,False,False,Kirloskar Oil Eng Ltd.,Capital Goods
KIMS,False,False,False,False,False,Krishna Institute of Medical Sciences Ltd.,Healthcare
LTFOODS,True,False,False,False,True,LT Foods Ltd.,Fast Moving Consumer Goods
LATENTVIEW,True,False,False,False,True,Latent View Analytics Ltd.,Information Technology
THELEELA,False,False,False,False,False,Leela Palaces Hotels & Resorts Ltd.,Consumer Services
LEMONTREE,True,False,False,False,True,Lemon Tree Hotels Ltd.,Consumer Services
MMTC,True,False,False,False,True,MMTC Ltd.,Services
MGL,True,False,False,False,True,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels
MANAPPURAM,False,False,False,False,False,Manappuram Finance Ltd.,Financial Services
MRPL,False,False,True,False,True,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels
MEESHO,False,False,False,False,False,Meesho Ltd.,Consumer Services
MINDACORP,False,False,False,False,False,Minda Corporation Ltd.,Automobile and Auto Components
MSUMI,True,False,False,False,True,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components
NATCOPHARM,False,False,False,False,False,NATCO Pharma Ltd.,Healthcare
NBCC,True,False,False,False,True,NBCC (India) Ltd.,Construction
NCC,True,True,False,False,True,NCC Ltd.,Construction
NSLNISP,False,False,False,False,False,NMDC Steel Ltd.,Metals & Mining
NH,False,False,False,False,False,Narayana Hrudayalaya Ltd.,Healthcare
NAVA,True,False,False,False,True,Nava Ltd.,Power
