date,event,symbol,market,detail
2026-07-27,enroll,ASTRAZEN,IN,baseline=8167.5
2026-07-27,enroll,BHARATRAS,IN,baseline=1273.800048828125
2026-07-27,enroll,IRCON,IN,baseline=126.4800033569336
2026-07-27,enroll,URJA,IN,baseline=9.100000381469727
2026-07-27,enroll,FIRSTCRY,IN,baseline=213.50999450683594
2026-07-27,enroll,INDIAMART,IN,baseline=1759.699951171875
2026-07-27,enroll,CELLO,IN,baseline=345.04998779296875
2026-07-27,enroll,NFL,IN,baseline=71.04000091552734
2026-07-27,enroll,GSFC,IN,baseline=160.0800018310547
2026-07-27,enroll,SJVN,IN,baseline=68.04000091552734
2026-07-27,enroll,HSY,US,baseline=174.3000030517578
2026-07-27,enroll,ASO,US,baseline=46.58000183105469
2026-07-27,enroll,PEP,US,baseline=136.63999938964844
2026-07-27,enroll,NRP,US,baseline=98.0
2026-07-27,enroll,RAILTEL,IN,baseline=288.54998779296875
2026-07-27,enroll,SKFINDIA,IN,baseline=1481.4000244140625
2026-07-27,enroll,FINPIPE,IN,baseline=163.8300018310547
2026-07-27,enroll,LOYALTEX,IN,baseline=203.94000244140625
2026-07-27,enroll,SCI,IN,baseline=283.79998779296875
2026-07-27,enroll,SUPREME,IN,baseline=44.58000183105469
2026-07-27,enroll,VBL,IN,baseline=464.5
2026-07-27,enroll,CANBK,IN,baseline=127.26000213623047
2026-07-27,enroll,LGBBROSLTD,IN,baseline=1553.800048828125
2026-07-27,enroll,7280.T,JP,baseline=1172.0
2026-07-27,enroll,6047.T,JP,baseline=355.0
2026-07-27,enroll,FACT,US,baseline=10.649999618530273
2026-07-27,enroll,RPM,US,baseline=107.0
2026-07-27,enroll,SOJE,US,baseline=16.540000915527344
2026-07-27,enroll,CHTR,US,baseline=123.30999755859375
2026-07-27,enroll,SHOE,US,baseline=14.550000190734863
2026-07-27,enroll,NXTT,US,baseline=0.6140000224113464
