,pred_fwd_ret
PEG,0.03538871907375724
ASLE,0.03179440023913136
AOS,0.03179440023913136
RPM,0.029351769888387204
HSY,0.02857166243365808
ASO,0.02796364826932171
FERG,0.02704410253985117
PEP,0.02704410253985117
AFYA,0.02704410253985117
PCYO,0.02704410253985117
CNH,0.026909039119979203
NRP,0.02681206020310383
DUKB,0.02643608837551481
UDN,0.02643608837551481
MMT,0.02643608837551481
