yr,sector,pe,roe,n
2016,Communication Services,17.91462350748255,0.1041911469724508,28
2016,Consumer Discretionary,14.74365184451416,0.13951591612186368,143
2016,Consumer Staples,18.974176388139426,0.17536002490307948,58
2016,Energy,19.843800761666145,0.07860701164274475,16
2016,Financials,13.35672751058273,0.09269658176377611,267
2016,Health Care,24.378466304325762,0.11999542121066333,86
2016,Industrials,19.917656307151546,0.13272078436310258,187
2016,Information Technology,20.4008381275815,0.11099754984519267,113
2016,Materials,17.223262939462373,0.14885946409629008,46
2016,Real Estate,18.92492526671088,0.0702466865461766,78
2016,Utilities,16.891060005390557,0.09632671179669293,29
2017,Communication Services,14.35819131938424,0.16563242702568365,30
2017,Consumer Discretionary,16.980319531666414,0.14441905288183202,144
2017,Consumer Staples,20.959447383766413,0.16656570857437078,59
2017,Energy,14.409057091577562,0.09600733210588777,34
2017,Financials,14.938836520857443,0.08596575327262904,290
2017,Health Care,32.71854235033948,0.10835401157981803,87
2017,Industrials,19.32857067071538,0.14875780198262148,187
2017,Information Technology,27.67309573469735,0.11543705670378579,114
2017,Materials,19.532721589210638,0.15593459097313211,50
2017,Real Estate,19.61281394822416,0.06898983305986127,76
2017,Utilities,18.686287897237904,0.10394580508888035,31
2018,Communication Services,21.891375986735028,0.11683793187151063,33
2018,Consumer Discretionary,12.142642601898416,0.15143407534246575,149
2018,Consumer Staples,17.84525848058132,0.1723269816730995,62
2018,Energy,7.090249172213847,0.16032512663446813,41
2018,Financials,9.916949639493765,0.10452312294105685,306
2018,Health Care,25.652425647354846,0.13168901329917881,96
2018,Industrials,14.466436119305197,0.14990788956898543,202
2018,Information Technology,18.581297588909404,0.12426759715106722,121
2018,Materials,12.563234642523721,0.16512898184763947,56
2018,Real Estate,18.08646023509902,0.07366993706237931,92
2018,Utilities,17.15277924211058,0.09568209048414587,35
2019,Communication Services,19.8758953539418,0.12494290114781485,30
2019,Consumer Discretionary,14.841533950530096,0.14632187769205124,148
2019,Consumer Staples,20.894183426989272,0.14213967769475674,59
2019,Energy,14.97618023439066,0.07029758825724054,35
2019,Financials,10.836583091092843,0.10312585271824697,325
2019,Health Care,28.314067981310394,0.1283255455389311,91
2019,Industrials,18.535010748614383,0.13834547761835658,206
2019,Information Technology,25.754144982015056,0.13245332320346193,116
2019,Materials,15.945079011008161,0.14140585268465855,54
2019,Real Estate,23.24131866123033,0.06550594510238211,84
2019,Utilities,21.278430605119013,0.09231051360448506,36
2020,Communication Services,14.128884714254056,0.17552016377920607,26
2020,Consumer Discretionary,15.525153403785318,0.14692286125219406,116
2020,Consumer Staples,24.25106724192587,0.153680016455513,53
2020,Energy,15.586170619879237,0.09075707240555886,12
2020,Financials,10.352873202248517,0.09029192124915139,315
2020,Health Care,25.915051786266872,0.1660131248950182,83
2020,Industrials,22.701876010627757,0.1364858761482872,170
2020,Information Technology,34.98171246247789,0.12195830241123244,111
2020,Materials,22.84147607979381,0.11716555928488252,51
2020,Real Estate,26.67818725171965,0.05977249649980576,72
2020,Utilities,17.414914830966502,0.09274174016984507,33
2021,Communication Services,23.587706730797734,0.15504857063576816,34
2021,Consumer Discretionary,12.849690816238237,0.21749520895365376,145
2021,Consumer Staples,21.483715520902745,0.1543763649501108,63
2021,Energy,12.502103393294943,0.10045690997228164,43
2021,Financials,9.427174335682231,0.12072986790430698,364
2021,Health Care,30.371252221175133,0.15424448284296322,111
2021,Industrials,22.603561128173023,0.14292221942724753,216
2021,Information Technology,25.1818386966235,0.15572138636942162,135
2021,Materials,15.749523761064214,0.17393933952854918,68
2021,Real Estate,29.1874192443084,0.07240207838493957,77
2021,Utilities,17.352843901704485,0.10034923951484709,36
2022,Communication Services,23.55598713112943,0.09194780068420311,33
2022,Consumer Discretionary,9.350649731201466,0.2402904229572433,159
