market,regime,factor,mean_excess,info_ratio,mean_book,hit,n
IN,bull,trend,0.3023772020369189,2.342081001265326,1.0964001275724304,0.716012084592145,331
IN,bull,revert,-0.037050829790013506,-0.2759664672782717,0.7569720957454978,0.4743202416918429,331
IN,bull,mom126,0.27713007862381517,1.6567166544565348,1.0711530041593267,0.6404833836858006,331
IN,bull,mom_st,0.19722909737824992,1.2788354842764638,0.9912520229137612,0.6163141993957704,331
IN,bull,golden_cross,0.1767675989591788,1.5866489375928285,0.9707905244946903,0.6978851963746223,331
IN,bull,breakout,0.44455486000002636,2.0654307582973352,1.2385777855355378,0.6888217522658611,331
IN,bull,lowvol,-0.04128686090601276,-0.2096335828232324,0.7527360646294987,0.459214501510574,331
IN,bull,mom252,0.31168059345871485,1.759334290900832,1.183733894042888,0.6451612903225806,310
IN,bull,qual_mom,0.13853534233817208,0.4542465377870592,0.9325582678736835,0.5105740181268882,331
IN,bull,def_revert,-0.051114587149888875,-0.22884499381556342,0.7429083383856226,0.4743202416918429,331
IN,bear,trend,0.06740581490861768,0.14888198401215058,0.13482593325343947,0.5699481865284974,193
IN,bear,revert,0.12285970816445124,0.5139328534691604,0.19027982650927303,0.5284974093264249,193
IN,bear,mom126,0.10527670970813796,0.3708351660726458,0.1726968280529596,0.6476683937823834,193
IN,bear,mom_st,-0.20382478953220265,-0.8644566255425233,-0.13640467118738098,0.43523316062176165,193
IN,bear,golden_cross,0.22601449510612398,0.6519706304936097,0.29343461345094574,0.6528497409326425,193
IN,bear,breakout,0.2873670258563214,0.4780015853186488,0.3816815411443278,0.6041666666666666,192
IN,bear,lowvol,0.05927072793370698,0.1896268611818529,0.1266908462785287,0.5647668393782384,193
IN,bear,mom252,0.18019845410758123,0.5997774806123144,0.20563241195424858,0.6526315789473685,190
IN,bear,qual_mom,0.1173290187154616,0.24006143224812576,0.18474913706028342,0.5595854922279793,193
IN,bear,def_revert,0.22919421745571347,0.863078623226888,0.2626244748540375,0.5729166666666666,192
US,bull,trend,0.11406592389942313,0.6765053165371377,0.2724387929413078,0.5907928388746803,391
US,bull,revert,-0.07106470497391457,-0.3097149292115182,0.08730816406797012,0.48081841432225064,391
US,bull,mom126,0.1509940412524803,0.737359946945148,0.3058948870356924,0.6048387096774194,372
US,bull,mom_st,-0.046040922494023494,-0.25153261969690427,0.11233194654786119,0.4680306905370844,391
US,bull,golden_cross,0.1939341766409235,1.1769275605813287,0.3523070456828082,0.6163682864450127,391
US,bull,breakout,0.21246192209266632,0.7498679462204132,0.3673627678758783,0.5725806451612904,372
US,bull,lowvol,0.22744195368313552,0.6922112787700444,0.3838784228234288,0.5282051282051282,390
US,bull,mom252,0.2672587707252208,1.18786802824809,0.39693027345942433,0.6455331412103746,347
US,bull,qual_mom,0.29363267104186913,0.836757002522924,0.4485335168250812,0.5618279569892473,372
US,bull,def_revert,0.333184684675899,1.0368273582693561,0.4896211538161923,0.5717948717948718,390
US,bear,trend,-0.4264318675365287,-0.9147375243432492,0.051799795282468974,0.4921875,128
US,bear,revert,0.14696589149298198,0.47551730465183695,0.6251975543119795,0.546875,128
US,bear,mom126,0.02265469283138134,0.06274791148703338,0.4393708240016745,0.5748031496062992,127
US,bear,mom_st,-0.2223867624185269,-0.8072098347234703,0.25584490040047064,0.453125,128
US,bear,golden_cross,0.07797774560965451,0.1884538321697511,0.5562094084286521,0.609375,128
US,bear,breakout,-0.5263875587368054,-0.7890900140558358,-0.10967142756651202,0.5039370078740157,127
US,bear,lowvol,-0.04447050747733171,-0.11371253567147749,0.43376115534166587,0.515625,128
US,bear,mom252,0.1182918805318278,0.3553166445211476,0.5350080117021211,0.6062992125984252,127
US,bear,qual_mom,-0.11233828021787397,-0.22085175869002535,0.30437785095241926,0.5590551181102362,127
US,bear,def_revert,0.21352658452514847,0.5519180632961983,0.7409885761933255,0.5748031496062992,127
