Industry,nfirms,pct_losing,pe,roe,peg,spec_score
Drugs (Biotechnology),496,0.8951612903225806,64.27555677843166,-0.02041448297433609,0.8417239925560009,0.9018518518518519
Environmental & Waste Services,53,0.7924528301886793,66.54956588056456,0.03302827594217982,2.810428446325201,0.8296296296296296
Entertainment,92,0.8260869565217391,108.63059346458422,0.09685646096610775,5.643034807202191,0.8074074074074074
Software (System & Application),309,0.7022653721682848,79.1742086869903,-0.0027743512545546603,1.648071184235083,0.7907407407407407
Telecom. Equipment,57,0.6842105263157895,84.71608418708595,0.060919045790085724,0.8710202863717926,0.7592592592592593
Drugs (Pharmaceutical),228,0.8464912280701754,55.667674074614986,0.08852780385685709,1.4011337458240092,0.7481481481481481
Advertising,52,0.7884615384615384,44.43335288410666,0.027981540341718257,11.16463166097437,0.7444444444444445
Healthcare Support Services,104,0.625,83.7666088261665,0.04175865369874985,1.676480166703793,0.7388888888888888
Heathcare Information and Technology,115,0.7652173913043478,506.5468687021162,0.15125482020318373,3.3372116265190117,0.7324074074074074
Electrical Equipment,112,0.75,80.03961165936393,0.08794313296065316,2.5047908808654293,0.7277777777777779
Real Estate (Operations & Services),54,0.5925925925925926,107.33525597759802,0.03227092004740503,1.328434882954209,0.7129629629629629
Auto & Truck,33,0.8181818181818181,64.32031076304214,0.11954193142755853,11.708656275174,0.7055555555555556
Retail (Special Lines),94,0.6170212765957447,314.0097616349124,0.08922189773638711,3.0833930074317233,0.6879629629629631
Healthcare Products,204,0.7598039215686274,43.06516270029824,0.05882743627981346,2.742588047500532,0.6870370370370371
Metals & Mining,73,0.8493150684931507,54.117601415189604,0.13124289253584867,0.855616892040423,0.6833333333333333
Chemical (Specialty),59,0.5932203389830508,196.77408940834607,0.08207714218223663,2.740712253926142,0.6685185185185185
Recreation,49,0.5714285714285714,119.01498691997652,0.04415922295053634,1.8278747282016843,0.662962962962963
Total Market (without financials),4822,0.6397760265450021,61.558599091216195,0.08572047215229076,2.109976375706599,0.6407407407407408
Household Products,110,0.7181818181818183,33.071795886517144,0.07432664051274672,2.4493089179371963,0.5925925925925926
Semiconductor,66,0.6212121212121212,100.18440334282509,0.19407742341954048,2.1336427828448143,0.5888888888888889
Computers/Peripherals,36,0.6111111111111112,81.1319884247503,0.10891617097058628,1.3504826567838284,0.5796296296296296
Investments & Asset Management,283,0.5759717314487632,75.30490832859047,0.07558349621458933,1.5326995496766513,0.575925925925926
Electronics (General),114,0.5964912280701755,48.44335194607289,0.08439519751773884,2.2721128296707453,0.5462962962962963
Retail (Automotive),34,0.5588235294117647,54.82641508404895,0.037302489651165185,1.34766279098958,0.5462962962962963
