symbol,market,filter,detail,score,signal_date,as_of,held_days,entry_used,basis,ret_pct,xret_pct,provenance,source
DATAMATICS,IN,golden_cross_hist,GC _20260715_0722,,2026-07-15,2026-07-20,5,853.5,panel-close,-1.8453427065026395,-1.6381317683855978,backfilled,indian_full_scan_20260715_0722.xlsx
IGARASHI,IN,golden_cross_hist,GC _20260715_1917,,2026-07-15,2026-07-20,5,465.8999938964844,panel-close,-2.897617552448284,-2.690406614331242,backfilled,indian_full_scan_20260715_1917.xlsx
GKCONS,IN,golden_cross_hist,GC _20260715_0722,,2026-07-15,2026-07-20,5,11.510000228881836,panel-close,-3.21459494527766,-3.0073840071606184,backfilled,indian_full_scan_20260715_0722.xlsx
AUSTENG,IN,golden_cross_hist,GC _20260715_0708,,2026-07-15,2026-07-20,5,166.8000030517578,panel-close,-3.29736204998351,-3.090151111866468,backfilled,indian_full_scan_20260715_0708.xlsx
TOTEM,IN,golden_cross_hist,GC _20260715_0722,,2026-07-15,2026-07-20,5,150.60000610351562,panel-close,-3.4196606550822795,-3.2124497169652377,backfilled,indian_full_scan_20260715_0722.xlsx
AJAXENGG,IN,golden_cross_hist,GC _20260715_1043,,2026-07-15,2026-07-20,5,615.2000122070312,panel-close,-3.4704220086895776,-3.263211070572536,backfilled,indian_full_scan_20260715_1043.xlsx
GANESHHOU,IN,golden_cross_hist,GC _20260715_0722,,2026-07-15,2026-07-20,5,847.9500122070312,panel-close,-3.579224740158815,-3.3720138020417734,backfilled,indian_full_scan_20260715_0722.xlsx
TRABI,IN,golden_cross_hist,GC _20260715_0722,,2026-07-15,2026-07-20,5,3.1600000858306885,panel-close,-5.69620448949717,-5.488993551380128,backfilled,indian_full_scan_20260715_0722.xlsx
ROTO,IN,golden_cross_hist,GC _20260717_0030,,2026-07-17,2026-07-20,3,65.05000305175781,panel-close,6.487307291824274,7.555504050215445,backfilled,indian_full_scan_20260717_0030.xlsx
WINDLAS,IN,golden_cross_hist,GC _20260717_0030,,2026-07-17,2026-07-20,3,844.25,panel-close,3.2336378789421083,4.301834637333279,backfilled,indian_full_scan_20260717_0030.xlsx
PICCADIL,IN,golden_cross_hist,GC _20260717_0030,,2026-07-17,2026-07-20,3,729.5499877929688,panel-close,3.022409452664676,4.090606211055848,backfilled,indian_full_scan_20260717_0030.xlsx
FOSECOIND,IN,golden_cross_hist,GC _20260717_0030,,2026-07-17,2026-07-20,3,5058.0,panel-close,1.56188216686437,2.630078925255541,backfilled,indian_full_scan_20260717_0030.xlsx
NAZARA,IN,golden_cross_hist,GC _20260717_0030,,2026-07-17,2026-07-20,3,304.6499938964844,panel-close,1.5099314609140047,2.5781282193051758,backfilled,indian_full_scan_20260717_0030.xlsx
BLUEJET,IN,golden_cross_hist,GC _20260717_0030,,2026-07-17,2026-07-20,3,584.5499877929688,panel-close,0.8468073407580601,1.9150040991492312,backfilled,indian_full_scan_20260717_0030.xlsx
RAMCOIND,IN,golden_cross_hist,GC _20260717_0030,,2026-07-17,2026-07-20,3,353.45001220703125,panel-close,0.2546311685956981,1.3228279269868692,backfilled,indian_full_scan_20260717_0030.xlsx
PRICOLLTD,IN,golden_cross_hist,GC _20260717_0030,,2026-07-17,2026-07-20,3,615.2999877929688,panel-close,-0.2762899789952922,0.791906779395879,backfilled,indian_full_scan_20260717_0030.xlsx
APTUS,IN,golden_cross_hist,GC _20260717_0030,,2026-07-17,2026-07-20,3,306.8500061035156,panel-close,-0.45624698342423553,0.6119497749669356,backfilled,indian_full_scan_20260717_0030.xlsx
FDC,IN,golden_cross_hist,GC _20260717_0030,,2026-07-17,2026-07-20,3,420.1000061035156,panel-close,-0.5236877350792368,0.5445090233119343,backfilled,indian_full_scan_20260717_0030.xlsx
HARIOMPIPE,IN,golden_cross_hist,GC _20260717_0030,,2026-07-17,2026-07-20,3,403.54998779296875,panel-close,-0.9168583326413793,0.15133842574979184,backfilled,indian_full_scan_20260717_0030.xlsx
CHOLAFIN,IN,golden_cross_hist,GC _20260717_0030,,2026-07-17,2026-07-20,3,1804.9000244140625,panel-close,-1.2244431983490012,-0.15624643995783005,backfilled,indian_full_scan_20260717_0030.xlsx
JINDWORLD,IN,golden_cross_hist,GC _20260717_0030,,2026-07-17,2026-07-20,3,32.20000076293945,panel-close,-2.0186382312978868,-0.9504414729067157,backfilled,indian_full_scan_20260717_0030.xlsx
PPL,IN,golden_cross_hist,GC _20260717_0030,,2026-07-17,2026-07-20,3,257.0,panel-close,-2.665372024714252,-1.597175266323081,backfilled,indian_full_scan_20260717_0030.xlsx
ONMOBILE,IN,golden_cross_hist,GC _20260717_0030,,2026-07-17,2026-07-20,3,63.150001525878906,panel-close,-3.9429954367402376,-2.8747986783490664,backfilled,indian_full_scan_20260717_0030.xlsx
JLHL,IN,golden_cross_hist,GC _20260720_2053,,2026-07-20,2026-07-20,0,1558.0999755859375,panel-close,0.0,,backfilled,indian_full_scan_20260720_2053.xlsx
VINCOFE,IN,golden_cross_hist,GC _20260720_2053,,2026-07-20,2026-07-20,0,158.92999267578125,panel-close,0.0,,backfilled,indian_full_scan_20260720_2053.xlsx
INDHOTEL,IN,golden_cross_hist,GC _20260720_2053,,2026-07-20,2026-07-20,0,725.0499877929688,panel-close,0.0,,backfilled,indian_full_scan_20260720_2053.xlsx
IKIO,IN,golden_cross_hist,GC _20260720_2053,,2026-07-20,2026-07-20,0,214.3699951171875,panel-close,0.0,,backfilled,indian_full_scan_20260720_2053.xlsx
NAVKARCORP,IN,golden_cross_hist,GC _20260720_0030,,2026-07-20,2026-07-20,0,104.30999755859375,panel-close,0.0,,backfilled,indian_full_scan_20260720_0030.xlsx
EIMCOELECO,IN,golden_cross_hist,GC _20260720_0030,,2026-07-20,2026-07-20,0,1822.300048828125,panel-close,0.0,,backfilled,indian_full_scan_20260720_0030.xlsx
MAITHANALL,IN,golden_cross_hist,GC _20260720_0030,,2026-07-20,2026-07-20,0,1012.5,panel-close,0.0,,backfilled,indian_full_scan_20260720_0030.xlsx
KMEW,IN,golden_cross_hist,GC _20260720_0030,,2026-07-20,2026-07-20,0,2445.300048828125,panel-close,0.0,,backfilled,indian_full_scan_20260720_0030.xlsx
UDS,IN,golden_cross_hist,GC _20260720_0030,,2026-07-20,2026-07-20,0,193.52000427246094,panel-close,0.0,,backfilled,indian_full_scan_20260720_0030.xlsx
PRINCEPIPE,IN,golden_cross_hist,GC _20260720_0030,,2026-07-20,2026-07-20,0,267.5,panel-close,0.0,,backfilled,indian_full_scan_20260720_0030.xlsx
PPLPHARMA,IN,golden_cross_hist,GC _20260720_0030,,2026-07-20,2026-07-20,0,178.8699951171875,panel-close,0.0,,backfilled,indian_full_scan_20260720_0030.xlsx
TARIL,IN,golden_cross_hist,GC _20260720_2053,,2026-07-20,2026-07-20,0,333.6000061035156,panel-close,0.0,,backfilled,indian_full_scan_20260720_2053.xlsx
9997,JP,golden_cross_hist,GC _20260715_1919,,2026-07-15,2026-07-21,6,1045.0,panel-close,2.775119617224875,,backfilled,japan_market_scan_20260715_1919.xlsx
9202,JP,golden_cross_hist,GC _20260715_1050,,2026-07-15,2026-07-21,6,3004.0,panel-close,1.5978695073235683,,backfilled,japan_market_scan_20260715_1050.xlsx
9082,JP,golden_cross_hist,GC _20260715_1919,,2026-07-15,2026-07-21,6,1537.0,panel-close,0.8458035133376729,,backfilled,japan_market_scan_20260715_1919.xlsx
