Symbol,ebit,capital_employed,roace,turnover,tier,roace_pct
CDSL,6091590000.0,20480888000.0,0.29742802167562266,2239916540.8,LARGE,29.742802167562267
CUMMINSIND,30983600000.0,88645100000.0,0.3495241135719854,2362294627.25,LARGE,34.952411357198535
HEROMOTOCO,75138500000.0,235482600000.0,0.3190830235439901,2740429662.85,LARGE,31.90830235439901
TEJASNET,-10747700000.0,36491300000.0,-0.2945277367482112,2052750158.6999998,LARGE,-29.45277367482112
AMBER,6208099000.0,80655803000.0,0.07697027081857954,2527075694.75,LARGE,7.6970270818579545
ATGL,9944800000.0,73180400000.0,0.13589431049843947,2005429860.4,LARGE,13.589431049843947
NATIONALUM,71206200000.0,193839600000.0,0.367345991221608,3427679366.9,LARGE,36.7345991221608
COFORGE,21014000000.0,112120000000.0,0.187424188369604,4123716651.3500004,LARGE,18.7424188369604
DIVISLAB,34110000000.0,179900000000.0,0.1896053362979433,2188669639.5,LARGE,18.96053362979433
HINDCOPPER,12376300000.0,35727000000.0,0.3464130769446077,2092269391.2,LARGE,34.64130769446077
BEL,80596900000.0,252777700000.0,0.318844977227026,4825846880.6,LARGE,31.884497722702598
TATASTEEL,231357500000.0,2043364700000.0,0.11322379211111946,5372563715.06,LARGE,11.322379211111947
PARAS,1223300000.0,7508200000.0,0.162928531472257,2246230132.15,LARGE,16.2928531472257
CGPOWER,16384000000.0,84678300000.0,0.19348522584888928,3147083811.7,LARGE,19.348522584888926
DLF,31152918000.0,492737760000.0,0.06322413366493365,2149883361.475,LARGE,6.3224133664933655
POLICYBZR,7444600000.0,77145500000.0,0.09650076802924344,2661638181.1499996,LARGE,9.650076802924344
COALINDIA,431393500000.0,2180091600000.0,0.1978786120729973,3649189683.5,LARGE,19.78786120729973
INFY,4553000000.0,10930000000.0,0.41655992680695336,13513770465.25,LARGE,41.655992680695334
LODHA,50757000000.0,278299000000.0,0.18238297658274014,2084023121.125,LARGE,18.238297658274014
KALYANKJIL,22348580000.0,81489030000.0,0.27425262026066577,1925441649.075,LARGE,27.425262026066576
IDEA,560430000000.0,1519490000000.0,0.36882769876734955,7455252293.61,LARGE,36.882769876734955
ASIANPAINT,61988500000.0,253974600000.0,0.24407361996042123,2747119556.6499996,LARGE,24.407361996042123
NTPC,409344500000.0,4415210200000.0,0.09271234696821457,3997535897.6,LARGE,9.271234696821457
GRSE,7136125000.0,22049843000.0,0.3236360911957514,3053089722.5,LARGE,32.36360911957514
ABB,22493300000.0,79050300000.0,0.28454414467750283,2202653122.0,LARGE,28.454414467750283
SOLARINDS,24991900000.0,84696100000.0,0.2950773412235038,1962095256.5,LARGE,29.50773412235038
GROWW,28673540000.0,97749100000.0,0.29333814838192884,6512033348.525,LARGE,29.333814838192886
NMDC,102706800000.0,362141100000.0,0.28360989680541643,1987322358.0949998,LARGE,28.360989680541643
INDIGO,39303000000.0,977311000000.0,0.040215448306629105,4401342433.2,LARGE,4.0215448306629105
TRENT,24048300000.0,85175900000.0,0.28233690515744475,3772547127.2999997,LARGE,28.233690515744474
ADANIGREEN,78610000000.0,1238650000000.0,0.06346425543938966,4443617474.700001,LARGE,6.346425543938966
ONGC,806518000000.0,6230166000000.0,0.12945369352919328,3657357396.425,LARGE,12.945369352919329
TMCV,55370000000.0,217060000000.0,0.25509075831567307,3228252244.3500004,LARGE,25.50907583156731
ULTRACEMCO,127989000000.0,1075443500000.0,0.1190104361595937,3179276303.0,LARGE,11.90104361595937
ETERNAL,10070000000.0,350640000000.0,0.02871891398585444,8172697037.13,LARGE,2.871891398585444
TATAPOWER,115742700000.0,1356121200000.0,0.08534834497093623,2346934114.575,LARGE,8.534834497093623
MARUTI,193572000000.0,1124008000000.0,0.1722158561149031,5569421284.0,LARGE,17.22158561149031
SAIL,66636600000.0,922756200000.0,0.07221474101176453,3616941231.545,LARGE,7.221474101176454
MOTHERSON,70487000000.0,613096000000.0,0.11496894450461266,2489334560.12,LARGE,11.496894450461266
MAHSEAMLES,9420000000.0,73467900000.0,0.12821926310674459,65821577.625,MID,12.821926310674458
LUXIND,1752300000.0,18722900000.0,0.09359127058308275,76634818.70000002,MID,9.359127058308275
NITINSPIN,3096264000.0,21643578000.0,0.14305693818277182,66948786.15,MID,14.305693818277183
HGINFRA,9232790000.0,64711140000.0,0.1426769795741506,67551277.75,MID,14.26769795741506
PGHL,4504100000.0,5864200000.0,0.7680672555506293,74823272.0,MID,76.80672555506293
RTNINDIA,-885320000.0,8829850000.0,-0.10026444390335057,73006398.78,MID,-10.026444390335056
HARSHA,2301400000.0,16293300000.0,0.14124824314288695,66853929.8,MID,14.124824314288695
KSCL,3061128000.0,18001714000.0,0.1700464744634872,81841130.94999999,MID,17.00464744634872
GHCL,6508600000.0,38612700000.0,0.1685611210819238,86825462.4,MID,16.85611210819238
DLINKINDIA,1413910000.0,5151207000.0,0.2744813011785393,69684313.3,MID,27.448130117853932
NOCIL,774100000.0,19086500000.0,0.04055746208052812,67139643.49000001,MID,4.055746208052812
ELLEN,1447840000.0,11122280000.0,0.13017474834296566,87653906.44999999,MID,13.017474834296566
