HSN_Code,HSN_Chapter,Chapter_Name,Commodity,Import_FY24_25_USDmillions,Import_FY25_26_USDmillions,YoY_Growth_Percent,Base_Score,Chapter_Priority,Tier,Substitution_Potential,FY30_Savings_USDmillions,Confidence_Level,Quick_Win,Priority_Chemical
28011000,28,Inorganic Chemicals,CHLORINE,0.02,0.02,18.5,4.5,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28012000,28,Inorganic Chemicals,IODINE,317.64,335.58,5.7,3.96,High,Tier 2.5 (Quick-win),60-75%,201.3,0.8,Yes,No
28013010,28,Inorganic Chemicals,FLUORINE,0.1,0.15,47.4,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28013020,28,Inorganic Chemicals,BROMINE,25.69,29.94,16.6,4.5,High,Tier 3 (Specialty),15-30%,4.5,0.5,No,No
28020010,28,Inorganic Chemicals,SUBLIMED SULPHUR,0.6,0.63,4.5,3.3,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
28020020,28,Inorganic Chemicals,PRECIPITATED SULPHUR,0.07,2.25,3152.8,5.4,High,Tier 3 (Specialty),15-30%,0.3,0.5,No,No
28020030,28,Inorganic Chemicals,COLLOIDAL SULPHUR,0.11,0.07,-39.0,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28030010,28,Inorganic Chemicals,CARBON BLACKS,196.8,164.85,-16.2,3.6,High,Tier 2.5 (Quick-win),60-75%,98.9,0.8,Yes,No
28030020,28,Inorganic Chemicals,ACETYLENE BLACK CARBON,5.02,3.79,-24.4,3.0,High,Tier 3 (Specialty),15-30%,0.6,0.5,No,No
28030090,28,Inorganic Chemicals,OTHER CARBON,6.5,6.26,-3.7,3.0,High,Tier 3 (Specialty),15-30%,0.9,0.5,No,No
28041000,28,Inorganic Chemicals,HYDROGEN,0.53,0.1,-81.8,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28042100,28,Inorganic Chemicals,ARGON  (RARE GASES),6.31,1.02,-83.9,3.0,High,Tier 3 (Specialty),15-30%,0.2,0.5,No,No
28042910,28,Inorganic Chemicals,HELLIUM,52.99,42.82,-19.2,3.0,High,Tier 3 (Specialty),15-30%,6.4,0.5,No,No
28042990,28,Inorganic Chemicals,OTHR RARE GASES OTHER THAN ARGON AND HELLIUM,1.8,1.99,10.8,4.5,High,Tier 3 (Specialty),15-30%,0.3,0.5,No,No
28043000,28,Inorganic Chemicals,NITROGEN,0.84,1.19,42.5,5.4,High,Tier 3 (Specialty),15-30%,0.2,0.5,No,No
28044010,28,Inorganic Chemicals,"OXYGEN,MEDICINAL GRAPE",0.57,0.24,-57.7,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28044090,28,Inorganic Chemicals,OTHER OXYGEN,0.33,0.42,25.8,5.4,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
28045010,28,Inorganic Chemicals,BORON,0.04,0.17,337.6,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28045020,28,Inorganic Chemicals,TELLURIUM,0.54,0.52,-2.6,3.0,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
28046100,28,Inorganic Chemicals,SILICON CONTNG MORE THAN99.99% BY WT OF   SILICON,0.03,0.04,74.2,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28046900,28,Inorganic Chemicals,OTHER SILICON,178.01,202.65,13.8,5.4,High,Tier 2.5 (Quick-win),60-75%,121.6,0.8,Yes,No
28047010,28,Inorganic Chemicals,PHOSPHORUS BLACK,0.0,0.0,105.3,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28047020,28,Inorganic Chemicals,PHOSPHORUS RED,0.0,0.0,289.1,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28047030,28,Inorganic Chemicals,PHOSPHORUS WHITE OR YELLOW,173.53,206.75,19.1,5.4,High,Tier 2.5 (Quick-win),60-75%,124.0,0.8,Yes,No
28048000,28,Inorganic Chemicals,ARSENIC,0.82,0.81,-1.3,3.0,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
28049000,28,Inorganic Chemicals,SELENIUM,12.85,15.15,17.9,4.5,High,Tier 3 (Specialty),15-30%,2.3,0.5,No,No
28051100,28,Inorganic Chemicals,SODIUM,15.4,15.43,0.2,3.3,High,Tier 3 (Specialty),15-30%,2.3,0.5,No,No
28051200,28,Inorganic Chemicals,CALCIUM,30.01,24.15,-19.5,3.0,High,Tier 3 (Specialty),15-30%,3.6,0.5,No,No
28051900,28,Inorganic Chemicals,OTHER ALKALI/ALKALINE -EARTH METALS,19.1,20.24,5.9,3.3,High,Tier 3 (Specialty),15-30%,3.0,0.5,No,No
28053000,28,Inorganic Chemicals,RARE-EARTH METALS SCANDIUM AND YTTRIUM      W/N INTERMIXED/INTERALL...,4.89,3.44,-29.7,3.0,High,Tier 3 (Specialty),15-30%,0.5,0.5,No,No
28054000,28,Inorganic Chemicals,MERCURY,4.24,3.87,-8.7,3.0,High,Tier 3 (Specialty),15-30%,0.6,0.5,No,No
28061000,28,Inorganic Chemicals,HYDROGEN CHLORIDE(HYDROCHLORIC ACID),1.45,9.86,582.1,5.4,High,Tier 3 (Specialty),15-30%,1.5,0.5,No,No
28062000,28,Inorganic Chemicals,CHLORO-SULPHURIC ACID,0.11,0.07,-36.4,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28070010,28,Inorganic Chemicals,SULPHURIC ACID,170.37,249.81,46.6,6.48,High,Tier 2 (Dependent),30-50%,74.9,0.7,No,No
28070020,28,Inorganic Chemicals,OLEUM,0.01,0.01,104.1,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28080010,28,Inorganic Chemicals,NITRIC ACID,33.79,41.36,22.4,5.4,High,Tier 3 (Specialty),15-30%,6.2,0.5,No,No
28080020,28,Inorganic Chemicals,SULPHONITRIC ACID,0.02,0.21,825.0,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28091000,28,Inorganic Chemicals,DIPHOSPHORUS PENIAOXIDE,7.53,6.69,-11.2,3.0,High,Tier 3 (Specialty),15-30%,1.0,0.5,No,No
28092010,28,Inorganic Chemicals,PH0SPH0RIC ACID,2116.99,2674.23,26.3,10.8,High,Tier 2 (Dependent),30-50%,802.3,0.7,No,No
28092020,28,Inorganic Chemicals,P0LYPH0SPH0RIC ACID,0.46,0.16,-65.4,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28100010,28,Inorganic Chemicals,OXIDES OF BORON,9.52,11.17,17.2,4.5,High,Tier 3 (Specialty),15-30%,1.7,0.5,No,No
28100020,28,Inorganic Chemicals,BORIC ACID,3.32,2.12,-36.2,3.0,High,Tier 3 (Specialty),15-30%,0.3,0.5,No,No
28111100,28,Inorganic Chemicals,HYDROGEN FLUORIDE(HYDROFLUORIC ACID),13.34,18.06,35.4,5.4,High,Tier 3 (Specialty),15-30%,2.7,0.5,No,No
28111200,28,Inorganic Chemicals,HYDROGEN CYANIDE (HYDROCYANIC ACID ),0.0,0.0,-99.4,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28111920,28,Inorganic Chemicals,HYPOPHPSPHOROUS ACID (PHOSPHINIC ACID),2.13,1.68,-20.9,3.0,High,Tier 3 (Specialty),15-30%,0.3,0.5,No,No
28111930,28,Inorganic Chemicals,ACIDS OF ARSENIC,0.34,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28111990,28,Inorganic Chemicals,OTHER INORGANIC ACIDS,29.95,36.51,21.9,5.4,High,Tier 3 (Specialty),15-30%,5.5,0.5,No,No
28112110,28,Inorganic Chemicals,DRY ICE,0.02,0.01,-32.3,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28112190,28,Inorganic Chemicals,CARBON DIOXIDE IN OTHER FORM,0.59,0.25,-58.3,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28112200,28,Inorganic Chemicals,SILICON DIOXIDE,109.15,105.76,-3.1,3.6,High,Tier 2.5 (Quick-win),60-75%,63.5,0.8,Yes,No
28112910,28,Inorganic Chemicals,ARSENIC PENTOXIDE,0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28112920,28,Inorganic Chemicals,ARSENIC TRIOXIDE,1.96,1.03,-47.4,3.0,High,Tier 3 (Specialty),15-30%,0.2,0.5,No,No
28112930,28,Inorganic Chemicals,NITROUS OXIDE,2.46,2.2,-10.8,3.0,High,Tier 3 (Specialty),15-30%,0.3,0.5,No,No
28112940,28,Inorganic Chemicals,CARBON MONOXIDE,0.3,0.3,1.3,3.3,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28112990,28,Inorganic Chemicals,"OTHER INORGNC OXGN COMPNDS OF NON-MTLS,   NES",14.02,13.14,-6.3,3.0,High,Tier 3 (Specialty),15-30%,2.0,0.5,No,No
28121100,28,Inorganic Chemicals,CARBONYL DICHLORIDE (PHOSGENE),0.0,0.01,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28121200,28,Inorganic Chemicals,PHOSPHOROUS OXYCHLORIDE,0.49,1.24,149.9,5.4,High,Tier 3 (Specialty),15-30%,0.2,0.5,No,No
28121400,28,Inorganic Chemicals,PHOSPHOROUS PENTACHLORIDE,0.0,0.0,49.5,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28121500,28,Inorganic Chemicals,SULPHUR MONOCHLORIDE,0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28121700,28,Inorganic Chemicals,THIONYL CHLORIDE,0.03,0.04,29.4,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28121920,28,Inorganic Chemicals,SILICON TETRACHLORIDE,0.11,0.99,836.5,5.4,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
28121990,28,Inorganic Chemicals,OTHERS-OF-OTHERS-OF-HALIDES AND HALIDE OXIDES OF NON-METALS,2.8,4.75,70.0,5.4,High,Tier 3 (Specialty),15-30%,0.7,0.5,No,No
28129000,28,Inorganic Chemicals,OTHERS-OF-OTHERS-OF-HALIDES AND HALIDE OXIDES OF NON-METALS,3.17,7.48,135.6,5.4,High,Tier 3 (Specialty),15-30%,1.1,0.5,No,No
28131000,28,Inorganic Chemicals,CARBON DISULPHIDE,13.48,15.64,16.0,4.5,High,Tier 3 (Specialty),15-30%,2.3,0.5,No,No
28139010,28,Inorganic Chemicals,ARSENIC DISULPHIDE (ARTIFICIAL),0.0,0.0,-63.3,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28139090,28,Inorganic Chemicals,OTER SULPHIDES OF NON-METALS NES,0.0,0.01,517.4,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28141000,28,Inorganic Chemicals,ANHYDROUS AMMONIA,1034.81,1079.22,4.3,6.6,High,Tier 2 (Dependent),30-50%,323.8,0.7,No,No
28142000,28,Inorganic Chemicals,AMMONIA IN AQUEOUS SOLUTION,0.48,0.66,36.7,5.4,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
28151110,28,Inorganic Chemicals,"FLAKES OF SODIUM HYDROXIDE(NAOH),SOLID",5.37,3.31,-38.3,3.0,High,Tier 3 (Specialty),15-30%,0.5,0.5,No,No
28151190,28,Inorganic Chemicals,"NAOH, SOLID, OTHER THAN FLAKES",2.39,2.05,-14.0,3.0,High,Tier 3 (Specialty),15-30%,0.3,0.5,No,No
28151200,28,Inorganic Chemicals,NAOH IN AQS SOLN (SODA LYE OR LQD SODA),67.07,28.76,-57.1,3.0,High,Tier 3 (Specialty),15-30%,4.3,0.5,No,No
28152000,28,Inorganic Chemicals,POTASSIUM HYPROXIDE (CAUSTIC POTASH),22.32,22.99,3.0,3.3,High,Tier 3 (Specialty),15-30%,3.4,0.5,No,No
28153000,28,Inorganic Chemicals,PEROXIDES OF SODIUM OR POTASSIUM,0.18,0.26,38.0,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28161010,28,Inorganic Chemicals,MAGNESIUM HYDROXIDE,7.3,10.58,45.0,5.4,High,Tier 3 (Specialty),15-30%,1.6,0.5,No,No
28161020,28,Inorganic Chemicals,PEROXIDE OF MAGNESIUM,0.02,0.0,-99.4,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28164000,28,Inorganic Chemicals,"OXIDES,HYDROXIDES AND PEROXIDE OF STRONTIUM OR BARIUM",1.63,1.99,22.2,5.4,High,Tier 3 (Specialty),15-30%,0.3,0.5,No,No
28170010,28,Inorganic Chemicals,ZINC OXIDE,20.7,18.18,-12.2,3.0,High,Tier 3 (Specialty),15-30%,2.7,0.5,No,No
28170020,28,Inorganic Chemicals,ZINC PEROXIDE,0.01,0.11,1196.4,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28181000,28,Inorganic Chemicals,ARTIFICIAL CORUNDUM W/N CHEMICALLY DEFINED,22.64,32.78,44.8,5.4,High,Tier 3 (Specialty),15-30%,4.9,0.5,No,No
28182011,28,Inorganic Chemicals,"ALUMINA CALCINED, Metallurgical grade, conforming to IS 17441",1030.57,923.03,-10.4,4.5,High,Tier 2.5 (Quick-win),60-75%,553.8,0.8,Yes,No
28182019,28,Inorganic Chemicals,"ALUMINA CALCINED, Non-Metallurgical grade, conforming to IS 17441",20.09,16.59,-17.4,3.0,High,Tier 3 (Specialty),15-30%,2.5,0.5,No,No
28182090,28,Inorganic Chemicals,OTHER ALUMINIUM OXIDE,144.89,161.54,11.5,5.4,High,Tier 2.5 (Quick-win),60-75%,96.9,0.8,Yes,No
28183000,28,Inorganic Chemicals,ALUMINIUM HYDROXIDE,53.79,56.94,5.8,3.3,High,Tier 2.5 (Quick-win),60-75%,34.2,0.8,Yes,No
28191000,28,Inorganic Chemicals,CHROMIUM TRIOXIDE,8.27,8.33,0.7,3.3,High,Tier 3 (Specialty),15-30%,1.2,0.5,No,No
28199000,28,Inorganic Chemicals,OTHER CHROMIUM OXIDES AND HYDROXIDES,4.37,6.07,39.0,5.4,High,Tier 3 (Specialty),15-30%,0.9,0.5,No,No
28201000,28,Inorganic Chemicals,MANGANESE DIOXIDE,16.01,16.69,4.3,3.3,High,Tier 3 (Specialty),15-30%,2.5,0.5,No,No
28209000,28,Inorganic Chemicals,OTHER MANGANESE OXIDES,7.25,8.68,19.6,4.5,High,Tier 3 (Specialty),15-30%,1.3,0.5,No,No
28211010,28,Inorganic Chemicals,IRON OXIDES,32.18,34.18,6.2,3.3,High,Tier 3 (Specialty),15-30%,5.1,0.5,No,No
28211020,28,Inorganic Chemicals,IRON HYDROXIDES,0.92,1.28,39.6,5.4,High,Tier 3 (Specialty),15-30%,0.2,0.5,No,No
28212000,28,Inorganic Chemicals,EARTH COLOURS,0.12,0.05,-59.8,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28220010,28,Inorganic Chemicals,COBALT OXIDE,5.11,4.5,-11.9,3.0,High,Tier 3 (Specialty),15-30%,0.7,0.5,No,No
28220020,28,Inorganic Chemicals,COBALT HYDROXIDE,4.03,7.58,87.9,5.4,High,Tier 3 (Specialty),15-30%,1.1,0.5,No,No
28220030,28,Inorganic Chemicals,COMMERCIAL COBALT OXIDE,0.41,0.0,-99.6,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28230010,28,Inorganic Chemicals,TITANIUM DIOXIDE,58.27,59.73,2.5,3.3,High,Tier 2.5 (Quick-win),60-75%,35.8,0.8,Yes,No
28230090,28,Inorganic Chemicals,OTHER TITANIUM OXIDES,1.85,4.22,127.9,5.4,High,Tier 3 (Specialty),15-30%,0.6,0.5,No,No
28241010,28,Inorganic Chemicals,LITHARGE,0.13,0.04,-70.1,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28249000,28,Inorganic Chemicals,OTHER LEAD OXIDES,4.14,2.04,-50.8,3.0,High,Tier 3 (Specialty),15-30%,0.3,0.5,No,No
28251010,28,Inorganic Chemicals,HYDRAZINE ANHYDROUS,0.0,0.12,20053.7,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28251020,28,Inorganic Chemicals,HYDRAZINE HYDRATE,41.31,44.25,7.1,3.3,High,Tier 3 (Specialty),15-30%,6.6,0.5,No,No
28251030,28,Inorganic Chemicals,HYDRAZINE SULPHATE,0.01,0.12,1200.7,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28251040,28,Inorganic Chemicals,HYDROXYLAMINE SULPHATE,13.56,10.25,-24.4,3.0,High,Tier 3 (Specialty),15-30%,1.5,0.5,No,No
28251090,28,Inorganic Chemicals,OTHER HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGNC SLTS,5.19,4.72,-9.1,3.0,High,Tier 3 (Specialty),15-30%,0.7,0.5,No,No
28252000,28,Inorganic Chemicals,LITHIUM OXIDE AND HYDROXIDE,23.29,25.49,9.5,3.3,High,Tier 3 (Specialty),15-30%,3.8,0.5,No,No
28253010,28,Inorganic Chemicals,VANADIUM PENIOXIDE FLAKES,24.29,32.17,32.5,5.4,High,Tier 3 (Specialty),15-30%,4.8,0.5,No,No
28253090,28,Inorganic Chemicals,OTHER OXIDES AND HYDROXIDES OF VANADIUM,3.19,6.25,95.9,5.4,High,Tier 3 (Specialty),15-30%,0.9,0.5,No,No
28254000,28,Inorganic Chemicals,NICKEL OXIDES AND HYDROXIDES,18.44,10.5,-43.1,3.0,High,Tier 3 (Specialty),15-30%,1.6,0.5,No,No
28255000,28,Inorganic Chemicals,COPPER OXIDES AND HYDROXIDES,4.03,5.34,32.6,5.4,High,Tier 3 (Specialty),15-30%,0.8,0.5,No,No
28256010,28,Inorganic Chemicals,GERMANIUM OXIDES,0.01,0.1,575.1,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28256020,28,Inorganic Chemicals,ZIRCONIUM DIOXIDES,41.31,42.2,2.2,3.3,High,Tier 3 (Specialty),15-30%,6.3,0.5,No,No
28257010,28,Inorganic Chemicals,MOLYBDENUM TRIOXIDE,3.43,9.17,167.1,5.4,High,Tier 3 (Specialty),15-30%,1.4,0.5,No,No
28257020,28,Inorganic Chemicals,MOLYBDIC ACID,0.0,0.0,-23.7,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28257090,28,Inorganic Chemicals,OTHER MOLYBDENUM OXIDES AND HYDROXIDES,26.75,36.64,37.0,5.4,High,Tier 3 (Specialty),15-30%,5.5,0.5,No,No
28258000,28,Inorganic Chemicals,ANTIMONY OXIDES,76.36,68.1,-10.8,3.0,High,Tier 2.5 (Quick-win),60-75%,40.9,0.8,Yes,No
28259010,28,Inorganic Chemicals,TIN OXIDE,4.2,5.22,24.2,5.4,High,Tier 3 (Specialty),15-30%,0.8,0.5,No,No
28259020,28,Inorganic Chemicals,CADMIUM OXIDE,9.71,10.38,7.0,3.3,High,Tier 3 (Specialty),15-30%,1.6,0.5,No,No
28259040,28,Inorganic Chemicals,CALCIUM HYDROXIDE,7.43,7.12,-4.2,3.0,High,Tier 3 (Specialty),15-30%,1.1,0.5,No,No
28259050,28,Inorganic Chemicals,AMM0NIUM HYDR0XIDE,0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28259090,28,Inorganic Chemicals,OTHER INORGANIC BASES METAL OXIDES        HYDROXIDES AND PEROXIDES,19.14,33.53,75.1,5.4,High,Tier 3 (Specialty),15-30%,5.0,0.5,No,No
28261200,28,Inorganic Chemicals,FLUORIDES OF ALUMINIUM,82.97,77.05,-7.1,3.0,High,Tier 2.5 (Quick-win),60-75%,46.2,0.8,Yes,No
28261910,28,Inorganic Chemicals,MAGNESIUM FLUORIDES,0.17,0.18,8.1,3.3,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28261990,28,Inorganic Chemicals,"OTHER FLUORIDES, NES",10.24,5.96,-41.7,3.0,High,Tier 3 (Specialty),15-30%,0.9,0.5,No,No
28263000,28,Inorganic Chemicals,SODIUM HEXAFLUOROALUMINATE,2.03,5.65,178.5,5.4,High,Tier 3 (Specialty),15-30%,0.8,0.5,No,No
28269000,28,Inorganic Chemicals,"OTHER FLUOROSILICATES, FLUROALUMINATES AND  OTHER COMPLX FLUORINE S...",7.11,7.65,7.7,3.3,High,Tier 3 (Specialty),15-30%,1.1,0.5,No,No
28271000,28,Inorganic Chemicals,AMMONIUM CHLORIDE,4.99,2.96,-40.6,3.0,High,Tier 3 (Specialty),15-30%,0.4,0.5,No,No
28272000,28,Inorganic Chemicals,CALCIUM CHLORIDE,1.97,2.83,44.0,5.4,High,Tier 3 (Specialty),15-30%,0.4,0.5,No,No
28273100,28,Inorganic Chemicals,CHLORIDES OF MAGNESIUM,3.32,3.28,-1.2,3.0,High,Tier 3 (Specialty),15-30%,0.5,0.5,No,No
28273200,28,Inorganic Chemicals,CHLORIDES OF ALUMINIUM,0.34,0.58,72.2,5.4,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
28273500,28,Inorganic Chemicals,CHLORIDE OF NICKEL,0.8,1.07,33.9,5.4,High,Tier 3 (Specialty),15-30%,0.2,0.5,No,No
28273920,28,Inorganic Chemicals,MERCUROUS CHLORIDE,0.01,0.1,788.9,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28273930,28,Inorganic Chemicals,STRONTIUM CHLORIDE,0.15,0.13,-15.8,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28273940,28,Inorganic Chemicals,CUPROUS CHLORIDE,0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28273990,28,Inorganic Chemicals,"OTHER CHLORIDES, NES",44.22,48.19,9.0,3.3,High,Tier 3 (Specialty),15-30%,7.2,0.5,No,No
28274110,28,Inorganic Chemicals,COPPER OXYCHLORIDE,1.15,1.52,31.9,5.4,High,Tier 3 (Specialty),15-30%,0.2,0.5,No,No
28274190,28,Inorganic Chemicals,OTHER COPPER CHLORIDE OXIDES NES,0.02,0.11,571.8,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28274900,28,Inorganic Chemicals,OTHER CHLORIDE OXIDES AND CHLORID HYDROXIDES,10.42,8.19,-21.5,3.0,High,Tier 3 (Specialty),15-30%,1.2,0.5,No,No
28275110,28,Inorganic Chemicals,SODIUM BROMIDE,3.62,2.44,-32.5,3.0,High,Tier 3 (Specialty),15-30%,0.4,0.5,No,No
28275120,28,Inorganic Chemicals,POTASSIUM BROMIDE,0.03,0.33,1172.8,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28275910,28,Inorganic Chemicals,MAGNESIUM BROMIDE,0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28275990,28,Inorganic Chemicals,BROMIDES AND OXYBROMIDES N E S,4.21,0.35,-91.7,3.0,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
28276010,28,Inorganic Chemicals,POTASSIUM IODIDE,2.12,1.6,-24.5,3.0,High,Tier 3 (Specialty),15-30%,0.2,0.5,No,No
28276020,28,Inorganic Chemicals,SODIUM IODIDE,10.27,1.07,-89.6,3.0,High,Tier 3 (Specialty),15-30%,0.2,0.5,No,No
28276090,28,Inorganic Chemicals,OTHER IDODIES AND OXYIODIDES,4.35,0.47,-89.1,3.0,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
28281010,28,Inorganic Chemicals,COMMERCIAL CALCIUM HYPOCHLORIDE (         BLEACHINGPASTE OR POWDER),0.09,0.04,-49.0,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28281090,28,Inorganic Chemicals,OTHER COMMERCIAL CALCIUM HYPOCHLORIDES,0.05,0.01,-81.1,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28289011,28,Inorganic Chemicals,BLEACHING PASTE OR POWDER OF SODIUM       HYPOCHLORITES,0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28289019,28,Inorganic Chemicals,OTHER SODIUM HYPOCHLORITES,0.02,0.04,114.4,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28289020,28,Inorganic Chemicals,POTTASIUM HYPOCHLORITES,0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28289030,28,Inorganic Chemicals,SODIUM CHLORITE,18.21,23.08,26.8,5.4,High,Tier 3 (Specialty),15-30%,3.5,0.5,No,No
28289090,28,Inorganic Chemicals,OTHER SODIUM HYPOCHLORITES,0.3,0.59,95.5,5.4,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
28291100,28,Inorganic Chemicals,SODIUM CHLORATE,18.18,15.21,-16.3,3.0,High,Tier 3 (Specialty),15-30%,2.3,0.5,No,No
28291910,28,Inorganic Chemicals,BARIUM CHLORATE,0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28291920,28,Inorganic Chemicals,POTASSIUM CHLORATE,0.11,0.15,37.4,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28291930,28,Inorganic Chemicals,MAGNESIUM CHLORATE,0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28291990,28,Inorganic Chemicals,OTHER CHLORATES,0.07,0.05,-26.2,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28299010,28,Inorganic Chemicals,PERCHLORATES,0.41,0.76,83.0,5.4,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
28299020,28,Inorganic Chemicals,BROMATES AND PERBROMATES,0.02,0.03,16.9,4.5,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28299030,28,Inorganic Chemicals,IODATES AND PERIODATES,0.41,0.33,-19.9,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28301000,28,Inorganic Chemicals,SODIUM SULPHIDE,0.17,0.05,-68.5,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28309010,28,Inorganic Chemicals,OTHER SULPHIDES,7.27,12.19,67.5,5.4,High,Tier 3 (Specialty),15-30%,1.8,0.5,No,No
28309020,28,Inorganic Chemicals,OTHER POLYSULPHIDES,1.24,1.7,37.5,5.4,High,Tier 3 (Specialty),15-30%,0.3,0.5,No,No
28311010,28,Inorganic Chemicals,SODIUM DITHIONITES (SODIUM HYDROSULPHITE),0.38,0.21,-44.9,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28311020,28,Inorganic Chemicals,SODIUM SULPHOXYLATE (INCL SODIUM FORMAL-  DEHDE SULPHOXYLATE),0.06,0.0,-98.9,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28319010,28,Inorganic Chemicals,OTHER DITHIONITES (OF POTASSIUM ETC),0.0,0.0,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28319020,28,Inorganic Chemicals,OTHER SULPHOXYLATES,0.05,0.01,-85.7,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28321010,28,Inorganic Chemicals,SODIUM BI-SULPHITE,0.37,0.91,145.9,5.4,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
28321020,28,Inorganic Chemicals,SODIUM HYDROSULPHITES,0.04,0.07,85.7,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28321090,28,Inorganic Chemicals,OTHER SODIUM SULPHITE,7.98,10.79,35.3,5.4,High,Tier 3 (Specialty),15-30%,1.6,0.5,No,No
28322010,28,Inorganic Chemicals,POTASSIUM METABISULPHITE,0.27,0.28,6.2,3.3,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
