HSN_Code,HSN_Chapter,Chapter_Name,Commodity,Import_FY24_25_USDmillions,Import_FY25_26_USDmillions,YoY_Growth_Percent,Base_Score,Chapter_Priority,Tier,Substitution_Potential,FY30_Savings_USDmillions,Confidence_Level,Quick_Win,Priority_Chemical
29173990,29,Organic Chemicals,OTHER ARMTC PLYCRBOXYLIC ACIDS ETC.,80.03,60.59,-24.3,3.0,High,Tier 2.5 (Quick-win),60-75%,36.4,0.8,Yes,No
29181110,29,Organic Chemicals,LACTIC ACID,8.2,8.03,-2.2,3.0,High,Tier 3 (Specialty),15-30%,1.2,0.5,No,No
29181120,29,Organic Chemicals,CALCIUM LACTATE,0.37,0.27,-26.6,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29181190,29,Organic Chemicals,OTHER SALTS AND ESTERS OF LACTIC ACID,1.79,4.09,128.3,5.4,High,Tier 3 (Specialty),15-30%,0.6,0.5,No,No
29181200,29,Organic Chemicals,TARTARIC ACID,22.84,19.51,-14.5,3.0,High,Tier 3 (Specialty),15-30%,2.9,0.5,No,No
29181310,29,Organic Chemicals,POTASSIUM BITARTRATE,0.02,0.04,51.8,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29181320,29,Organic Chemicals,METROPROLOL TARTRATE,1.36,1.35,-1.0,3.0,High,Tier 3 (Specialty),15-30%,0.2,0.5,No,No
29181390,29,Organic Chemicals,OTHER SALTS AND ESTERS OF TARTARIC ACID,1.95,3.26,67.3,5.4,High,Tier 3 (Specialty),15-30%,0.5,0.5,No,No
29181400,29,Organic Chemicals,CITRIC ACID,106.43,103.51,-2.8,3.6,High,Tier 2.5 (Quick-win),60-75%,62.1,0.8,Yes,No
29181510,29,Organic Chemicals,POTASSIUM CITRATE,1.86,0.69,-62.9,3.0,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
29181520,29,Organic Chemicals,SODIUM CITRATE,2.33,4.4,89.2,5.4,High,Tier 3 (Specialty),15-30%,0.7,0.5,No,No
29181530,29,Organic Chemicals,BISMUTH CIRTRATE,0.02,0.06,283.2,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29181540,29,Organic Chemicals,DISODIUM HIDROGEN CIRTATE,0.11,0.0,-98.8,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29181550,29,Organic Chemicals,FERRIC AMMONIUM CITRATE,0.02,0.03,36.4,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29181590,29,Organic Chemicals,OTHER SALTS AND ESTERS OF CITRIC ACID,7.32,8.6,17.4,4.5,High,Tier 3 (Specialty),15-30%,1.3,0.5,No,No
29181610,29,Organic Chemicals,CALCIUM GLUCONATE,9.06,6.82,-24.7,3.0,High,Tier 3 (Specialty),15-30%,1.0,0.5,No,No
29181620,29,Organic Chemicals,FERROUS GLUCONATE,0.0,0.02,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29181690,29,Organic Chemicals,OTHER GLUCONIC ACID ITS SALTS AND ESTERS,34.1,33.43,-2.0,3.0,High,Tier 3 (Specialty),15-30%,5.0,0.5,No,No
29181700,29,Organic Chemicals,"2, 2-DIPHENYL-2-HYDROXYACETIC ACID (BENZILIC ACID)",0.21,0.4,86.3,5.4,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
29181910,29,Organic Chemicals,"BENZENEACETIC ACID, ALPHA-HYDROXY-ALPHA-  PHENYL",0.27,0.04,-83.9,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29181920,29,Organic Chemicals,CHOLIC ACID,32.26,36.04,11.7,4.5,High,Tier 3 (Specialty),15-30%,5.4,0.5,No,No
29181930,29,Organic Chemicals,RICINOLEIC ACID,0.19,0.18,-7.5,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29181990,29,Organic Chemicals,"OTHER CARBOXYLC ACIDS WITH ADDTNL OXYGN   FUNCTN, THEIR ANYDRIDS, H...",69.26,101.68,46.8,6.48,High,Tier 2 (Dependent),30-50%,30.5,0.7,Yes,No
29182110,29,Organic Chemicals,SALICYLIC ACID,25.53,19.41,-24.0,3.0,High,Tier 3 (Specialty),15-30%,2.9,0.5,No,No
29182120,29,Organic Chemicals,SODIUM SALICYLATE,0.06,0.12,107.1,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
29182190,29,Organic Chemicals,OTHER SALICYLIC ACID AND ITS SALTS,12.67,15.23,20.2,5.4,High,Tier 3 (Specialty),15-30%,2.3,0.5,No,No
29182200,29,Organic Chemicals,0-ACETYLSALICYLIC ACID ITS SALTS AND ESTRS,0.66,0.73,9.3,3.3,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
29182310,29,Organic Chemicals,METHYL SALICYLATE,1.49,0.9,-39.8,3.0,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
29182320,29,Organic Chemicals,AMINO SALICYLATE,0.0,0.03,,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
