market,trades,winners,hit_rate,capital_deployed,revenue_gross_gains,trading_losses,gross_trading_profit,txn_costs,operating_income_ebit,income_tax,net_income,equity_capital,cost_of_capital_%,capital_charge,economic_profit_eva,ROIC_%,geography
IN,48.0,18.0,0.375,480000.0,7027.360112103438,-5524.0786940397575,1503.2814180636806,-1680.0,-176.71858193631942,-0.0,-176.71858193631942,4880000.0,0.138,673440.0,-673616.7185819363,-3.621282416727857e-05,India
US,11705.0,7272.0,0.6212729602733874,117050000.0,4655512.705141071,-2428336.2519923784,2227176.453148693,-117050.0,2110126.453148693,-506430.34875568614,1603696.1043930068,118120000.0,0.089,10512680.0,-8908983.895606993,0.013576837998586241,United States
EU,28.0,16.0,0.5714285714285714,280000.0,10381.877373974323,-5006.055675627177,5375.821698347146,-700.0,4675.821698347146,-1233.247972939059,3442.573725408087,2320000.0,0.08,185600.0,-182157.4262745919,0.0014838679850896926,Europe
JP,6.0,2.0,0.3333333333333333,60000.0,409.64152806258096,-322.3673306642416,87.27419739833937,-90.0,-2.7258026016606323,-0.0,-2.7258026016606323,15700000.0,0.065,1020500.0,-1020502.7258026017,-1.7361800010577275e-07,Japan
KR,1.0,0.0,0.0,10000.0,0.0,-1037.7358490566035,-1037.7358490566035,-30.0,-1067.7358490566035,-0.0,-1067.7358490566035,2230000.0,0.092,205160.0,-206227.7358490566,-0.0004788053134782975,Korea
