,cash,investments_at_cost,total_assets,income_tax_payable,total_liabilities,contributed_capital,retained_earnings,total_equity,open_positions,check_A=L+E,geography
IN,479823.2814180637,4400000.0,4879823.281418064,0.0,0.0,4880000.0,-176.71858193631942,4879823.281418064,440.0,0.0,India
US,119160126.4531487,1070000.0,120230126.4531487,506430.34875568614,506430.34875568614,118120000.0,1603696.1043930068,119723696.104393,107.0,0.0,United States
EU,284675.8216983471,2040000.0,2324675.821698347,1233.247972939059,1233.247972939059,2320000.0,3442.573725408087,2323442.573725408,204.0,0.0,Europe
JP,59997.27419739775,15640000.0,15699997.274197398,0.0,0.0,15700000.0,-2.7258026016606323,15699997.274197398,1564.0,0.0,Japan
KR,8932.264150943607,2220000.0,2228932.2641509436,0.0,0.0,2230000.0,-1067.7358490566035,2228932.2641509436,222.0,0.0,Korea
