market,cost_bps,precision_gross,precision_net,accuracy_gross,accuracy_net,recall_net,f1_net,tax_on_precision
IN,40,0.5073221757322176,0.5018959205020921,0.5095040778742436,0.5092409892133649,0.5124491021961151,0.5071176140304522,0.005426255230125521
US,15,0.5869674465352616,0.5845385001954324,0.5258585773941705,0.5258306448233964,0.5233334166520859,0.5522453016815034,0.002428946339829152
KR,30,0.49567634342186534,0.4896541074737492,0.5472967746925517,0.5467553561760383,0.5537897310513448,0.5197508605146698,0.006022235948116128
JP,25,0.6456391394165365,0.6412052199324835,0.5652732956837434,0.5664834610730133,0.5581578947368421,0.5968063404225384,0.004433919484053028
CN,35,0.5326293697120745,0.5265953958155702,0.5236954774363938,0.522924492708453,0.5229767138902459,0.5247798166636709,0.0060339738965042855
