symbol,name,market,appearances,move_pct,entry_price,price,first_signal,last_signal,filters,best_detail,tier
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,JP,2,7.315247895229193,5345.0,5736.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
ZGN,,US,2,7.311827956989259,13.95,14.97,2026-07-21,2026-07-22,technical,grade B,T3_MID
DFIN,,US,2,7.30165204976545,49.03,52.61,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
KFY,,US,2,7.280184568059478,78.02,83.7,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
9746,ＴＫＣ,JP,2,7.270233196159115,3645.0,3910.0,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
PEBO,,US,2,7.209951764407196,39.39,42.23,2026-07-21,2026-07-22,technical,grade A,T3_MID
AMRX,,US,2,7.200000000000006,17.5,18.76,2026-07-21,2026-07-22,technical,grade B,T3_MID
9090,ＡＺ－ＣＯＭ丸和ホールディングス,JP,2,7.110091743119273,872.0,934.0,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
FCH.L,Funding Circle,EU,2,7.038834951456319,206.0,220.5,2026-07-21,2026-07-22,technical,grade A,T4_ILLIQUID
BIP,,US,2,7.018887187340472,39.18,41.93,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
DOCU,,US,2,7.0172084130019075,52.3,55.97,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
MCK,,US,2,6.980492146344974,831.46,889.5,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
8387,四国銀行,JP,2,6.955177743431218,3235.0,3460.0,2026-07-21,2026-07-22,technical,grade A,T2_LIQUID
F,,US,2,6.933523945675479,13.99,14.96,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
ADUS,,US,2,6.923766816143506,111.5,119.22,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
3626,ＴＩＳ,JP,2,6.921105098262603,3511.0,3754.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
9602,東宝,JP,2,6.898954703832749,1435.0,1534.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
VOC,,US,2,6.896551724137945,3.19,3.41,2026-07-21,2026-07-22,technical,grade A,T4_ILLIQUID
4523,エーザイ,JP,2,6.89424364123159,4482.0,4791.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
HELP,,US,2,6.891701828410679,7.11,7.6,2026-07-21,2026-07-22,technical,grade B,T3_MID
NUVB,,US,2,6.869009584664543,6.26,6.69,2026-07-21,2026-07-22,technical,grade A,T3_MID
OSBC,,US,2,6.864406779661003,23.6,25.22,2026-07-21,2026-07-22,technical,grade B,T3_MID
GWRE,,US,2,6.843622226690793,149.19,159.4,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
6083,ＥＲＩホールディングス,JP,2,6.807351940095296,1469.0,1569.0,2026-07-21,2026-07-22,technical,grade A,T3_MID
PINS,,US,2,6.795265234546255,22.81,24.36,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
FBP,,US,2,6.780896828290195,27.43,29.29,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
CLW,,US,2,6.768292682926846,16.4,17.51,2026-07-21,2026-07-22,technical,grade B,T3_MID
FMBH,,US,2,6.718084026791149,49.27,52.58,2026-07-21,2026-07-22,technical,grade B,T3_MID
7184,富山第一銀行,JP,2,6.662064204349316,2897.0,3090.0,2026-07-21,2026-07-22,technical,grade A,T2_LIQUID
3191,ジョイフル本田,JP,2,6.608695652173924,2300.0,2452.0,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
CHCO,,US,2,6.591143151390333,135.94,144.9,2026-07-21,2026-07-22,technical,grade B,T3_MID
9022,東海旅客鉄道,JP,2,6.565919749869731,3838.0,4090.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
DPZ,,US,2,6.535550354135644,328.97,350.47,2026-07-21,2026-07-22,technical,grade A,T1_MOST_LIQUID
7550,ゼンショーホールディングス,JP,2,6.5297297297297385,9250.0,9854.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
TASK,,US,2,6.529209621993126,5.82,6.2,2026-07-21,2026-07-22,technical,grade B,T3_MID
CTAS,,US,2,6.491575817641215,201.8,214.9,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
ROST,,US,2,6.467893799304436,235.78,251.03,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
ENSG,,US,2,6.451987909788426,172.04,183.14,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
VOD,,US,2,6.428571428571428,15.4,16.39,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
CHMG,,US,2,6.425233644859807,77.04,81.99,2026-07-21,2026-07-22,technical,grade B,T4_ILLIQUID
ONC,,US,2,6.400927297314696,310.58,330.46,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
ICG.L,ICG,EU,2,6.39470782800442,1814.0,1930.0,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
FNF,,US,2,6.370428627605196,50.86,54.1,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
3382,セブン＆アイ・ホールディングス,JP,2,6.364513018322082,2074.0,2206.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
GLBE,,US,2,6.342263531984682,36.58,38.9,2026-07-21,2026-07-22,technical,grade A,T1_MOST_LIQUID
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,JP,2,6.308016877637135,4740.0,5039.0,2026-07-21,2026-07-22,technical,grade A,T1_MOST_LIQUID
8399,琉球銀行,JP,2,6.289529163738572,2846.0,3025.0,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
APAM,,US,2,6.264621783207702,38.47,40.88,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
GIC,,US,2,6.251825883727724,34.23,36.37,2026-07-21,2026-07-22,technical,grade B,T3_MID
SAAB-B.ST,Saab B,EU,2,6.249999999999978,579.2,615.4,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
7460,ヤギ,JP,2,6.239267315397834,1747.0,1856.0,2026-07-21,2026-07-22,technical,grade B,T4_ILLIQUID
GPN,,US,2,6.179434260046124,82.37,87.46,2026-07-21,2026-07-22,technical,grade A,T1_MOST_LIQUID
XNCR,,US,2,6.166932482721954,18.81,19.97,2026-07-21,2026-07-22,technical,grade A,T2_LIQUID
ADBE,,US,2,6.1514867512993066,234.74,249.18,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
9861,吉野家ホールディングス,JP,2,6.136680613668055,3585.0,3805.0,2026-07-21,2026-07-22,technical,grade A,T1_MOST_LIQUID
SPI.L,Spire Healthcare,EU,2,6.136363636363629,220.0,233.5,2026-07-21,2026-07-22,technical,grade B,T4_ILLIQUID
3360,シップヘルスケアホールディングス,JP,2,6.086221470836861,2366.0,2510.0,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
GSL,,US,2,6.082725060827254,41.1,43.6,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
ATR,,US,2,6.081133092140711,129.91,137.81,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
LEA,,US,2,6.078767123287676,140.16,148.68,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
CXM,,US,2,6.050420168067228,5.95,6.31,2026-07-21,2026-07-22,technical,grade A,T2_LIQUID
3179,シュッピン,JP,2,5.996758508914102,1234.0,1308.0,2026-07-21,2026-07-22,technical,grade A,T3_MID
4768,大塚商会,JP,2,5.964797913950459,3068.0,3251.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
LCNB,,US,2,5.906108026249379,19.81,20.98,2026-07-21,2026-07-22,technical,grade A,T4_ILLIQUID
6758,ソニーグループ,JP,2,5.899363794100632,3458.0,3662.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
INSW,,US,2,5.88235294117645,88.4,93.6,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
HST,,US,2,5.860349127182052,24.06,25.47,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
HLNE,,US,2,5.81560283687943,84.6,89.52,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
BL,,US,2,5.794701986754958,30.2,31.95,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
GGB,,US,2,5.769230769230771,4.68,4.95,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
KNSL,,US,2,5.7492931196984065,350.13,370.26,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
BMY,,US,2,5.718085106382986,60.16,63.6,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
SYBT,,US,2,5.717821782178234,80.8,85.42,2026-07-21,2026-07-22,technical,grade B,T3_MID
UFI,,US,2,5.681818181818166,6.16,6.51,2026-07-21,2026-07-22,technical,grade B,T4_ILLIQUID
QCRH,,US,2,5.657289002557553,97.75,103.28,2026-07-21,2026-07-22,technical,grade B,T3_MID
7383,ネットプロテクションズホールディングス,JP,2,5.6372549019607865,408.0,431.0,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
HAE,,US,2,5.5903799411539,78.17,82.54,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
ELF,,US,2,5.58694287507846,79.65,84.1,2026-07-21,2026-07-22,technical,grade A,T1_MOST_LIQUID
SCSC,,US,2,5.5862831858407125,54.24,57.27,2026-07-21,2026-07-22,technical,grade B,T3_MID
OOMA,,US,2,5.579399141630903,20.97,22.14,2026-07-21,2026-07-22,technical,grade A,T3_MID
KHC,,US,2,5.568445475638062,25.86,27.3,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
MRSH,,US,2,5.540911587040087,182.1,192.19,2026-07-21,2026-07-22,technical,grade A,T1_MOST_LIQUID
BPT.L,Bridgepoint Group,EU,2,5.5299539170506895,303.8,320.6,2026-07-21,2026-07-22,technical,grade B,T3_MID
FIVN,,US,2,5.525291828793777,25.7,27.12,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
ABT,,US,2,5.518394648829439,101.66,107.27,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
9769,学究社,JP,2,5.499612703330747,2582.0,2724.0,2026-07-21,2026-07-22,technical,grade B,T4_ILLIQUID
SMG,,US,2,5.48340548340549,69.3,73.1,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
VRTS,,US,2,5.482239763196861,162.16,171.05,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
ELM.L,Elementis,EU,2,5.459057071960305,161.2,170.0,2026-07-21,2026-07-22,technical,grade B,T4_ILLIQUID
ACIW,,US,2,5.45102866186038,56.87,59.97,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
BR,,US,2,5.439274763364876,150.02,158.18,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
CAG,,US,2,5.39617486338797,14.64,15.43,2026-07-21,2026-07-22,technical,grade A,T1_MOST_LIQUID
CARS,,US,2,5.3467000835421885,11.97,12.61,2026-07-21,2026-07-22,technical,grade B,T3_MID
4432,ウイングアーク１ｓｔ,JP,2,5.344827586206891,2900.0,3055.0,2026-07-21,2026-07-22,technical,grade A,T2_LIQUID
4816,東映アニメーション,JP,2,5.335753176043556,2755.0,2902.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
PETS.L,Pets at Home,EU,2,5.316973415132931,195.6,206.0,2026-07-21,2026-07-22,technical,grade B,T4_ILLIQUID
3561,力の源ホールディングス,JP,2,5.312500000000009,1600.0,1685.0,2026-07-21,2026-07-22,technical,grade B,T3_MID
KMX,,US,2,5.312108746199251,55.91,58.88,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
4441,トビラシステムズ,JP,2,5.286624203821666,1570.0,1653.0,2026-07-21,2026-07-22,technical,grade A,T4_ILLIQUID
GABC,,US,2,5.282707387536112,48.46,51.02,2026-07-21,2026-07-22,technical,grade B,T3_MID
NRT,,US,2,5.269607843137258,8.16,8.59,2026-07-21,2026-07-22,technical,grade A,T4_ILLIQUID
RJF,,US,2,5.263783269961975,168.32,177.18,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
6457,グローリー,JP,2,5.255748474894406,4262.0,4486.0,2026-07-21,2026-07-22,technical,grade A,T2_LIQUID
WGO,,US,2,5.244182235332673,30.51,32.11,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
DDL,,US,2,5.240174672489095,2.29,2.41,2026-07-21,2026-07-22,technical,grade B,T3_MID
RS1.L,RS Group,EU,2,5.2400954942431355,661.82,696.5,2026-07-21,2026-07-22,technical,grade B,T3_MID
RUSHA,,US,2,5.205552589428719,74.92,78.82,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
9110,ＮＳユナイテッド海運,JP,2,5.189340813464227,7130.0,7500.0,2026-07-21,2026-07-22,technical,grade A,T2_LIQUID
VRSK,,US,2,5.188562366816996,201.79,212.26,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
ZBIO,,US,2,5.17915309446253,30.7,32.29,2026-07-21,2026-07-22,technical,grade B,T3_MID
EDEN.PA,Edenred,EU,2,5.149253731343273,26.8,28.18,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
UPWK,,US,2,5.144694533762073,9.33,9.81,2026-07-21,2026-07-22,technical,grade A,T2_LIQUID
VTRS,,US,2,5.120659211300782,16.99,17.86,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
BBY,,US,2,5.098085281334441,85.13,89.47,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
BURL,,US,2,5.0746862043505425,352.14,370.01,2026-07-21,2026-07-22,technical,grade A,T1_MOST_LIQUID
NHC,,US,2,5.057303983991268,219.88,231.0,2026-07-21,2026-07-22,technical,grade B,T3_MID
NXST,,US,2,5.052859853618874,184.45,193.77,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
PRU,,US,2,5.05213189794016,117.97,123.93,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
MFC,,US,2,5.035294117647071,42.5,44.64,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
9616,共立メンテナンス,JP,2,5.024000000000006,3125.0,3282.0,2026-07-21,2026-07-22,technical,grade A,T1_MOST_LIQUID
PFIS,,US,2,5.022631041027914,68.49,71.93,2026-07-21,2026-07-22,technical,grade B,T4_ILLIQUID
KELYA,,US,2,5.006501950585163,15.38,16.15,2026-07-21,2026-07-22,technical,grade B,T3_MID
8392,大分銀行,JP,2,5.003819709702073,2618.0,2749.0,2026-07-21,2026-07-22,technical,grade A,T2_LIQUID
6995,東海理化電機製作所,JP,2,4.97592295345104,3115.0,3270.0,2026-07-21,2026-07-22,golden_cross_hist+technical,grade B,T2_LIQUID
CRAI,,US,2,4.9568462794495005,171.48,179.98,2026-07-21,2026-07-22,technical,grade B,T3_MID
JAN,,US,2,4.940318302387259,30.16,31.65,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
LZ,,US,2,4.935064935064926,7.7,8.08,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
6988,日東電工,JP,2,4.933008526187566,3284.0,3446.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
REXR,,US,2,4.930913031698725,36.91,38.73,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
7839,ＳＨＯＥＩ,JP,2,4.9284578696343395,1887.0,1980.0,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
GCT,,US,2,4.925723221266609,38.37,40.26,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
7102,日本車輌製造,JP,2,4.924760601915179,3655.0,3835.0,2026-07-21,2026-07-22,technical,grade B,T3_MID
9020,東日本旅客鉄道,JP,2,4.904109589041106,3650.0,3829.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
1976,明星工業,JP,2,4.883227176220806,1884.0,1976.0,2026-07-21,2026-07-22,technical,grade B,T3_MID
MCS,,US,2,4.878048780487809,23.78,24.94,2026-07-21,2026-07-22,technical,grade B,T3_MID
9081,神奈川中央交通,JP,2,4.862023653088032,3805.0,3990.0,2026-07-21,2026-07-22,technical,grade A,T4_ILLIQUID
SMA,,US,2,4.859259259259252,33.75,35.39,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
BIPC,,US,2,4.858199753390902,40.55,42.52,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
ADT,,US,2,4.857142857142849,7.0,7.34,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
3539,ＪＭホールディングス,JP,2,4.841149773071107,1322.0,1386.0,2026-07-21,2026-07-22,technical,grade A,T3_MID
MET,,US,2,4.839230024733832,92.99,97.49,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
TOST,,US,2,4.82982171799029,30.85,32.34,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
ORNBV.HE,Orion,EU,2,4.808959156785231,75.9,79.55,2026-07-21,2026-07-22,technical,grade B,T3_MID
9064,ヤマトホールディングス,JP,2,4.7972304648862485,2022.0,2119.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
9021,西日本旅客鉄道,JP,2,4.790619765494131,2985.0,3128.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
9101,日本郵船,JP,2,4.768534632788035,5746.0,6020.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
MUFG,,US,2,4.764128911723486,21.41,22.43,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
HSBC,,US,2,4.736895263104723,99.01,103.7,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
CASS,,US,2,4.7155688622754655,53.44,55.96,2026-07-21,2026-07-22,technical,grade B,T3_MID
8360,山梨中央銀行,JP,2,4.704097116843697,6590.0,6900.0,2026-07-21,2026-07-22,technical,grade A,T2_LIQUID
LPP.WA,LPP,EU,2,4.695304695304703,20020.0,20960.0,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
5929,三和ホールディングス,JP,2,4.6875,3776.0,3953.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
GCO,,US,2,4.678677063726822,37.19,38.93,2026-07-21,2026-07-22,technical,grade B,T3_MID
OMC,,US,2,4.674031807696966,82.37,86.22,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
2212,山崎製パン,JP,2,4.62633451957295,3372.0,3528.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
KIE.L,Kier Group,EU,2,4.622871046228716,230.16,240.8,2026-07-21,2026-07-22,technical,grade B,T3_MID
IART,,US,2,4.605611434621504,18.89,19.76,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
ANGO,,US,2,4.59518599562363,13.71,14.34,2026-07-21,2026-07-22,technical,grade A,T3_MID
AJG,,US,2,4.592761964834824,253.66,265.31,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
MONY.L,MONY Group,EU,2,4.591061112800254,197.34,206.4,2026-07-21,2026-07-22,technical,grade B,T4_ILLIQUID
8630,ＳＯＭＰＯホールディングス,JP,2,4.578174488914488,6946.0,7264.0,2026-07-21,2026-07-22,technical,grade A,T1_MOST_LIQUID
CTBI,,US,2,4.55032119914347,74.72,78.12,2026-07-21,2026-07-22,technical,grade B,T3_MID
CNA,,US,2,4.536004536004556,52.91,55.31,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
GBX,,US,2,4.519774011299416,49.56,51.8,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
GFTU.L,Grafton Group,EU,2,4.509340777324455,931.4,973.4,2026-07-21,2026-07-22,technical,grade B,T3_MID
WTB.L,Whitbread,EU,2,4.485049833887045,2408.0,2516.0,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
MGA,,US,2,4.480775052982122,66.06,69.02,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
FBIZ,,US,2,4.4721630666261225,65.74,68.68,2026-07-21,2026-07-22,technical,grade A,T4_ILLIQUID
4224,ロンシール工業,JP,2,4.466019417475731,2060.0,2152.0,2026-07-21,2026-07-22,technical,grade A,T4_ILLIQUID
ITGR,,US,2,4.464564470808607,96.09,100.38,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
3197,すかいらーくホールディングス,JP,2,4.46280991735537,3025.0,3160.0,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
NDAQ,,US,2,4.451942962882316,91.87,95.96,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
TRN,,US,2,4.444444444444429,36.45,38.07,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
CRM,,US,2,4.436388745037112,173.79,181.5,2026-07-21,2026-07-22,technical,grade B,T1_MOST_LIQUID
DKL,,US,2,4.4343891402715,55.25,57.7,2026-07-21,2026-07-22,technical,grade B,T3_MID
