sector,n,n_beat,drift_beat_%,drift_miss_%,PEAD_spread_%
Communication Services,469.0,308.0,1.9429415047006862,-2.0223222722911034,3.96526377699179
Energy,445.0,318.0,1.9212294651850723,-1.141952377056972,3.0631818422420443
Real Estate,387.0,233.0,0.5757547599105884,-1.0666819665824667,1.6424367264930553
Consumer Discretionary,983.0,699.0,1.6534621537639744,0.14406431118271004,1.5093978425812644
Information Technology,2055.0,1724.0,2.869974994889031,1.8677683279450168,1.0022066669440146
Health Care,1469.0,1044.0,-0.12213924203402898,-1.1041079349308447,0.9819686928968157
Industrials,1452.0,1027.0,2.569255587640534,2.510286929997806,0.05896865764272799
Consumer Staples,488.0,370.0,0.658111555029055,0.6201726528358167,0.03793890219323838
Materials,308.0,188.0,1.985020481603622,1.9998619097992827,-0.014841428195660686
Financials,1414.0,1051.0,1.5184860509185236,1.8574168472692627,-0.33893079635073897
Utilities,188.0,113.0,2.1960496181406195,2.994349260280031,-0.7982996421394113
