screener,n_years,hit_rate_years_63d,hit_rate_years_252d,avg_excess_63d,avg_excess_252d,worst_year_252d,best_year_252d
darvas,11,63.63636363636363,72.72727272727273,1.0091858335687143,25.195962054862477,-19.093198023026744,108.2339139589483
new_highs,10,80.0,70.0,1.8060732906023638,26.000762168137854,-22.6082817006997,115.3568346236512
golden_cross,10,50.0,50.0,-1.284607018691148,17.725074406078576,-15.388664508372747,99.22773582229709
reversal_weekly,11,45.45454545454545,45.45454545454545,-2.239729569292744,17.0957835442835,-27.045913728336334,99.82179829510197
reversal_monthly,11,45.45454545454545,45.45454545454545,-2.6296876724590503,16.249004211077448,-29.114858477911305,99.36945004529322
below_200dma,10,30.0,40.0,-3.2004500350391725,10.35650880076958,-27.56597000161787,95.37415274504431
low_beta,5,80.0,40.0,3.311691608275158,10.862759341473199,-6.014398644526762,40.120658794046534
