effect,coef,se,p,horizon,n,p_fdr
not_distress:capacity_expansion,2.8971430867839727,1.1256234336564694,0.010058491545230265,xret_T+126d,48095,0.14604929723674345
new_highs:fcf_yield,-2.2176582079232254,0.885735851254112,0.012288597882587168,xret_T+126d,48095,0.16833060495770347
ps_value:low_asset_growth,4.017834341867428,1.610196069037106,0.012587004525937225,xret_T+126d,48095,0.1706926275110125
darvas:operating_profit_growth,2.1515285469151277,0.8687325961824287,0.013262959838131198,xret_T+126d,48095,0.17635364180372254
golden_cross:ev_ebitda_value,2.7380899655613207,1.1156565709103907,0.01411823733189743,xret_T+126d,48095,0.18238150005262516
roce_plus:pead_positive_surprise,6.93609343884956,2.869017196669141,0.015623876970055387,xret_T+126d,48095,0.19729612228237528
golden_cross:insider_buying,3.5823587558963075,1.4907953474195945,0.016261857499230856,xret_T+126d,48095,0.20285409870174573
insider_buying,12.941737649564788,5.470235875741055,0.017988907785596604,xret_T+126d,48095,0.21912662839501904
insider_buying:short_interest_decline,-5.542506009025903,2.3556784209469366,0.018631252869700136,xret_T+126d,48095,0.22468919573757973
reversal_weekly,2.644098392799635,1.127498504707861,0.01902190236826476,xret_T+126d,48095,0.226391821628856
below_200dma:net_margin,3.0762107348864975,1.3145826942864487,0.019280313994918745,xret_T+126d,48095,0.22797244235034217
new_highs:roic_value,2.9664592226031052,1.273945990818252,0.019882406081722093,xret_T+126d,48095,0.23226705644483897
sloan_quality:not_distress,2.5003040225864264,1.0739039196119688,0.01989946406455783,xret_T+126d,48095,0.23226705644483897
net_margin:short_interest_decline,-2.196230650091966,0.9441832612434968,0.0200151391454376,xret_T+126d,48095,0.23286844582672594
new_highs:short_interest_decline,-2.018704946221875,0.8739368379437051,0.020893802327634617,xret_T+126d,48095,0.23616510414186825
low_beta:low_asset_growth,1.844416828125022,0.8144555376126531,0.023537175265198294,xret_T+126d,48095,0.25969588514489306
below_200dma:short_interest_decline,2.7368922704303147,1.2320401951457587,0.026321783992034765,xret_T+126d,48095,0.2737767217509633
low_beta:buyback_yield,-2.7127973129928242,1.2239687486988944,0.02666451224670188,xret_T+126d,48095,0.2757611950299938
roce_plus:capacity_expansion,5.091993453884384,2.301080453145186,0.026906563023215375,xret_T+126d,48095,0.27747393117690855
ps_value,8.786764757464123,3.994814761018218,0.027839372201584157,xret_T+126d,48095,0.2800999600478715
reversal_monthly:insider_buying,-3.4855898368269465,1.5925799186384415,0.0286227546784533,xret_T+126d,48095,0.2870182306154295
ev_sales:insider_buying,-5.854322115967775,2.68484629593242,0.02922001156137012,xret_T+126d,48095,0.29024009133958806
reversal_weekly:low_beta,-1.755745186383594,0.818738829641235,0.03199677888717566,xret_T+126d,48095,0.301683915221942
capacity_expansion:roic_value,3.043117910132642,1.4207792062497155,0.032204309886246396,xret_T+126d,48095,0.30285400229812026
operating_margin,-6.282072405031571,2.952496242097919,0.033360668124668494,xret_T+126d,48095,0.3097166887277407
magic_formula:peg_value,11.203726675021159,5.271310356953738,0.03355192742519529,xret_T+126d,48095,0.3102079189399322
operating_margin:fcf_margin,-2.640044626446832,1.267672129694751,0.03728837215644269,xret_T+126d,48095,0.3342142985873753
golden_cross:sloan_quality,1.6112413519073348,0.7817832106461756,0.03930472967341535,xret_T+126d,48095,0.3463013803749944
growth_stocks:low_beta,-3.523891189847477,1.7180789567717656,0.040260641320228156,xret_T+126d,48095,0.34946757567674547
reversal_monthly:low_asset_growth,-1.7976406561943299,0.8761436762679526,0.04019253667481451,xret_T+126d,48095,0.34946757567674547
growth_stocks,14.620726283845581,7.174937306145966,0.04157497187944748,xret_T+126d,48095,0.3526101586971831
reversal_weekly:net_margin,-4.399682048175747,2.1551933737833715,0.04120784522665034,xret_T+126d,48095,0.3526101586971831
magic_formula:operating_profit_growth,-5.211289440596373,2.566808009037811,0.04233004610464036,xret_T+126d,48095,0.3564802302715443
pead_positive_surprise:eps_growth,4.927943105199803,2.43158938808829,0.04269979877984935,xret_T+126d,48095,0.3564802302715443
capacity_expansion:fcf_margin,-2.5329722740684195,1.2626472994977698,0.04484764746904882,xret_T+126d,48095,0.3658358658711173
peg_value:eps_growth,2.902675243624198,1.4468840439346449,0.044839596511795116,xret_T+126d,48095,0.3658358658711173
net_debt_ebitda,4.371128071186761,2.1888391469596225,0.04582437429693401,xret_T+126d,48095,0.3678915484117949
ev_ebitda_value:ev_sales,4.093930187097968,2.0466765200852195,0.04546982241301826,xret_T+126d,48095,0.3678915484117949
bull_cartel:short_interest_decline,2.196727775578469,1.1036203194645626,0.04653872300248347,xret_T+126d,48095,0.3704727291645066
debt_reduction:buyback_yield,-5.337602134764067,2.6878822423376176,0.047055305260111875,xret_T+126d,48095,0.3729492534807994
magic_formula:net_debt_ebitda,-16.64961297336094,8.416255521395577,0.04789842755081153,xret_T+126d,48095,0.3750746875166129
small_cap_growth:low_asset_growth,-10.142131553926609,5.12723293231889,0.04791848051294057,xret_T+126d,48095,0.3750746875166129
golden_cross:fcf_margin,-1.7131258046592857,0.8687878949594295,0.04862589215705783,xret_T+126d,48095,0.37521068315184997
magic_formula:low_beta,-4.1019422164124455,2.1004453287314697,0.050832431238203905,xret_T+126d,48095,0.38602871421481205
bull_cartel:roce_plus,-5.977135298602327,3.1244211915003643,0.055743235787349146,xret_T+126d,48095,0.41044208094944706
piotroski,-10.654343394267274,5.614444998767032,0.05774004690915075,xret_T+126d,48095,0.4146392413058652
magic_formula:short_interest_decline,4.929479275895824,2.5921868231485443,0.05721454440100936,xret_T+126d,48095,0.4146392413058652
golden_cross:low_asset_growth,-1.5771885194076847,0.8317467588929799,0.0579287856546017,xret_T+126d,48095,0.41475639433176364
new_highs:graham_10y,-2.212640102570666,1.1729007102182347,0.059231865518591074,xret_T+126d,48095,0.42159151339703055
piotroski:bull_cartel,3.978555459980243,2.1138118311564305,0.05981279331144311,xret_T+126d,48095,0.4215930868359971
pb_value:net_debt_ebitda,-1.9329052528817257,1.0258996928424235,0.059550442893085705,xret_T+126d,48095,0.4215930868359971
eps_growth:low_asset_growth,2.6615457443095347,1.4140493398905774,0.0598067467138609,xret_T+126d,48095,0.4215930868359971
golden_cross:eps_growth,2.0420849489098516,1.090109621336064,0.06102917341915968,xret_T+126d,48095,0.4268514441455677
reversal_monthly:pb_value,1.4917900805063766,0.7990869283768777,0.061919977286722654,xret_T+126d,48095,0.4314194194833076
piotroski:low_asset_growth,3.5188119923216528,1.8904028134994635,0.06268650167451867,xret_T+126d,48095,0.4342595440429442
coffee_can:growth_stocks,7.177639327931114,3.866583528662506,0.06340711295869558,xret_T+126d,48095,0.43509984884700376
golden_cross:bull_cartel,1.7918214593624993,0.9694892354981768,0.06457170691339119,xret_T+126d,48095,0.4352843342495277
new_highs:roce_plus,-4.480299537682422,2.4310636066769695,0.0653380611044938,xret_T+126d,48095,0.4352843342495277
below_200dma:pb_value,2.1094481376448697,1.1448611563663522,0.06539675478510104,xret_T+126d,48095,0.4352843342495277
reversal_weekly:short_interest_decline,-2.2674681687945384,1.2287918734124261,0.06499645141428204,xret_T+126d,48095,0.4352843342495277
operating_margin:low_asset_growth,2.2203083506429717,1.2027261381739738,0.06488304298997573,xret_T+126d,48095,0.4352843342495277
fcf_margin,6.17611405482161,3.35685722956782,0.06579025010823662,xret_T+126d,48095,0.4353171693626559
below_200dma:roce_plus,5.909320688532473,3.226140867671753,0.06699619977721746,xret_T+126d,48095,0.43740324674694137
small_cap_growth:low_beta,8.160163766344104,4.459356305610357,0.06726530723470475,xret_T+126d,48095,0.43777403062005665
darvas:short_interest_decline,-1.4338652198674122,0.7915431988704822,0.07006647554642445,xret_T+126d,48095,0.44653982874886183
growth_stocks:ev_ebitda_value,-4.814907993519438,2.65931450337004,0.07020552108980817,xret_T+126d,48095,0.44653982874886183
darvas:new_highs,1.1181129624899933,0.6216580908637751,0.0720823032390902,xret_T+126d,48095,0.45505871436156076
coffee_can:low_asset_growth,-3.1752509718317707,1.7782462265721921,0.07416272483470772,xret_T+126d,48095,0.46415636405170524
new_highs:coffee_can,-3.306367778179297,1.853401868926796,0.07443253423234629,xret_T+126d,48095,0.4650432001091515
magic_formula:reversal_monthly,-4.624694623103068,2.6030755535757377,0.07562961055488722,xret_T+126d,48095,0.46849059097993273
sloan_quality:small_cap_growth,7.6477937078802745,4.302609254068783,0.07548961147334826,xret_T+126d,48095,0.46849059097993273
capacity_expansion:pead_positive_surprise,-2.4485193509737058,1.379542383484711,0.07591804262783629,xret_T+126d,48095,0.4688397645816628
roce_plus:peg_value,5.272752970951928,2.9798063359851916,0.07681127320080101,xret_T+126d,48095,0.47258461308289434
peg_value,-2.1970732368550436,1.2451678624977474,0.07765127441179105,xret_T+126d,48095,0.47309542393098714
pead_positive_surprise:peg_value,-2.1970732368547683,1.2451678624977316,0.0776512744118245,xret_T+126d,48095,0.47309542393098714
debt_reduction:ps_value,-6.963846464200144,3.947259036098638,0.07769438705038675,xret_T+126d,48095,0.47309542393098714
fcf_yield:debt_reduction_and_opgrowth,8.449454165620224,4.785429270749175,0.07745244711573637,xret_T+126d,48095,0.47309542393098714
piotroski:net_margin,3.92006985015684,2.2305525654191882,0.07884226391798049,xret_T+126d,48095,0.47699569670378195
golden_cross:pb_value,-1.293976669191599,0.7449050218448139,0.08236901064091354,xret_T+126d,48095,0.48381797512381247
darvas:fcf_margin,-1.691274978390204,0.9822166402533035,0.08508834599078352,xret_T+126d,48095,0.49419311351447065
capacity_expansion:graham_10y,-2.422812258379328,1.4059249498861022,0.08483662857014936,xret_T+126d,48095,0.49419311351447065
net_margin:low_asset_growth,1.8835003033503477,1.0929699773797323,0.08483674497742476,xret_T+126d,48095,0.49419311351447065
darvas:pb_value,-1.3697316557007073,0.7986778176186781,0.08634541092211895,xret_T+126d,48095,0.4977832337139486
piotroski:short_interest_decline,2.920068491002507,1.7153156166196886,0.08868967316653448,xret_T+126d,48095,0.5055772668095546
reversal_weekly:roic_value,-4.0588586122238794,2.3928778335973764,0.08984332443860514,xret_T+126d,48095,0.5087851290360946
low_beta:debt_reduction_and_opgrowth,6.499806452700819,3.8377797684654875,0.09033425100355477,xret_T+126d,48095,0.5099740764275331
not_distress:short_interest_decline,1.6330139621230708,0.9648067526606074,0.09053517435915262,xret_T+126d,48095,0.5103147250368385
below_200dma:buyback_yield,2.996359655522353,1.7804037811221776,0.09238160549133036,xret_T+126d,48095,0.5104189161849759
graham_10y:fcf_margin,-2.914119087758014,1.7243868903396815,0.09103846801912215,xret_T+126d,48095,0.5104189161849759
peg_value:fcf_margin,2.198358466446263,1.3091637817365347,0.09311148796362431,xret_T+126d,48095,0.5110835458487161
darvas:operating_margin,-1.696705699843959,1.0119653857865092,0.09361211580774745,xret_T+126d,48095,0.5117650306959687
darvas:magic_formula,3.7900420238068113,2.2709600901191322,0.09513399383506518,xret_T+126d,48095,0.5146593109110084
coffee_can:bull_cartel,-4.049995519983885,2.4312234927196097,0.09574805844402047,xret_T+126d,48095,0.5149117809656213
darvas:peg_value,-1.6235394506772023,0.9776368955916905,0.09677826443186542,xret_T+126d,48095,0.5166251468936345
below_200dma:small_cap_growth,-10.5282475626726,6.334991410400518,0.0965288591095203,xret_T+126d,48095,0.5166251468936345
small_cap_growth:reversal_monthly,11.972759646615451,7.322397851491425,0.10203075055395655,xret_T+126d,48095,0.5344467886159628
fcf_yield:ev_sales,-2.8155209877166767,1.7268574847730365,0.10301055810964993,xret_T+126d,48095,0.5380263682561572
not_distress:operating_margin,2.0810198281589,1.2946896808771993,0.10797754917352327,xret_T+126d,48095,0.5489614894956435
pead_positive_surprise:pb_value,-1.9118231759015873,1.188209102891069,0.10761731156443452,xret_T+126d,48095,0.5489614894956435
pead_positive_surprise:fcf_margin,-2.150025614498197,1.341294750744686,0.10894615539725964,xret_T+126d,48095,0.5498974502216033
darvas:roce_plus,-3.567155807841206,2.2339017801590244,0.11030416286608058,xret_T+126d,48095,0.550762188726097
golden_cross:buyback_yield,2.075362668490891,1.3062059427964876,0.11209471884815092,xret_T+126d,48095,0.5508548058690501
below_200dma:low_asset_growth,-1.8932760276283425,1.1916513833298301,0.11210928496823623,xret_T+126d,48095,0.5508548058690501
capacity_expansion:net_debt_ebitda,-1.9347921038495441,1.216845555417554,0.11183338411935384,xret_T+126d,48095,0.5508548058690501
reversal_weekly:fcf_yield,3.1229034643951312,1.9647313954898473,0.11195181259225487,xret_T+126d,48095,0.5508548058690501
reversal_weekly:ps_value,-4.824438640381279,3.0450739502040123,0.11311590637425598,xret_T+126d,48095,0.5511247603983751
ps_value:ev_ebitda_value,-3.2684875027551534,2.064695726670733,0.11341327713983092,xret_T+126d,48095,0.5511247603983751
coffee_can:magic_formula,-6.015043251159001,3.8017013169597633,0.11360443499339916,xret_T+126d,48095,0.5513156404091429
net_debt_ebitda:low_asset_growth,1.6588198538336911,1.0498927132077247,0.11410918584246708,xret_T+126d,48095,0.5515530554036692
fcf_yield:buyback_yield,1.8960399594416222,1.2012461423038983,0.11447507384896055,xret_T+126d,48095,0.5525857953081473
golden_cross:graham_10y,-1.6699874347056034,1.0687984168489062,0.11817246847785196,xret_T+126d,48095,0.5553519700731937
roce_plus:fcf_margin,4.2676439482994635,2.716514521262076,0.11618267996687605,xret_T+126d,48095,0.5553519700731937
eps_growth:buyback_yield,3.7639559579621293,2.3987943373545755,0.11662388582439448,xret_T+126d,48095,0.5553519700731937
pead_positive_surprise:roic_value,-2.2425908087022277,1.4504511179575366,0.12207237215397394,xret_T+126d,48095,0.5635839447613586
low_beta:eps_growth,-1.624612336255725,1.0520659268795207,0.12253709615126543,xret_T+126d,48095,0.5636678861019128
reversal_monthly:short_interest_decline,-1.0190727070773706,0.6631295062427413,0.1243514245036004,xret_T+126d,48095,0.5656587355238966
bull_cartel:low_asset_growth,2.2866177031813706,1.4894081666964276,0.12472180180192732,xret_T+126d,48095,0.5659251756762452
