symbol,suffix,ltp,change_pct,darvas,piotroski,coffee_can,cc_score,pegu_score,pegu_grade,market
KOVAI,.NS,6019.0,-1.14,BREAKOUT_BUY,9.0,PASS,5/5,68,B+,IN
PRIVISCL,.NS,3550.5,-1.61,BREAKOUT_BUY,9.0,PASS,5/5,68,B+,IN
CCL,.NS,1163.2,-0.33,BREAKOUT_BUY,8.0,PASS,5/5,66,B+,IN
PRICOLLTD,.NS,586.7,-0.44,BREAKOUT_BUY,7.0,PASS,5/5,64,B+,IN
LUPIN,.NS,2343.5,-1.02,BREAKOUT_BUY,7.0,PASS,5/5,64,B+,IN
APOLLOHOSP,.NS,8592.0,0.22,BREAKOUT_BUY,7.0,PASS,5/5,64,B+,IN
LGBBROSLTD,.NS,1587.4,-0.28,BREAKOUT_BUY,7.0,PASS,5/5,64,B+,IN
KFINTECH,.NS,874.15,-0.94,BREAKOUT_BUY,7.0,PASS,5/5,64,B+,IN
DAMODARIND,.NS,31.36,-0.25,BREAKOUT_BUY,9.0,FAIL,2/5,53,B,IN
IPCALAB,.NS,1618.3,-0.18,BREAKOUT_BUY,9.0,FAIL,4/5,53,B,IN
ASARFI,.BO,228.1,7.34,BREAKOUT_BUY,9.0,FAIL,3/5,53,B,IN
GLAND,.NS,2314.8,-0.49,BREAKOUT_BUY,9.0,FAIL,4/5,53,B,IN
RAMCOCEM,.NS,919.1,0.59,BREAKOUT_BUY,9.0,FAIL,3/5,53,B,IN
PVRINOX,.NS,986.4,-0.32,BREAKOUT_BUY,9.0,FAIL,3/5,53,B,IN
SHREECEM,.NS,25735.0,-1.29,BREAKOUT_BUY,8.0,FAIL,3/5,51,B,IN
BRPL,.BO,123.15,-0.57,BREAKOUT_BUY,8.0,FAIL,4/5,51,B,IN
ASAL,.NS,519.05,-0.2,BREAKOUT_BUY,8.0,FAIL,4/5,51,B,IN
ABCINDQ,.BO,64.53,-1.96,BREAKOUT_BUY,8.0,FAIL,2/5,51,B,IN
BHARTIARTL,.NS,1850.7,-1.42,BREAKOUT_BUY,8.0,FAIL,4/5,51,B,IN
WAAREEINDO,.NS,404.7,1.04,BREAKOUT_BUY,8.0,FAIL,3/5,51,B,IN
HITECHCORP,.BO,318.45,0.08,BREAKOUT_BUY,8.0,FAIL,3/5,51,B,IN
RDGAIL,.BO,106.45,-2.34,BREAKOUT_BUY,8.0,FAIL,4/5,51,B,IN
HEIDELBERG,.NS,154.93,0.31,BREAKOUT_BUY,8.0,FAIL,3/5,51,B,IN
JKCEMENT,.NS,5577.0,1.16,BREAKOUT_BUY,8.0,FAIL,4/5,51,B,IN
RIDDHICORP,.BO,63.99,4.18,BREAKOUT_BUY,8.0,FAIL,3/5,51,B,IN
KOLTEPATIL,.NS,368.35,-1.72,BREAKOUT_BUY,8.0,FAIL,3/5,51,B,IN
TALBROSENG,.BO,710.1,0.55,BREAKOUT_BUY,8.0,FAIL,3/5,51,B,IN
ZEAL,.BO,12.07,0.5,BREAKOUT_BUY,8.0,FAIL,4/5,51,B,IN
HINDPETRO,.NS,409.25,-0.88,BREAKOUT_BUY,8.0,FAIL,2/5,51,B,IN
CONTAINE,.BO,22.06,5.0,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
VINATIORGA,.NS,1367.3,-1.31,BREAKOUT_BUY,7.0,FAIL,4/5,49,C,IN
RITES,.NS,208.88,0.3,BREAKOUT_BUY,7.0,FAIL,4/5,49,C,IN
SABEVENTS,.BO,8.42,0.12,BREAKOUT_BUY,7.0,FAIL,1/5,49,C,IN
PRISMMEDI,.BO,28.7,-1.91,BREAKOUT_BUY,7.0,FAIL,1/5,49,C,IN
GREENPANEL,.NS,195.61,1.29,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
INDOAMIN,.NS,137.95,-1.75,BREAKOUT_BUY,7.0,FAIL,4/5,49,C,IN
KARMAENG,.NS,43.44,0.58,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
SHILPAMED,.NS,571.6,-1.39,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
RTSPOWR,.BO,110.05,2.47,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
SAGCEM,.NS,178.32,2.38,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
BENCHMARK,.BO,38.4,-5.0,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
MSPL,.NS,41.9,-0.5,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
SHETR,.BO,95.55,2.69,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
ATUL,.NS,6670.5,0.88,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
KCP,.NS,170.57,-3.1,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
KASTURI,.BO,55.0,0.0,BREAKOUT_BUY,7.0,FAIL,4/5,49,C,IN
NGIL,.BO,37.74,4.98,BREAKOUT_BUY,7.0,FAIL,1/5,49,C,IN
AMBIKCO,.NS,1724.8,-2.58,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
BBTC,.NS,1556.7,-0.96,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
INDTERRAIN,.NS,33.47,-0.03,BREAKOUT_BUY,7.0,FAIL,1/5,49,C,IN
ELFIN,.BO,75.0,3.23,BREAKOUT_BUY,7.0,FAIL,4/5,49,C,IN
MAHLOG,.NS,368.0,-2.46,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
ROSSELLIND,.NS,57.64,-1.15,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
ACGL,.BO,2255.25,0.87,BREAKOUT_BUY,7.0,FAIL,4/5,49,C,IN
SWITCHTE,.BO,97.19,3.54,BREAKOUT_BUY,7.0,FAIL,0/5,49,C,IN
GVT&D,.NS,5043.0,-0.19,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
SNOWMAN,.NS,37.86,-2.27,BREAKOUT_BUY,7.0,FAIL,4/5,49,C,IN
DECCANCE,.NS,590.75,1.58,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
METROGLOBL,.NS,133.2,2.78,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
SFL,.NS,725.6,-1.25,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
JITFINFRA,.NS,314.0,-1.26,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
DIGILOGIC,.BO,125.3,0.48,BREAKOUT_BUY,7.0,FAIL,4/5,49,C,IN
JAGRAN,.NS,65.19,-0.67,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
AMANTA,.BO,161.75,-0.68,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
ESCORTS,.NS,2949.7,0.65,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
ADFFOODS,.NS,300.5,-3.16,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
WESTLIFE,.NS,486.3,1.05,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
RELIANCE,.NS,1318.1,0.34,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
MARUTI,.NS,13745.0,3.75,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
AVROIND,.NS,10.59,4.13,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
RACE,.BO,110.0,-1.79,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
ASAHIINDIA,.NS,898.9,4.82,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
UNICK,.BO,48.5,0.0,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
ACROW,.BO,906.0,-0.22,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
SNL,.BO,380.4,0.53,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
M&M,.NS,3182.2,3.84,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
PHCAP,.BO,974.85,0.99,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
VIMTALABS,.NS,598.0,1.09,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
ACUTAAS,.NS,3300.0,0.96,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
HMVL,.NS,85.29,-2.1,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
LODHA,.NS,947.45,1.02,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
LINDEINDIA,.NS,7021.5,-1.68,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
BLUEDART,.NS,4982.3,-0.33,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
GRSE,.NS,2724.8,-2.08,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
SSDL,.NS,57.28,-1.88,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
MEGRISOFT,.BO,83.0,3.43,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
STAR,.NS,1082.2,-2.62,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
INDNIPPON,.NS,957.65,1.47,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
MISHKA,.BO,42.0,-1.18,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
IKS,.NS,1704.3,-0.77,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
CMMHOSP,.BO,39.6,-5.4,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
SUNILAGR,.BO,84.94,1.72,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
WELSPUNLIV,.NS,167.32,-1.48,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
IZMO,.NS,1015.7,-0.99,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
SUPRAPFSL,.BO,33.5,0.33,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
KROSS,.NS,189.46,-1.42,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
NBIFIN,.NS,1911.8,2.28,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
MONTECARLO,.NS,556.95,-1.05,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
SCHAEFFLER,.NS,4157.6,-0.68,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
SPICELOUNG,.BO,25.09,-1.06,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
MAWANASUG,.BO,105.75,-4.92,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
AICHAMP,.BO,37.69,-0.82,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
BIRLACABLE,.BO,209.35,-1.55,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
CAPILLARY,.NS,507.55,1.83,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
SARVOTTAM,.BO,20.9,1.55,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
NEETUYOSHI,.BO,150.25,-0.89,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
ZYDUSWELL,.NS,518.1,-1.42,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
AROGRANITE,.NS,25.71,0.67,BREAKOUT_BUY,6.0,FAIL,—,47,C,IN
JKIL,.NS,503.65,-0.09,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
PANABYTE,.BO,19.93,3.43,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
PUNJCOMMU,.BO,50.49,3.1,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
TIMKEN,.NS,3653.7,-2.83,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
GOACARBON,.NS,395.4,-2.83,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
MATRIMONY,.NS,401.6,1.48,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
JAMSHRI,.BO,79.71,0.89,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
ALPHAIND,.BO,146.5,9.98,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
MODISONLTD,.BO,320.6,-4.81,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
THERMAX,.NS,4828.8,1.5,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
PIRAMALFIN,.NS,2131.0,-0.18,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
BOMOXY-B1,.BO,19497.95,0.45,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
HAL,.NS,4368.7,0.0,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
ASMS,.BO,7.68,-3.88,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
NPFL,.BO,7.38,0.0,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
DMR,.BO,32.99,0.0,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
SBRANDS,.BO,12.12,4.94,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
GKENERGY,.NS,146.37,-3.68,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
ARTNIRMAN,.NS,42.09,4.6,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
YASHINNO,.BO,31.01,0.88,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
MOREPENLAB,.NS,53.16,2.0,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
SOUTHERNIN,.BO,22.46,3.69,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
MONIKA,.BO,228.0,0.0,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
WELENT,.NS,572.45,0.6,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
DANGEE,.NS,3.25,1.56,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
QUESS,.NS,251.1,0.4,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
NSL,.BO,126.15,-1.02,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
ADVLIFE,.BO,30.54,4.98,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
ANDHRAPAP,.NS,63.61,-0.97,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
GUJINTRX,.BO,440.8,3.69,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
HITTCO,.BO,10.2,2.51,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
MODIRUBBER,.NS,131.31,-0.36,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
CPPLUS,.NS,3558.5,-1.63,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
SHREEJISPG,.NS,481.15,-1.44,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
ADVENTHTL,.NS,144.57,1.24,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
GLEN,.BO,73.08,-0.57,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
ASALCBR,.NS,860.2,2.65,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
ENDURANCE,.NS,2699.2,-0.42,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
FMGOETZE,.NS,452.55,-1.6,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
FISCHER,.NS,36.96,2.3,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
SINCLAIR,.NS,78.16,-1.94,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
BERGEPAINT,.NS,538.65,1.53,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
TFCILTD,.NS,78.44,-1.37,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
MASFIN,.NS,311.95,-0.75,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
LAFFANSQ,.BO,30.05,-1.57,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
PILITA,.BO,8.43,-0.82,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
TVSSCS,.NS,131.49,-1.76,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
SAYAJIHOTL,.NS,308.0,3.36,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
SOVERDIA,.BO,21.9,1.58,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
KRITINUT,.BO,86.44,2.72,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
SALEM,.BO,39.54,6.86,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
NEPLOG,.BO,37.8,-0.53,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
AHCL,.NS,16.29,0.99,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
FIRSTCRY,.NS,222.96,-1.71,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
JLHL,.NS,1375.3,0.28,BREAKOUT_BUY,5.0,FAIL,—,45,C,IN
GALAPREC,.NS,1083.65,-4.29,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
KUANTUM,.NS,76.42,-1.61,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
FLUIDOM,.BO,834.6,0.88,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
LKMEHTA,.BO,43.25,0.0,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
DBSTOCKBRO,.NS,31.0,3.99,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
DKUAL,.BO,9.35,-0.43,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
RUCHIRA,.NS,112.36,2.66,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
VEDAVAAG,.BO,22.6,-1.82,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
GLOBALVECT,.NS,168.23,1.19,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
KALYANI,.BO,647.5,4.46,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
WOMENNET,.BO,8.08,0.0,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
DIDL,.BO,10.5,4.27,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
ADANIENT,.NS,3038.0,-1.03,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
UNIFIED,.BO,384.0,1.32,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
KFBL,.BO,43.9,0.0,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
AMBIT,.BO,9.8,-1.01,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
WHIRLPOOL,.NS,802.8,-0.12,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
CHEVIOT,.NS,1120.2,-0.16,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
DJML,.NS,117.11,3.48,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
GUJJUBHAI,.BO,129.25,-0.31,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
RDBRL,.BO,155.25,1.14,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
IFINSEC,.BO,216.95,1.0,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
ADANIPOWER,.NS,229.27,-0.21,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
MKEXIM,.BO,66.71,3.62,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
JUPITERIN,.BO,57.53,3.66,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
PANKAJPO,.BO,68.5,-1.15,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
STANROS,.BO,69.01,1.49,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
FINPIPE,.NS,176.25,-4.03,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
IREDA,.NS,127.47,-0.04,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
APMIN,.BO,55.13,-0.54,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
EMIAC,.BO,99.05,-0.96,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
MUTHOOTCAP,.NS,202.68,-2.1,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
VEEFIN,.BO,322.45,-2.69,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
BLUESTARCO,.NS,1637.2,-0.94,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
INTLCONV,.NS,81.98,-1.86,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
MIHIKA,.BO,14.92,0.0,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
HATHWAYB,.BO,13.0,-3.2,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
TNPETRO,.NS,94.0,-3.28,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
ICSL,.BO,4.61,-2.95,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
SRM,.NS,508.65,-0.56,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
AJANTSOY,.BO,21.98,1.01,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
VESUVIUS,.NS,469.05,0.32,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
CREDITACC,.NS,1462.3,0.14,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
VOEPL,.BO,420.25,-2.43,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
POLYCHEM,.BO,1938.0,0.57,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
CHANDNIMACH,.BO,78.14,6.85,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
YAJUR,.BO,41.04,4.99,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
RISHITECH,.BO,42.49,5.8,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
KRISHNADEF,.NS,1275.0,-4.49,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
JBCHEPHARM,.NS,2243.9,0.49,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
ZYDUSLIFE,.NS,1101.4,0.19,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
LORDSHOTL,.BO,15.24,0.0,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
PRECWIRE,.NS,420.35,-4.7,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
PILANIINVS,.NS,4397.6,0.29,BREAKOUT_BUY,4.0,FAIL,—,43,C,IN
BERVINL,.BO,43.99,4.44,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
BIBCL,.BO,17.65,-0.56,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
SHUKJEW,.BO,9.58,0.0,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
E2E,.NS,412.3,-1.41,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
HIGHENE,.BO,531.1,0.15,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
TLL,.BO,257.8,4.63,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
ATALREAL,.NS,31.06,2.64,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
ASHOKLEY,.NS,160.68,3.72,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
BAJAJHFL,.NS,87.5,-0.51,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
MFSINTRCRP,.BO,14.3,2.14,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
AADIIND,.BO,9.42,4.67,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
KOTAKBANK,.NS,409.0,0.75,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
QUADFUTURE,.NS,448.5,-1.19,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
RUBICON,.NS,1416.6,1.75,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
MOLDTECH,.NS,133.1,-3.55,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
DIGJAMLMTD,.NS,47.0,-0.02,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
MBAPL,.NS,576.7,0.73,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
ICICIGI,.NS,1813.6,-0.41,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
RJSHAH,.BO,465.5,-5.0,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
NIBE,.NS,1656.2,-2.55,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
SANDESH,.NS,972.4,-2.59,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
TIGERLOGS,.BO,36.74,-1.24,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
CRISIL,.NS,4089.9,0.06,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
MRCAGRO,.BO,36.53,-4.05,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
DAULAT,.BO,30.98,-2.55,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
ICICIBANK,.NS,1387.5,1.01,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
JAYSREETEA,.NS,89.16,0.83,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
PRIMESECU,.NS,299.2,1.42,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
IITLPROJ,.BO,45.37,-7.67,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
HAWKINCOOK,.NS,8013.0,1.56,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
POONAWALLA,.NS,440.3,2.84,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
21STCENMGM,.NS,33.2,1.93,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
MARCLOIRE,.BO,41.9,0.0,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
INFINITY,.BO,409.9,0.0,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
AJANTPHARM,.NS,3180.4,-2.31,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
IDFCFIRSTB,.NS,79.22,0.03,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
AXELPOLY,.BO,45.1,2.97,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
ABRIL,.BO,38.1,3.81,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
MEHUL,.BO,68.0,1.72,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
TATACHEM,.NS,746.2,2.45,BREAKOUT_BUY,3.0,FAIL,—,41,C,IN
KICL,.NS,5393.5,-0.06,BREAKOUT_BUY,2.0,FAIL,—,39,D,IN
PNBHOUSING,.NS,1044.8,-0.16,BREAKOUT_BUY,2.0,FAIL,—,39,D,IN
HYPERSOFT,.BO,211.1,0.52,BREAKOUT_BUY,2.0,FAIL,—,39,D,IN
HAMPS,.BO,26.25,0.0,BREAKOUT_BUY,2.0,FAIL,—,39,D,IN
SHRIRAMFIN,.NS,1031.8,1.26,BREAKOUT_BUY,2.0,FAIL,—,39,D,IN
KARANWO,.BO,9.29,4.97,BREAKOUT_BUY,2.0,FAIL,—,39,D,IN
HARIAEXPO,.BO,6.14,4.96,BREAKOUT_BUY,2.0,FAIL,—,39,D,IN
LCCINFOTEC,.NS,4.72,-4.84,BREAKOUT_BUY,2.0,FAIL,—,39,D,IN
KESAR,.BO,1253.0,0.38,BREAKOUT_BUY,2.0,FAIL,—,39,D,IN
SKM,.BO,377.0,5.0,BREAKOUT_BUY,2.0,FAIL,—,39,D,IN
QUESTFLOW,.BO,206.85,5.0,BREAKOUT_BUY,1.0,FAIL,—,37,D,IN
LTF,.NS,299.0,0.83,BREAKOUT_BUY,1.0,FAIL,—,37,D,IN
AXISBANK,.NS,1377.2,-0.53,BREAKOUT_BUY,1.0,FAIL,—,37,D,IN
SURFI,.BO,18.85,-1.05,BREAKOUT_BUY,1.0,FAIL,—,37,D,IN
TDPOWERSYS,.NS,1255.1,-0.62,BREAKOUT_BUY,,,,35,D,IN
RAJTV,.NS,12.65,-0.63,BREAKOUT_BUY,,,,35,D,IN
GGPL,.BO,1.75,-0.57,BREAKOUT_BUY,,,,35,D,IN
POLYPLEX,.NS,984.3,-5.19,BREAKOUT_BUY,,,,35,D,IN
KEC,.NS,528.15,-0.56,BREAKOUT_BUY,,,,35,D,IN
NEULANDLAB,.NS,17961.0,-0.61,BREAKOUT_BUY,,,,35,D,IN
