Product,Contract,PreviousDaySettlementPrice
FESX,FESX SI 20281215 CS,6465
FESX,FESX SI 20270319 CS,6440
FESX,FESX SI 20290316 CS,6493
FESX,FESX SI 20280616 CS,6406
FESX,FESX SI 20290615 CS,6450
FESX,FESX SI 20261218 CS,6405
FESX,FESX SI 20280915 CS,6442
FESX,FESX SI 20270618 CS,6382
FESX,FESX SI 20270917 CS,6410
FESX,FESX SI 20271217 CS,6432
FESX,FESX SI 20260918 CS,6385
FESX,FESX SI 20280317 CS,6465
