symbol,country,pegu_score,pegu_grade,darvas,piotroski,coffee_can,cc_score,n_product_codes,in_validated_universe,market
ALSTOM,France,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,FR
ANDRITZ,Germany,65,B+,FUTURES_ONLY,7,PASS,3/4,3,0,DE
ANGLO AMERICAN PLC,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
ASML HOLDING,Netherlands,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,NL
BRENNTAG SE,Germany,65,B+,FUTURES_ONLY,7,PASS,3/4,3,0,DE
CASINO GUICHARD,France,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,FR
CISCO SYSTEMS,Germany,65,B+,FUTURES_ONLY,7,PASS,3/4,3,0,DE
CONTINENTAL AG,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
DANONE,France,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,FR
DEUTSCHE POST AG,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
ENGIE,France,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,FR
ESSILORLUXOTTICA,France,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,FR
EVONIK INDUSTRIES AG,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
FDJ UNITED,France,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,FR
FUCHS SE VZ,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
GSK PLC,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
Glanbia PLC,Ireland,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,IE
HEIDELBERG MATERIALS AG,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
HEINEKEN,Netherlands,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,NL
HOLCIM LTD,Switzerland,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,CH
INFINEON,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
KION GROUP AG,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
KLEPIERRE,Germany,65,B+,FUTURES_ONLY,7,PASS,3/4,3,0,DE
KONE,Finland,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,FI
LAKEFRONT  BIOTHERAPEUTICS NV,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
LVMH SE,France,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,FR
MONCLER,Italy,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,IT
NATWEST GROUP PLC,UK,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,GB
NORDEA BANK ABP,Finland,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,FI
PUMA SE,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
ROCHE HOLDING,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
SAFRAN,Germany,65,B+,FUTURES_ONLY,7,PASS,3/4,3,0,DE
SHELL PLC,UK,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,GB
SIEMENS AG,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
SIEMENS HEALTHINEERS AG,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
STELLANTIS N.V.,Germany,65,B+,FUTURES_ONLY,7,PASS,3/4,3,0,DE
SWISSCOM,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
TEAMVIEWER SE,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
TELECOM ITALIA,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
TELEPERFORMANCE,Germany,65,B+,FUTURES_ONLY,7,PASS,3/4,3,0,DE
THALES,France,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,FR
UCB,Belgium,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,BE
VALEO SE,Germany,65,B+,FUTURES_ONLY,7,PASS,3/4,3,0,DE
VINCI,France,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,FR
VIVENDI SE,France,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,FR
VOESTALPINE,Austria,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,AT
WIENERBERGER,Austria,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,AT
ZURICH INSURANCE GROUP,Switzerland,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,CH
HELVETIA BALOISE HOLDING AG,Germany,56,B,OPTIONABLE_FUTURE,5,FAIL,2/4,5,0,DE
ING GROEP NV,Germany,56,B,OPTIONABLE_FUTURE,5,FAIL,2/4,5,0,DE
AIR FRANCE-KLM,France,53,B,OPTIONABLE_FUTURE,5,FAIL,2/4,2,1,FR
ARCELORMITTAL,Germany,53,B,FUTURES_ONLY,5,FAIL,2/4,4,0,DE
BBVA,Germany,53,B,DIVIDEND_ONLY,5,FAIL,2/4,2,1,DE
CSG NV,Netherlands,53,B,OPTIONABLE_FUTURE,5,FAIL,2/4,2,1,NL
DWS GROUP,Germany,53,B,OPTIONABLE_FUTURE,5,FAIL,2/4,2,1,DE
ENI,Germany,53,B,OPTIONS_ONLY,5,FAIL,2/4,2,1,DE
KERING,Germany,53,B,FUTURES_ONLY,5,FAIL,2/4,4,0,DE
LEG IMMOBILIEN SE,Germany,53,B,FUTURES_ONLY,5,FAIL,2/4,2,1,DE
RWE,Germany,53,B,OPTIONS_ONLY,5,FAIL,2/4,2,1,DE
RWE AG,Germany,53,B,FUTURES_ONLY,5,FAIL,2/4,2,1,DE
SAMPO PLC,Germany,53,B,FUTURES_ONLY,5,FAIL,2/4,4,0,DE
ABB LTD,Germany,48,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,3,0,DE
ABN AMRO BANK,Netherlands,48,C+,OPTIONS_ONLY,5,FAIL,2/4,3,0,NL
ACS,Germany,48,C+,OPTIONS_ONLY,5,FAIL,2/4,3,0,DE
ADIDAS AG,Germany,48,C+,OPTIONS_ONLY,5,FAIL,2/4,3,0,DE
AEROPORT DE PARIS,Germany,48,C+,FUTURES_ONLY,5,FAIL,2/4,3,0,DE
AMADEUS IT GROUP SA,Spain,48,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,3,0,ES
AMS-OSRAM AG,Germany,48,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,3,0,DE
ANHEUSER-BUSCH INBEV NV,Germany,48,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,3,0,DE
CFR A SHARES,Switzerland,48,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,3,0,CH
GLENCORE PLC,UK,48,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,3,0,JE
HOLCIM AMRIZE BASKET,Germany,48,C+,OPTIONS_ONLY,5,FAIL,2/4,3,0,DE
MERCK KGAA,Germany,48,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,3,0,DE
NATURGY ENERGY GROUP SA,Spain,48,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,3,0,ES
NOVARTIS AG,Switzerland,48,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,3,0,CH
Nagarro,Germany,48,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,3,0,DE
Novo Nordisk,Denmark,48,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,3,0,DK
Porsche AG pref.,Germany,48,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,3,0,DE
RECKITT BENCKISER,Germany,48,C+,FUTURES_ONLY,5,FAIL,2/4,3,0,DE
RELX PLC,Netherlands,48,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,3,0,NL
SOCIETE GENERALE,France,48,C+,OPTIONS_ONLY,5,FAIL,2/4,3,0,FR
UNILEVER TMICC BASKET,Germany,48,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,3,0,DE
1&1 AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
AALBERTS,Netherlands,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,NL
ABBOTT LABORATORIES,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
ACCOR,France,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,FR
ACERINOX,Spain,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,ES
ACKERMANS & VAN HAAREN,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
ADECCO GROUP,Germany,43,C+,DIVIDEND_ONLY,5,FAIL,2/4,2,0,DE
ADECCO GROUP AG,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
ADYEN,Germany,43,C+,DIVIDEND_ONLY,5,FAIL,2/4,2,0,DE
AHOLD DELHAIZE N.V.,Netherlands,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,NL
AIXTRON,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
AIXTRON SE,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
ALCON,Switzerland,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,CH
ALCON AG,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
ALLIANZ,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
AMAZON.COM,Germany,43,C+,DIVIDEND_ONLY,5,FAIL,2/4,2,0,DE
APPLE INC,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
AROUNDTOWN S.A.,Luxembourg,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,LU
ASM INTERNATIONAL,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
ASR Nederland N.V.,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
AURUBIS AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
AUTO1 Group,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
AVIVA PLC,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
AVOLTA AG,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
Accelleron AG,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
Adyen,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
Aena,Spain,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,ES
Arcadis,Netherlands,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,NL
Autoneum Holding,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
BANCO BPM,Italy,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,IT
BANCO COMERCIAL PORT.,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
BANK OF IRELAND GROUP,Ireland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,IE
BASF,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
BASF SE,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
BAYER,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
BAYER AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
BB BIOTECH,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
BE SEMICONDUCTOR IND NV,Netherlands,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,NL
BECHTLE AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
BEIERSDORF,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
BELIMO Holding AG,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
BILFINGER SE,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
BLACKSTONE,Germany,43,C+,DIVIDEND_ONLY,5,FAIL,2/4,2,0,DE
BOUYGUES,France,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,FR
BP PLC,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
BPOST S.A.,Belgium,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,BE
BT GROUP PLC,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
BURBERRY GROUP PLC,UK,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,GB
BUZZI,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
Banca Monte dei Paschi,Italy,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,IT
Befesa SA,Luxembourg,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,LU
Borussia Dortmund,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
CAIXABANK,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
CANCOM SE,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
CAPGEMINI SA,France,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,FR
CHEVRON,Germany,43,C+,DIVIDEND_ONLY,5,FAIL,2/4,2,0,DE
CLARIANT AG,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
COCA-COLA,Germany,43,C+,DIVIDEND_ONLY,5,FAIL,2/4,2,0,DE
COLONIAL SFL,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
COLRUYT GROUP,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
COMMERZBANK AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
COVIVIO,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
CPI EUROPE,Austria,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,AT
CTS EVENTIM AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
CaixaBank,Spain,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,ES
DAIMLER TRUCK,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
DAVIDE CAMPARI-MILANO,Netherlands,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,NL
DELIVERY HERO SE,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
DEUTSCHE BANK,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
DEUTSCHE BANK AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
DEUTSCHE BOERSE,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
DEUTSCHE PFANDBRIEFBANK,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
DEUTSCHE TELEKOM,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
DEUTSCHE TELEKOM AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
DIAGEO PLC,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
DLETEREN GROUP,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
DOCMORRIS AG,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
DT. BOERSE AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
DUERR AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
Daetwyler Holding AG,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
Do & Co,Austria,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,AT
ELISA CORPORATION,Finland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,FI
EMS CHEMIE HLDG,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
ENAGAS,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
ENDESA,Spain,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,ES
ENEL,Italy,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,IT
ENERGIAS DE PORTUGAL,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
ERSTE GROUP BANK AG,Austria,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,AT
EVOTEC SE,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
EXOR NV,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
Endesa,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
Enel,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
Ericsson [SEK],Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
FEDEX,Germany,43,C+,DIVIDEND_ONLY,5,FAIL,2/4,2,0,DE
FERRARI NV,Netherlands,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,NL
FERROVIAL NV,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
FIELMANN GROUP AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
FLATEXDEGIRO SE,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
FLUGHAFEN ZUERICH AG,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
FORVIA SE,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
FRESENIUS MEDICAL CARE,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
FRESENIUS SE & CO. KGAA,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
FUGRO,Netherlands,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,NL
Forbo Holding AG,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
GALP ENERGIA,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
GE AEROSPACE,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
GEBERIT,Germany,43,C+,DIVIDEND_ONLY,5,FAIL,2/4,2,0,DE
GEBERIT N,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
GECINA S.A.,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
GENERALI,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
GERRESHEIMER,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
GIVAUDAN,Germany,43,C+,DIVIDEND_ONLY,5,FAIL,2/4,2,0,DE
GIVAUDAN AG N,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
GRENKE AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
GRIFOLS,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
GROUPE BRUX. LAMBERT,Belgium,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,BE
Galderma Group,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
HANNOVER RUECK SE,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
HAPAG-LLOYD AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
HENKEL AG & CO. KGAA VZ,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
HEWLETT PACKARD ENTERPRISE CO,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
HOCHTIEF,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
HOLCIM,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
HUHTAMAKI,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
HelloFresh SE,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
Hornbach Holding,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
Hypoport,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
INTEL CORP,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
INTESA SANPAOLO SPA,Italy,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,IT
Interroll Holding,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
JENOPTIK AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
JERONIMO MARTINS,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
JOHNSON & JOHNSON,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
JUNGHEINRICH AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
K+S,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
KBC,Belgium,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,BE
KONINKLIJKE PHILIPS NV,Netherlands,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,NL
KONTRON,Austria,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,AT
KRONES AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
Konecranes,Finland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,FI
Koninklijke Philips,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
LANDIS+GYR GROUP AG,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
LANXESS,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
LEGRAND,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
LINDT & SPRUENGLI,Switzerland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,CH
LONZA GROUP,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
LOREAL,France,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,FR
LOreal,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
LUMO HOMES PLC,Finland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,FI
LVMH,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
MAPFRE S.A.,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
MERCK,Germany,43,C+,DIVIDEND_ONLY,5,FAIL,2/4,2,0,DE
METSO CORP,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
MFE-MEDIAFOREUROPE N.V.,Netherlands,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,NL
MICHELIN,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
MICROSOFT,Germany,43,C+,DIVIDEND_ONLY,5,FAIL,2/4,2,0,DE
MONDI PLC,UK,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,GB
MTU AERO ENGINES AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
MetLife,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
NEMETSCHEK SE,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
NESTE OYJ,Finland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,FI
NEXANS,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
NEXI,Italy,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,IT
NN GROUP,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
NOKIA CORP.,Finland,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,FI
NORFOLK SOUTHERN,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
NORMA GROUP SE,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
NVIDIA,Germany,43,C+,DIVIDEND_ONLY,5,FAIL,2/4,2,0,DE
Northern Data,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
OCI,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
PARTNERS GROUP HOLDING,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
PEPSICO,Germany,43,C+,DIVIDEND_ONLY,5,FAIL,2/4,2,0,DE
PERNOD-RICARD,France,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,FR
PFIZER,Germany,43,C+,DIVIDEND_ONLY,5,FAIL,2/4,2,0,DE
PNE AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
PORSCHE AUTOMOBIL H. SE,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
POSTE ITALIANE,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
POSTNL NV,Netherlands,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,NL
PROSIEBENSAT.1 MEDIA AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
PROSUS,Germany,43,C+,DIVIDEND_ONLY,5,FAIL,2/4,2,0,DE
PROXIMUS SA,Belgium,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,BE
PUBLICIS GROUPE,France,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,FR
Pirelli & C. S.p.A.,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
Porr,Austria,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,AT
QIAGEN NV,Netherlands,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,NL
RAIFFEISEN BANK INT,Austria,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,AT
RANDSTAD NV,Netherlands,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,NL
RATIONAL AG,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
REDCARE PHARMACY,Netherlands,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,NL
RELX,Germany,43,C+,OPTIONS_ONLY,5,FAIL,2/4,2,0,DE
REMY COINTREAU S.A.,Germany,43,C+,FUTURES_ONLY,5,FAIL,2/4,2,0,DE
RENAULT,France,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,FR
RHEINMETALL,Germany,43,C+,OPTIONABLE_FUTURE,5,FAIL,2/4,2,0,DE
