symbol,country,darvas,piotroski,coffee_can,cc_score,has_ssf,has_sso,has_trf,has_div,n_product_codes,in_validated_universe,is_dax40,pegu_score,pegu_grade,market
AMS-OSRAM AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,3,0,0,48,C+,DE
ANHEUSER-BUSCH INBEV NV,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,3,0,0,48,C+,DE
HOLCIM AMRIZE BASKET,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,0,1,3,0,0,48,C+,DE
MERCK KGAA,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,3,0,1,48,C+,DE
Nagarro,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,3,0,0,48,C+,DE
Porsche AG pref.,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,3,0,1,48,C+,DE
RECKITT BENCKISER,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,3,0,0,48,C+,DE
UNILEVER TMICC BASKET,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,3,0,0,48,C+,DE
1&1 AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
ABBOTT LABORATORIES,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
ACKERMANS & VAN HAAREN,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
ADECCO GROUP,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
ADYEN,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
AIXTRON,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,1,0,2,0,0,43,C+,DE
AIXTRON SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
ALCON AG,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
ALLIANZ,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,0,1,2,0,1,43,C+,DE
AMAZON.COM,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
APPLE INC,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
ASM INTERNATIONAL,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
ASR Nederland N.V.,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
AURUBIS AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
AUTO1 Group,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
AVIVA PLC,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
Adyen,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
BANCO COMERCIAL PORT.,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
BASF,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,0,1,2,0,1,43,C+,DE
BASF SE,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,1,0,2,0,1,43,C+,DE
BAYER,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,0,1,2,0,1,43,C+,DE
BAYER AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
BECHTLE AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
BEIERSDORF,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,1,43,C+,DE
BILFINGER SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
BLACKSTONE,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
BP PLC,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
BT GROUP PLC,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
BUZZI,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
Borussia Dortmund,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
CAIXABANK,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
CANCOM SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
CHEVRON,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
COCA-COLA,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
COLONIAL SFL,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
COLRUYT GROUP,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
COMMERZBANK AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
COVIVIO,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
CTS EVENTIM AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
DAIMLER TRUCK,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,0,1,2,0,1,43,C+,DE
DELIVERY HERO SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
DEUTSCHE BANK,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,0,1,2,0,1,43,C+,DE
DEUTSCHE BANK AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
DEUTSCHE BOERSE,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,0,1,2,0,1,43,C+,DE
DEUTSCHE PFANDBRIEFBANK,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
DEUTSCHE TELEKOM,Germany,OPTIONS_ONLY,5,FAIL,2/4,0,1,0,1,2,0,1,43,C+,DE
DEUTSCHE TELEKOM AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
DIAGEO PLC,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
DLETEREN GROUP,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
DT. BOERSE AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
DUERR AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
ENAGAS,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
ENERGIAS DE PORTUGAL,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
EVOTEC SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
EXOR NV,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
Endesa,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
Enel,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
Ericsson [SEK],Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
FEDEX,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
FERROVIAL NV,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
FIELMANN GROUP AG,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
FLATEXDEGIRO SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,0,43,C+,DE
FORVIA SE,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
FRESENIUS MEDICAL CARE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
FRESENIUS SE & CO. KGAA,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
GALP ENERGIA,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
GE AEROSPACE,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
GEBERIT,Germany,DIVIDEND_ONLY,5,FAIL,2/4,0,0,1,1,2,0,0,43,C+,DE
GECINA S.A.,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,1,0,2,0,0,43,C+,DE
