symbol,country,darvas,piotroski,coffee_can,cc_score,has_ssf,has_sso,has_trf,has_div,n_product_codes,in_validated_universe,is_dax40,pegu_score,pegu_grade,market
WPP PLC,Germany,FUTURES_ONLY,5,FAIL,2/4,1,0,0,1,2,0,0,43,C+,DE
ZALANDO SE,Germany,OPTIONABLE_FUTURE,5,FAIL,2/4,1,1,0,0,2,0,1,43,C+,DE
ING GROEP,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,4,0,0,35,C,DE
ALASKA AIR GROUP,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,1,0,28,C,DE
AMD [EUR],Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,1,0,28,C,DE
AXA S.A.,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,1,0,28,C,DE
Air France KLM DIVIDEND FUT,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,1,0,28,C,DE
Air France-KLM,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,1,0,28,C,DE
Air Liquide,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,1,0,28,C,DE
Air Liquide-SA,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,1,0,28,C,DE
BMW,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,1,1,28,C,DE
BMW AG -ST-,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,1,1,28,C,DE
BMW VZ.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,1,1,28,C,DE
BNP Paribas S.A.,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,1,0,28,C,DE
CVS HEALTH,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,1,0,28,C,DE
CVS HEALTH CORP.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,1,0,28,C,DE
DWS Group,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,1,0,28,C,DE
Delta Air Lines,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,1,0,28,C,DE
ENI S.p.A.,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,1,0,28,C,DE
EVN,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,1,0,28,C,DE
Eni,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,1,0,28,C,DE
FRESENIUS MED,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,1,1,28,C,DE
GFT TECHNOLOGIES SE,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,1,0,28,C,DE
HUGO BOSS,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,1,0,28,C,DE
IBM,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,1,0,28,C,DE
IBM CORP,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,1,0,28,C,DE
INTL CONS AIR,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,1,0,28,C,DE
MLP SE,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,1,0,28,C,DE
OMV AG,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,1,0,28,C,DE
OPTION ON LEG IMMOBILIEN SE,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,1,0,28,C,DE
PHY AIR LIQUIDE,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,1,0,28,C,DE
PHY AXA,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,1,0,28,C,DE
PHY BMW AG,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,1,1,28,C,DE
PHY BNP PARIBAS,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,1,0,28,C,DE
PHY Eni,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,1,0,28,C,DE
PHY RWE,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,1,1,28,C,DE
PHY SAP SE,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,1,1,28,C,DE
RWE AG -ST-,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,1,1,28,C,DE
SGL CARBON SE,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,1,0,28,C,DE
WDP WAREHOUSES DE PAUW,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,1,0,28,C,DE
BANCO SABADELL,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,2,0,0,25,C,DE
BANCO SANTANDER S.A.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,2,0,0,25,C,DE
Banco de Sabadell SA DIVIDEND FUT,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,2,0,0,25,C,DE
CGE - MICHELIN,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,2,0,0,25,C,DE
INTL. CONS. AIRLINE GRP,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,2,0,0,25,C,DE
NESTE CORP,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,2,0,0,25,C,DE
NOVARTIS SANDOZ BASKET,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,2,0,0,25,C,DE
PRUDENTIAL,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,2,0,0,25,C,DE
SHB,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,2,0,0,25,C,DE
SKAND. EN. BANKEN,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,2,0,0,25,C,DE
SWEDBANK AB,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,2,0,0,25,C,DE
Stadler Rail,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,2,0,0,25,C,DE
TELEFONICA S.A.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,2,0,0,25,C,DE
VEOLIA,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,2,0,0,25,C,DE
VONOVIA,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,2,0,1,25,C,DE
VW VZ,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,2,0,0,25,C,DE
VW VZ.,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,2,0,0,25,C,DE
WARTSILA,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,2,0,0,25,C,DE
3I (GBX),Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
3I GROUP PLC,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
3I Group PLC,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
3M,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
3M CO,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
3M CO DIVIDEND  FUTURE,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
A2A SPA,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
A2A SpA,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ABB,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ABB - N. ANN.,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
ABB ACCELLERON BASKET,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
ABB [SEK],Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
ABB-ACCELLERON BASKET,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
ABBVIE,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ABBVIE INC,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
ABBVIE INC.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ABERDEEN GROUP,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ABERDEEN GROUP (GBX),Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ABN AMRO BANK N.V,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ABN AMRO BANK N.V.,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ABN AMRO BANK NV,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ACCIONA,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ACCIONA S.A.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ACCIONA SA,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ACCOR S.A.,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ACCOR SA,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
ACEA S.P.A.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ACS ACTIVIDADES CONS,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ACS SA,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ADIDAS,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,1,18,C,DE
ADMIRAL (GBX),Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ADMIRAL GRP,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
AEDIFICA,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
AEGON LTD,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
AENA SA,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
AENA SME,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
AGEAS SA/NV,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
AHOLD DELHAIZE,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
AIB GROUP PLC.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
AIB Group PLC,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
AIB Group PLC DIVIDEND FUT,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
AKZO NOBEL N.V.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
AKZO NOBEL NV,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
ALIBABA GROUP,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ALPHABET,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ALPHABET INC. REG SH. C,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ALPHABET INC. REG.SH.A,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ALPHABET [EUR],Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
ALTRIA GROUP,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ALTRIA GROUP INC,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
ALTRIA GROUP INC.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
AMADEUS IT GRP,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
AMAZON.COM INC.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
AMAZON.COM [EUR],Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
AMERICAN EXPRESS,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
AMERICAN EXPRESS CO.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
AMGEN,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
AMGEN INC.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
AMPLIFON,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
AMPLIFON S.P.A.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
AMUNDI S.A.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ANGLO AMERICAN,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ANGLO AMERICAN (GBX),Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ANHEUSER-BUSCH ADR,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ANHEUSER-BUSH INBEV,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
ANTOFAGASTA (GBX),Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ANTOFAGASTA PLC,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
APERAM,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
APPLE,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
APPLE [EUR],Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
ARCADIS,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ARGENX,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ARKEMA,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ASM International (mini),Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
ASM International N.V.,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ASML Holding,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
ASML Holding (mini),Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
ASML Holding N.V.,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ASR NEDERLAND,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
ASSICURAZIONI GENERALI DIV FUTURE,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
ASSOCIATED BRITISH FOOD,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ASSOCIATED BRITISH FOODS (GBX),Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ASTRAZENECA (GBX),Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ASTRAZENECA PLC,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
ASTRAZENECA PLC DIVID.FUTURE,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
AT & T INC.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
AT&S AUSTRIA TECHN,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
AT&T,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
AT&T INC,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
AUTO1 GROUP,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
AUTOMATIC D,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
AUTOMATIC DATA P,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
AUTOMATIC DATA PROCESSING,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
AUTOTRADER (GBX),Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
AUTOTRADER GROUP PLC,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
AVIVA (GBX),Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
AZIMUT HOLDING,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
AZIMUT HOLDING S.P.A.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
Aalberts Industries,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
Adecco,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
Aedifica SA,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
Aena SME S.A.,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
Ahold Delhaize,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
Airbus,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,1,18,C,DE
Airbus SE,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,1,18,C,DE
Akzo Nobel N.V,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
Alcon,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
Alfa Laval [SEK],Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
Alstom S.A.,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
AlzChem Group,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
Amadeus IT Group S.A.,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
American Airlines Group,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
Amrize AG,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
Amundi S.A.,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
Anglo American,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
Anheuser Busch InBev,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
ArcelorMittal S.A.,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
Arkema,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
Aroundtown SA,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
Aryzta,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
Assa Abloy [SEK],Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
Assicurazioni Generali,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
Associated British Foods,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
AstraZeneca [SEK],Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
Atoss Software,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
Aumovio,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
Aurubis AG,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
Austria Tech. & System,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
Auto1 Group,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
Avolta,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
BAE SYSTEMS,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
BAE SYSTEMS (GBX),Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
BAE SYSTEMS PLC,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BALFOUR BEATTY,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BAM GROEP N.V.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BANCA MEDIOLANUM,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BANCO BILBAO VIZ. ARG.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BANCO DE SABADELL SA,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BANCO SANTANDER,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
BANK HANDLOWY,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BANK OF AMER.,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
BANK OF AMERICA,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
BANK OF AMERICA CORP.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BANKINTER,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BANKINTER SA,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BANQUE CANTONALE VAUDOI,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BARCLAYS,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
BARCLAYS (GBX),Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
BARCLAYS PLC,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BARRATT REDROW,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BARRATT REDROW (GBX),Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
BARRY CALLEBAUT,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BASF AG,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,1,18,C,DE
BAT,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
BAWAG GROUP,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
BAWAG Group AG DIVIDEND FUT,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
BAXTER INTL. INC.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BAYWA AG,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
BE SEMICONDUCTOR INDUSTRIES,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
BECHTLE,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
"BECTON, DICKINSON",Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BEIERSDORF AG,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,1,18,C,DE
BEKAERT N.V.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BERTRANDT AG,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
BEST BUY,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
BHP GROUP,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
BHP GROUP LTD,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BIOMERIEUX,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BKW,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,0,18,C,DE
BOEING,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
BOEING CO.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BOLLORE,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
BOLLORE S.A.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BOOKING HOLDINGS,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
BOOKING HOLDINGS INC.,Germany,FUTURES_ONLY,3,FAIL,1/4,1,0,0,0,1,0,0,18,C,DE
BOUYGUES SA,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
BP (GBX),Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,1,0,1,0,0,18,C,DE
BPER Banca SPA DIVIDEND FUT,Germany,DIVIDEND_ONLY,3,FAIL,1/4,0,0,0,1,1,0,0,18,C,DE
BRENNTAG,Germany,OPTIONS_ONLY,3,FAIL,1/4,0,1,0,0,1,0,1,18,C,DE
