Product,Contract,PreviousDaySettlementPrice
OESX,OESX SI 20260724 CS EU C 5575 0,788.9
OESX,OESX SI 20260710 CS EU P 6175 0,5.3
OESX,OESX SI 20270416 CS EU P 6600 0,449.4
OESX,OESX SI 20270917 CS EU C 3800 0,2578.7
OESX,OESX SI 20261218 CS EU C 6550 0,201
OESX,OESX SI 20270115 CS EU P 3900 0,13.6
OESX,OESX SI 20260724 CS EU C 6875 0,0.2
OESX,OESX SI 20301220 CS EU P 4200 0,239.3
OESX,OESX SI 20301220 CS EU P 1600 0,42.3
OESX,OESX SI 20261218 CS EU C 5200 0,1239.1
OESX,OESX SI 20301220 CS EU C 900 0,5081.5
OESX,OESX SI 20260710 CS EU P 6725 0,366.8
OESX,OESX SI 20270716 CS EU P 6100 0,328.5
OESX,OESX SI 20290316 CS EU C 3500 0,2878
OESX,OESX SI 20260807 CS EU P 6450 0,153.9
OESX,OESX SI 20260724 CS EU C 5425 0,937.9
OESX,OESX SI 20260703 CS EU C 6660 0,0.1
OESX,OESX SI 20270115 CS EU C 6550 0,228.3
OESX,OESX SI 20260821 CS EU P 4975 0,4.3
OESX,OESX SI 20260918 CS EU C 6950 0,12.5
OESX,OESX SI 20260724 CS EU C 6725 0,1.6
OESX,OESX SI 20351221 CS EU C 4700 0,2356.9
OESX,OESX SI 20351221 CS EU P 11000 0,3284.3
OESX,OESX SI 20331216 CS EU P 3900 0,309.5
OESX,OESX SI 20290316 CS EU P 4700 0,210.5
OESX,OESX SI 20261120 CS EU P 4900 0,25.2
OESX,OESX SI 20260904 CS EU P 5700 0,25.4
OESX,OESX SI 20280915 CS EU C 5900 0,946.9
OESX,OESX SI 20280616 CS EU P 4200 0,113.8
OESX,OESX SI 20311219 CS EU C 6800 0,918.7
OESX,OESX SI 20260724 CS EU P 4850 0,0.7
OESX,OESX SI 20260703 CS EU P 6645 0,285.6
OESX,OESX SI 20260703 CS EU P 5925 0,0.1
OESX,OESX SI 20271217 CS EU P 1250 0,3.5
OESX,OESX SI 20291221 CS EU P 5350 0,396.4
OESX,OESX SI 20291221 CS EU C 1050 0,5013.9
OESX,OESX SI 20260821 CS EU C 5025 0,1346.8
OESX,OESX SI 20260930 CS EU C 7150 0,6
OESX,OESX SI 20260703 CS EU P 6105 0,0.1
OESX,OESX SI 20261016 CS EU P 1700 0,0.1
OESX,OESX SI 20341215 CS EU P 4300 0,407.1
OESX,OESX SI 20281215 CS EU P 5300 0,303.2
OESX,OESX SI 20260821 CS EU P 1100 0,0.1
OESX,OESX SI 20281215 CS EU P 4050 0,124.9
OESX,OESX SI 20261016 CS EU P 3600 0,2.8
OESX,OESX SI 20270219 CS EU P 4700 0,40.3
OESX,OESX SI 20270319 CS EU C 5500 0,1037
OESX,OESX SI 20260821 CS EU P 5025 0,4.7
OESX,OESX SI 20270917 CS EU C 6500 0,429.3
OESX,OESX SI 20260828 CS EU P 5450 0,12.9
OESX,OESX SI 20290316 CS EU P 5400 0,344.7
OESX,OESX SI 20260821 CS EU P 3600 0,0.4
OESX,OESX SI 20261120 CS EU C 5350 0,1085.9
OESX,OESX SI 20261218 CS EU C 4650 0,1760.1
OESX,OESX SI 20261218 CS EU C 5400 0,1055.5
OESX,OESX SI 20270917 CS EU P 3900 0,49.7
OESX,OESX SI 20281215 CS EU C 4200 0,2260.4
OESX,OESX SI 20261120 CS EU C 5475 0,970.8
OESX,OESX SI 20270618 CS EU C 2100 0,4188.4
OESX,OESX SI 20260731 CS EU P 5575 0,4.6
OESX,OESX SI 20260710 CS EU C 5150 0,1207.6
OESX,OESX SI 20260807 CS EU P 5250 0,3.6
OESX,OESX SI 20260703 CS EU C 6420 0,0.4
OESX,OESX SI 20331216 CS EU C 6300 0,1365.1
OESX,OESX SI 20260717 CS EU P 6300 0,43.9
OESX,OESX SI 20260918 CS EU P 7350 0,
OESX,OESX SI 20260717 CS EU P 3400 0,0.1
OESX,OESX SI 20260703 CS EU C 6630 0,0.1
OESX,OESX SI 20261120 CS EU P 6850 0,516.6
OESX,OESX SI 20260724 CS EU P 6200 0,33
OESX,OESX SI 20280915 CS EU C 5800 0,1011.4
OESX,OESX SI 20260807 CS EU P 5975 0,23.3
OESX,OESX SI 20260703 CS EU P 6010 0,0.1
OESX,OESX SI 20261218 CS EU P 500 0,0.1
OESX,OESX SI 20270219 CS EU C 7200 0,59.1
OESX,OESX SI 20321217 CS EU P 3700 0,250.2
OESX,OESX SI 20261016 CS EU C 6250 0,293.1
OESX,OESX SI 20301220 CS EU C 3700 0,2756.8
OESX,OESX SI 20261016 CS EU C 6825 0,46
OESX,OESX SI 20281215 CS EU P 5900 0,459.8
OESX,OESX SI 20260717 CS EU C 6125 0,249.4
OESX,OESX SI 20291221 CS EU P 9000 0,2379.2
OESX,OESX SI 20261218 CS EU C 5600 0,877.1
OESX,OESX SI 20260807 CS EU C 5850 0,528.9
OESX,OESX SI 20260710 CS EU P 5775 0,0.5
OESX,OESX SI 20260831 CS EU P 5475 0,13.8
OESX,OESX SI 20270618 CS EU C 4600 0,1810.7
OESX,OESX SI 20260703 CS EU P 6710 0,350.6
OESX,OESX SI 20260821 CS EU C 5450 0,928.6
OESX,OESX SI 20260918 CS EU C 6400 0,165.1
OESX,OESX SI 20270319 CS EU C 5450 0,1079.8
OESX,OESX SI 20291221 CS EU P 3975 0,166.1
OESX,OESX SI 20261120 CS EU C 5950 0,560.5
OESX,OESX SI 20261120 CS EU P 1000 0,0.2
OESX,OESX SI 20260717 CS EU C 10000 0,0.1
OESX,OESX SI 20260717 CS EU P 6525 0,173.9
OESX,OESX SI 20261016 CS EU P 5500 0,37.6
OESX,OESX SI 20280915 CS EU P 7100 0,972.6
OESX,OESX SI 20260930 CS EU C 6575 0,97
OESX,OESX SI 20260821 CS EU P 4525 0,2
OESX,OESX SI 20351221 CS EU C 7100 0,1235.3
OESX,OESX SI 20270219 CS EU C 6100 0,535.8
OESX,OESX SI 20260918 CS EU C 6650 0,62.1
OESX,OESX SI 20260710 CS EU P 5875 0,0.7
OESX,OESX SI 20270416 CS EU C 4500 0,1940.5
OESX,OESX SI 20260814 CS EU P 5025 0,3.4
OESX,OESX SI 20290316 CS EU C 1000 0,5121.1
OESX,OESX SI 20260821 CS EU P 5550 0,12.4
OESX,OESX SI 20271217 CS EU P 4350 0,90.8
OESX,OESX SI 20260717 CS EU P 6125 0,13
