Product,Contract,PreviousDaySettlementPrice
FDAX,FDAX SI 20261218 CS,25876
FDAX,FDAX SI 20280915 CS,27387
FDAX,FDAX SI 20271217 CS,26696
FDAX,FDAX SI 20270917 CS,26516
FDAX,FDAX SI 20280616 CS,27171
FDAX,FDAX SI 20270319 CS,26074
FDAX,FDAX SI 20290316 CS,27759
FDAX,FDAX SI 20260918 CS,25707
FDAX,FDAX SI 20270618 CS,26337
FDAX,FDAX SI 20290615 CS,27945
FDAX,FDAX SI 20280317 CS,26904
FDAX,FDAX SI 20281215 CS,27576
