Product,Contract,PreviousDaySettlementPrice
ODAX,ODAX SI 20261218 CS EU C 13600 0,12163.3
ODAX,ODAX SI 20280915 CS EU C 20800 0,7121.1
ODAX,ODAX SI 20260731 CS EU P 28100 0,
ODAX,ODAX SI 20260918 CS EU P 28500 0,2811.6
ODAX,ODAX SI 20270319 CS EU C 20100 0,6122.3
ODAX,ODAX SI 20270319 CS EU C 23800 0,2951
ODAX,ODAX SI 20270917 CS EU P 28500 0,2972.3
ODAX,ODAX SI 20260821 CS EU C 23250 0,2482.7
ODAX,ODAX SI 20270618 CS EU P 14400 0,90.3
ODAX,ODAX SI 20260717 CS EU P 23700 0,14.4
ODAX,ODAX SI 20260703 CS EU C 22750 0,2811.7
ODAX,ODAX SI 20260703 CS EU C 23925 0,1636.8
ODAX,ODAX SI 20260703 CS EU C 25325 0,243.6
ODAX,ODAX SI 20281215 CS EU P 16200 0,415.5
ODAX,ODAX SI 20290615 CS EU C 25400 0,4525.3
ODAX,ODAX SI 20260918 CS EU P 23200 0,156.1
ODAX,ODAX SI 20291221 CS EU C 34000 0,1511.6
ODAX,ODAX SI 20270917 CS EU C 18600 0,8014.8
ODAX,ODAX SI 20261218 CS EU C 20900 0,5106.6
ODAX,ODAX SI 20270618 CS EU C 22200 0,4625.1
ODAX,ODAX SI 20260918 CS EU P 33000 0,7257
ODAX,ODAX SI 20260918 CS EU C 20600 0,5125.3
ODAX,ODAX SI 20260731 CS EU C 22450 0,3180.1
ODAX,ODAX SI 20260918 CS EU P 27250 0,1691.3
ODAX,ODAX SI 20281215 CS EU C 20000 0,7953
ODAX,ODAX SI 20291221 CS EU P 23600 0,1773.5
ODAX,ODAX SI 20260821 CS EU C 26700 0,150.5
ODAX,ODAX SI 20271217 CS EU C 29600 0,
ODAX,ODAX SI 20261218 CS EU P 24100 0,564.5
ODAX,ODAX SI 20271217 CS EU P 26000 0,1864.5
ODAX,ODAX SI 20260821 CS EU C 26600 0,173.5
ODAX,ODAX SI 20281215 CS EU C 21400 0,6867.3
