NSE/BSE dual-listing correlation check -- 1568 dual-listed symbols found out of 2378 checked, period=1y

Correlation distribution (same company, NSE quote vs BSE quote):
  mean:   0.9448
  median: 0.9894
  min:    -0.1603
  max:    0.9999
  p10:    0.8545

Anomalies (correlation < 0.8, 120 found):
    symbol  correlation  common_days  nse_last_close  bse_last_close  price_gap_pct
 ARCHIDPLY       0.7862          246           80.20           82.88         -3.234
    MAGNUM       0.7895          246           19.60           19.35          1.292
KALYANIFRG       0.7914          246          613.05          612.45          0.098
     CCHHL       0.7916          246           13.08           12.77          2.428
      RKDL       0.7917          246           18.67           18.66          0.054
 TGBHOTELS       0.7923          246            8.72            8.72          0.000
GLOSTERLTD       0.7928          246          677.40          676.05          0.200
  RELCHEMQ       0.7935          247          130.71          131.00         -0.221
   SANDESH       0.7953          246          994.50         1000.00         -0.550
BALKRISHNA       0.7974          246           18.03           18.12         -0.497
      BANG       0.7999          246           28.93           28.93          0.000

Name verification of anomalies -- 1 CONFIRMED as genuine ticker collisions (different companies sharing a symbol string across exchanges), 107 confirmed same company (low correlation is illiquidity/stale-quote noise, not a data error), 12 unverifiable (name lookup failed on at least one side after retries):

CONFIRMED COLLISIONS (different companies -- not a real dual listing):
symbol                          nse_name                                 bse_name  correlation  price_gap_pct
 GLOBE Globe Enterprises (India) Limited Confidence Futuristic Energetech Limited       0.1412        -94.114

Full results (sorted by correlation, lowest first):
    symbol  correlation  common_days  nse_last_close  bse_last_close  price_gap_pct
   ARIHANT      -0.1603           63          816.65          815.20          0.178
SAYAJIHOTL      -0.1353           63          310.00          314.20         -1.337
  BATLIBOI      -0.0913           62           83.76           83.58          0.215
RAJPALAYAM       0.0252           62          822.55          821.75          0.097
  GOODYEAR       0.0356           62          786.30          783.30          0.383
   SICAGEN       0.1001           62           52.61           52.38          0.439
     GLOBE       0.1412          237            2.15           36.53        -94.114
     KOVAI       0.1809           63         5995.50         5998.00         -0.042
  ARENTERP       0.1879          246           36.90           37.00         -0.270
     NKIND       0.2010          245           66.18           52.42         26.250
     SIGMA       0.2145          246           38.02           37.99          0.079
 SILVERTUC       0.2560          247          188.08          187.60          0.256
    AQYLON       0.2896          247           39.35           39.17          0.460
 TECILCHEM       0.3081          246            9.36            9.77         -4.197
HEXATRADEX       0.3149          246          161.35          161.60         -0.155
 INFOMEDIA       0.3265          246            5.71            5.52          3.442
   ICDSLTD       0.3295          246           40.00           41.98         -4.717
PALASHSECU       0.3408          246           90.36           90.37         -0.011
    SRGHFL       0.3535          245          306.30          281.15          8.945
REGENCERAM       0.3691          246           39.29           39.60         -0.783
   BIMETAL       0.3695           62          714.85          714.40          0.063
BSLSENETFG       0.3828          245           78.11           78.05          0.077
SKMEGGPROD       0.3835          246          360.90          362.20         -0.359
 WORTHPERI       0.3970          183          134.63          131.65          2.264
  SHIVATEX       0.4016          245          153.20          152.95          0.163
    HALDER       0.4238          118          227.74          224.90          1.263
LICNETFSEN       0.4367          245          872.10          878.80         -0.762
  GRAUWEIL       0.4527           63           79.89           79.76          0.163
 NOVARTIND       0.4550           62         1664.80         1668.75         -0.237
 LICNFNHGP       0.4588          245          276.47          276.94         -0.170
      OBCL       0.4747          246           53.62           52.09          2.937
    SALONA       0.4821          246          255.40          246.30          3.695
GANGESSECU       0.4970          246          117.26          117.15          0.094
WILLAMAGOR       0.5050          245           26.26           26.02          0.922
     CURAA       0.5093          246           73.81           72.60          1.667
21STCENMGM       0.5162          246           31.33           31.89         -1.756
  KARMAENG       0.5192          246           39.98           39.17          2.068
    3PLAND       0.5201          246           32.65           32.00          2.031
 MODTHREAD       0.5299          246           47.50           46.20          2.814
      MFML       0.5303          246           19.88           20.32         -2.165
  SURAJLTD       0.5348          246          221.79          222.50         -0.319
 DGCONTENT       0.5480          246           26.00           26.01         -0.038
INCREDIBLE       0.5554          246           33.32           34.29         -2.829
   HAVISHA       0.5618          246            1.21            1.23         -1.626
  LOYALTEX       0.5644          246          210.00          209.00          0.478
 ORIENTLTD       0.5706          246           73.74           71.72          2.817
 NEXTMEDIA       0.5732          246            3.96            4.00         -1.000
    MADHAV       0.5783          246           35.22           36.64         -3.876
   ELDEHSG       0.5932          246          788.05          786.75          0.165
  SPECTRUM       0.6009          246         2005.50         2008.50         -0.149
    RADAAN       0.6036          246            2.94            3.04         -3.289
 TOP15IETF       0.6057          243            9.86            9.86          0.000
CREATIVEYE       0.6079          246            6.00            5.82          3.093
   SECMARK       0.6159          245          125.83          135.00         -6.793
    WEALTH       0.6190          189          958.50          966.25         -0.802
HALEOSLABS       0.6289          246         1587.30         1576.60          0.679
SHAHALLOYS       0.6324          246           71.93           72.02         -0.125
HISARMETAL       0.6435          245          152.79          153.70         -0.592
NORBTEAEXP       0.6444          245           71.00           69.00          2.899
     MODIS       0.6463          162          348.80          349.45         -0.186
  NAHARCAP       0.6565          246          250.65          248.60          0.825
SURYALAXMI       0.6575          246           60.03           58.93          1.867
 KEEPLEARN       0.6593          246            1.87            1.84          1.630
     SREEL       0.6735          246          211.76          210.45          0.622
       PNC       0.6744          246           20.40           20.64         -1.163
      APCL       0.6759          246          105.00          103.90          1.059
      HPIL       0.6802          247          121.14          120.15          0.824
   ISHANCH       0.6893          246           55.36           57.90         -4.387
LICNETFN50       0.6921          245          271.00          272.04         -0.382
DIGJAMLMTD       0.7035          246           44.09           43.10          2.297
       TFL       0.7052          246           11.35           11.59         -2.071
   AHLEAST       0.7068          246          142.32          146.65         -2.953
  KREBSBIO       0.7085          246           54.92           56.00         -1.929
   KIRLFER       0.7087           63          472.55          472.70         -0.032
     SELMC       0.7089          246           29.02           28.50          1.825
DELTAMAGNT       0.7090          246           59.56           58.60          1.638
   TEAMGTY       0.7185          246          231.19          232.35         -0.499
 RADIOCITY       0.7192          246            6.07            6.04          0.497
 LYPSAGEMS       0.7201          246            4.63            4.62          0.216
   HEADSUP       0.7209          246            6.91            7.00         -1.286
  EUROBOND       0.7236          232          168.16          165.80          1.423
  STARTECK       0.7246          246          271.35          274.80         -1.255
PODDARMENT       0.7303          246          240.33          249.95         -3.849
      RVTH       0.7305          246          714.80          711.15          0.513
  BEDMUTHA       0.7312          246          109.98          108.60          1.271
    TNTELE       0.7324          246            9.46            9.69         -2.374
       RHL       0.7352          246          173.91          176.10         -1.244
    SIGIND       0.7356          246           47.47           47.34          0.275
PIONEEREMB       0.7395          247           23.42           23.88         -1.926
SUPREMEINF       0.7402          246           79.14           78.45          0.880
  MHLXMIRU       0.7491          246          136.42          137.25         -0.605
     CREST       0.7541          245          370.75          369.35          0.379
  S&SPOWER       0.7561          246          361.00          374.50         -3.605
 CINEVISTA       0.7570          246           15.73           15.95         -1.379
    SILINV       0.7578          246          420.85          413.20          1.851
 TREEHOUSE       0.7581          246            6.47            6.38          1.411
  MOHITIND       0.7591          246           22.89           22.91         -0.087
 DIGIDRIVE       0.7597          246           18.98           18.78          1.065
NAGREEKEXP       0.7598          246           24.37           24.50         -0.531
       HGM       0.7675          246           51.26           50.76          0.985
     IMPAL       0.7706          246         1153.50         1151.30          0.191
GILLANDERS       0.7731          246           89.33           90.77         -1.586
SUPERHOUSE       0.7760          246          157.20          157.05          0.096
      GCSL       0.7762          210          511.40          510.55          0.166
       LAL       0.7768          246            8.79            8.71          0.918
 GATECHDVR       0.7789          246            0.44            0.44          0.000
     BBTCL       0.7803          246          214.45          214.55         -0.047
  INNOVANA       0.7834          246          331.70          327.00          1.437
   AMNPLST       0.7847          246          206.84          205.75          0.530
 ARCHIDPLY       0.7862          246           80.20           82.88         -3.234
    MAGNUM       0.7895          246           19.60           19.35          1.292
KALYANIFRG       0.7914          246          613.05          612.45          0.098
     CCHHL       0.7916          246           13.08           12.77          2.428
      RKDL       0.7917          246           18.67           18.66          0.054
 TGBHOTELS       0.7923          246            8.72            8.72          0.000
GLOSTERLTD       0.7928          246          677.40          676.05          0.200
  RELCHEMQ       0.7935          247          130.71          131.00         -0.221
   SANDESH       0.7953          246          994.50         1000.00         -0.550
BALKRISHNA       0.7974          246           18.03           18.12         -0.497
      BANG       0.7999          246           28.93           28.93          0.000
 VAL30IETF       0.8023          241           15.38           15.35          0.195
       BSL       0.8035          246          128.39          127.05          1.055
   UMESLTD       0.8052          246            5.82            5.95         -2.185
  MEGASTAR       0.8085          246          366.45          365.95          0.137
   TIJARIA       0.8135          246            4.37            4.34          0.691
      LPDC       0.8142          246            6.46            6.51         -0.768
 THEINVEST       0.8147          246           98.18          100.85         -2.647
      HMVL       0.8150          246           89.27           90.65         -1.522
      DTIL       0.8190          246          136.96          140.00         -2.171
  TVVISION       0.8208          246            4.93            5.04         -2.183
      ISFT       0.8238          246           77.65           77.95         -0.385
    BONLON       0.8240           94           41.50           41.20          0.728
 NATCAPSUQ       0.8290          246          143.68          143.65          0.021
ADROITINFO       0.8314          246            8.99            8.90          1.011
      NIBL       0.8316          246           31.62           31.05          1.836
   HEALTHX       0.8321          246          337.60          338.05         -0.133
      RACE       0.8324          246          110.50          108.95          1.423
   VIVIDHA       0.8327          246            0.52            0.51          1.961
    AMDIND       0.8327          246           45.89           46.00         -0.239
 MONEYBOXX       0.8334          182           60.81           61.00         -0.311
   AMJLAND       0.8337          246           38.18           38.16          0.052
      RVHL       0.8344          246           44.81           44.27          1.220
    AKSHAR       0.8352          246            0.43            0.44         -2.273
       AKI       0.8395          246            4.68            4.66          0.429
  SAHYADRI       0.8408          246          278.65          274.00          1.697
      ROML       0.8413          246           44.94           45.35         -0.904
JISLDVREQS       0.8418          246           23.27           22.92          1.527
    AARNAV       0.8422           90           24.98           25.27         -1.148
      AEPL       0.8445           82           16.78           16.62          0.963
    PRABHA       0.8446          246          150.46          151.20         -0.489
INDIANCARD       0.8447          246          229.90          236.00         -2.585
  SAMBHAAV       0.8448          246            6.37            6.44         -1.087
       CTE       0.8449          246           30.39           31.15         -2.440
   GOLDBND       0.8463           96          141.48          141.86         -0.268
  DNAMEDIA       0.8479          246            2.83            2.80          1.071
  CINELINE       0.8529          246           77.86           77.95         -0.115
  FIBERWEB       0.8543          246           31.23           30.84          1.265
  TREJHARA       0.8546          246          141.24          139.70          1.102
       BIL       0.8549          246          719.55          715.90          0.510
       TTL       0.8550          246            6.74            6.70          0.597
 SURANAT&P       0.8556          246           18.58           18.53          0.270
 MANCREDIT       0.8572          246          240.64          240.30          0.141
      KAYA       0.8572          245          241.68          241.55          0.054
CORALFINAC       0.8574          246           33.33           33.45         -0.359
ALBERTDAVD       0.8589          246          702.30          701.05          0.178
   AERONEU       0.8594          246           88.34           88.90         -0.630
 STARPAPER       0.8598          247          141.43          140.90          0.376
      LASA       0.8604          246            7.32            7.33         -0.136
KEYFINSERV       0.8610          246          259.37          260.55         -0.453
       SIL       0.8612          246           16.31           16.28          0.184
BANARBEADS       0.8619          246          117.90          117.90          0.000
DRCSYSTEMS       0.8626          246           13.81           13.81          0.000
GFLLIMITED       0.8674          246           46.41           46.10          0.672
     SBGLP       0.8680          245           25.17           23.72          6.113
JETFREIGHT       0.8680          246           22.64           22.53          0.488
   XELPMOC       0.8689          246           83.40           83.40          0.000
 ASHOKAMET       0.8692          246           14.81           14.71          0.680
AROGRANITE       0.8708          246           25.70           25.55          0.587
 COUNCODOS       0.8720          246            6.38            6.37          0.157
    TARMAT       0.8730          246           48.98           48.55          0.886
NDLVENTURE       0.8732          246          132.08          131.90          0.136
NAHARINDUS       0.8733          246          117.75          117.80         -0.042
     CPEDU       0.8735          209          194.09          191.55          1.326
 UYFINCORP       0.8746          246           16.70           16.75         -0.299
 BALPHARMA       0.8750          246           79.17           79.31         -0.177
BIOFILCHEM       0.8752          246           33.71           34.00         -0.853
SHREDIGCEM       0.8806          246           73.03           73.08         -0.068
      TPHQ       0.8810          246            0.45            0.46         -2.174
      BVCL       0.8813          246           41.74           41.78         -0.096
      ATAM       0.8826          246           69.94           70.29         -0.498
   PYRAMID       0.8834          246          163.53          162.60          0.572
TTKHLTCARE       0.8845          246          993.30          990.05          0.328
SECURKLOUD       0.8856          246           18.88           18.89         -0.053
   MANOMAY       0.8864          246          175.28          176.40         -0.635
INDTERRAIN       0.8876          246           31.80           31.51          0.920
    GENCON       0.8896          246           41.35           41.47         -0.289
  SUNDARAM       0.8908          246            1.27            1.29         -1.550
 LANCORHOL       0.8919          246           28.07           27.68          1.409
    INDOUS       0.8926          246           89.72           87.71          2.292
       PTL       0.8935          246           40.13           40.11          0.050
       SRD       0.8937          246           40.63           40.44          0.470
   DHUNINV       0.8940          246          996.75          987.40          0.947
