symbol,correlation,common_days,nse_last_close,bse_last_close,price_gap_pct
TICL,0.9363,246,12.3,12.37,-0.566
BLAL,0.9365,246,184.6,184.7,-0.054
LANDSMILL,0.9365,246,0.75,0.75,0.0
SAKHTISUG,0.9366,246,16.67,16.64,0.18
DCI,0.9368,246,277.7,282.1,-1.56
DCBBANK,0.937,246,192.24,192.15,0.047
IRIS,0.9377,246,257.95,258.1,-0.058
KUANTUM,0.9379,246,76.94,77.47,-0.684
HARDWYN,0.9381,246,24.12,24.11,0.041
JUBLCPL,0.9382,246,2051.3,2045.05,0.306
A2ZINFRA,0.9384,246,13.15,13.13,0.152
NILKAMAL,0.9384,246,1350.1,1347.5,0.193
DEVX,0.9388,201,34.9,34.94,-0.114
SSDL,0.939,246,55.45,55.28,0.308
PASHUPATI,0.9397,244,86.95,87.07,-0.138
INVENTURE,0.9401,246,0.92,0.93,-1.075
DHARMAJ,0.9401,246,256.2,256.2,0.0
NGLFINE,0.9403,246,3160.9,3161.5,-0.019
NATHBIOGEN,0.9403,246,164.98,165.3,-0.194
TCC,0.941,90,335.9,334.5,0.419
SPECIALITY,0.9412,246,124.05,128.0,-3.086
MALLCOM,0.9416,246,1088.2,1084.55,0.337
ASHIMASYN,0.9418,246,14.85,14.85,0.0
MEDICO,0.9418,246,39.17,39.27,-0.255
KOHINOOR,0.9421,246,24.32,24.25,0.289
VISHWARAJ,0.9423,246,5.42,5.44,-0.368
VSSL,0.9425,246,295.2,295.25,-0.017
INTENTECH,0.9434,246,96.99,97.11,-0.124
BAIDFIN,0.9435,246,10.28,10.3,-0.194
SOMICONVEY,0.9436,246,98.05,97.55,0.513
SUMEETINDS,0.9441,246,32.63,32.62,0.031
COASTCORP,0.9442,246,51.85,51.92,-0.135
MANAKSIA,0.9442,246,58.44,57.4,1.812
NITCO,0.9443,246,107.06,107.25,-0.177
SCPL,0.9444,246,495.6,497.3,-0.342
VGL,0.9445,247,63.28,63.28,0.0
BORANA,0.9449,246,307.15,304.55,0.854
ICRA,0.9449,246,5284.0,5287.5,-0.066
STYRENIX,0.9455,246,2317.7,2316.75,0.041
FOODSIN,0.9455,246,61.1,61.8,-1.133
BSLGOLDETF,0.946,245,124.45,124.49,-0.032
NIPPOBATRY,0.9472,246,338.4,340.4,-0.588
DUCON,0.9477,246,3.07,3.1,-0.968
VIDHIING,0.9479,246,297.55,298.1,-0.185
KOKUYOCMLN,0.9481,246,86.73,86.78,-0.058
DYNPRO,0.9489,246,233.88,233.9,-0.009
GTPL,0.949,246,60.22,60.6,-0.627
XTGLOBAL,0.95,246,28.55,28.38,0.599
TERASOFT,0.9501,246,397.75,399.3,-0.388
RANASUG,0.9502,246,12.1,12.09,0.083
KCPSUGIND,0.9514,246,21.97,22.01,-0.182
PRAKASHSTL,0.9515,246,4.12,4.12,0.0
KICL,0.9518,246,5679.5,5690.0,-0.185
ABINFRA,0.9523,246,10.24,10.24,0.0
RNBDENIMS,0.9525,211,9.97,9.97,0.0
MAANALU,0.9528,246,122.07,121.9,0.139
FINKURVE,0.9533,189,65.73,64.88,1.31
ATALREAL,0.9536,246,28.96,29.01,-0.172
VARDMNPOLY,0.9537,246,6.66,6.7,-0.597
AVONMORE,0.9537,246,10.0,10.0,0.0
YUKEN,0.9539,246,766.9,769.9,-0.39
INDIQUBE,0.9539,234,175.05,174.25,0.459
SCHAND,0.9539,246,152.11,151.45,0.436
PPAP,0.9542,246,372.14,372.3,-0.043
MAGADSUGAR,0.9543,247,517.9,518.5,-0.116
KINGFA,0.9546,246,5117.0,5113.75,0.064
KMSUGAR,0.9548,246,27.96,27.88,0.287
CIFL,0.9549,246,22.24,22.2,0.18
DEVIT,0.9552,246,28.08,28.22,-0.496
DOLPHIN,0.9552,246,393.95,394.5,-0.139
LORDSCHLO,0.9553,246,135.4,135.0,0.296
ALLDIGI,0.9554,246,832.85,826.6,0.756
TPLPLASTEH,0.956,246,82.73,82.97,-0.289
MATRIMONY,0.9562,247,430.6,430.25,0.081
ALANKIT,0.9562,246,8.07,8.06,0.124
VISAKAIND,0.9562,246,85.55,85.08,0.552
TCPLPACK,0.9563,246,3006.6,3004.9,0.057
SBC,0.9564,246,42.17,42.15,0.047
ELIN,0.9564,246,99.35,99.6,-0.251
ABCOTS,0.9564,196,208.31,208.0,0.149
OAL,0.9565,246,355.2,356.25,-0.295
BRNL,0.9565,246,18.11,18.19,-0.44
NILAINFRA,0.9568,246,7.27,7.29,-0.274
MANAKALUCO,0.9571,246,37.32,37.17,0.404
ARFIN,0.9574,240,87.15,87.36,-0.24
TEXINFRA,0.9574,246,114.0,114.15,-0.131
RITCO,0.9575,246,263.6,263.6,0.0
ORIENTBELL,0.958,246,321.45,320.5,0.296
NARMADA,0.9582,246,34.36,34.38,-0.058
GOKUL,0.9583,246,41.53,41.51,0.048
SUMMITSEC,0.9584,246,1572.0,1571.6,0.025
JASH,0.9584,246,544.4,544.95,-0.101
JAYSREETEA,0.9584,246,84.54,84.53,0.012
NURECA,0.9588,246,245.57,246.0,-0.175
HMAAGRO,0.959,246,21.88,21.91,-0.137
ADVANIHOTR,0.9591,246,52.86,52.55,0.59
AARTISURF,0.9593,246,385.35,385.15,0.052
HPAL,0.9593,246,34.45,34.63,-0.52
ORIENTALTL,0.9597,246,5.48,5.57,-1.616
AIRAN,0.9598,246,15.72,15.71,0.064
SGIL,0.9598,246,590.45,589.35,0.187
PIGL,0.9598,246,114.77,115.3,-0.46
SRHHYPOLTD,0.9601,246,495.5,496.15,-0.131
HNGSNGBEES,0.9603,245,481.9,481.83,0.015
STEL,0.9607,246,553.95,557.0,-0.548
ANDHRAPAP,0.9609,246,61.76,61.88,-0.194
TVTODAY,0.9609,246,121.24,122.0,-0.623
SUDARCOLOR,0.961,246,381.25,375.25,1.599
MANBA,0.961,246,136.79,137.35,-0.408
MID150CASE,0.9611,243,11.62,11.6,0.172
THOMASCOTT,0.9615,246,334.8,333.7,0.33
RMC,0.9615,69,294.5,294.6,-0.034
STEELCAS,0.9616,246,309.3,309.15,0.049
DENORA,0.9616,246,883.2,878.1,0.581
MINDTECK,0.9617,246,209.81,209.5,0.148
BUTTERFLY,0.9618,246,780.2,779.95,0.032
ALGOQUANT,0.9619,126,61.32,61.28,0.065
PRIMO,0.962,246,23.8,23.8,0.0
BALAJEE,0.9626,246,28.84,28.88,-0.139
TEXMOPIPES,0.9626,246,44.07,44.13,-0.136
KAMOPAINTS,0.9629,246,4.8,4.8,0.0
SIGNPOST,0.9631,246,321.15,320.6,0.172
SANGAMIND,0.9635,246,622.55,621.45,0.177
RKSWAMY,0.9637,246,101.58,101.55,0.03
