symbol,correlation,common_days,nse_last_close,bse_last_close,price_gap_pct,nse_name,bse_name,same_company
HISARMETAL,0.6435,245,152.79,153.7,-0.592,Hisar Metal Industries Limited,,
NORBTEAEXP,0.6444,245,71.0,69.0,2.899,Norben Tea & Exports Limited,Norben Tea & Exports Limited,True
MODIS,0.6463,162,348.8,349.45,-0.186,Modi's Navnirman Limited,Modi's Navnirman Limited,True
NAHARCAP,0.6565,246,250.65,248.6,0.825,Nahar Capital and Financial Services Limited,Nahar Capital and Financial Services Limited,True
SURYALAXMI,0.6575,246,60.03,58.93,1.867,Suryalakshmi Cotton Mills Limited,Suryalakshmi Cotton Mills Limited,True
KEEPLEARN,0.6593,246,1.87,1.84,1.63,DSJ Keep Learning Limited,DSJ Keep Learning Limited,True
SREEL,0.6735,246,211.76,210.45,0.622,Sreeleathers Limited,Sreeleathers Limited,True
PNC,0.6744,246,20.4,20.64,-1.163,Pritish Nandy Communications Ltd,Pritish Nandy Communications Ltd,True
APCL,0.6759,246,105.0,103.9,1.059,Anjani Portland Cement Limited,Anjani Portland Cement Limited,True
HPIL,0.6802,247,121.14,120.15,0.824,Hindprakash Industries Limited,Hindprakash Industries Limited,True
ISHANCH,0.6893,246,55.36,57.9,-4.387,Ishan Dyes and Chemicals Limited,Ishan Dyes and Chemicals Limited,True
LICNETFN50,0.6921,245,271.0,272.04,-0.382,LIC MF Nifty 50 ETF,LIC MF ETF Nifty 50,True
DIGJAMLMTD,0.7035,246,44.09,43.1,2.297,Digjam Limited,Digjam Limited,True
TFL,0.7052,246,11.35,11.59,-2.071,Transwarranty Finance Limited,Transwarranty Finance Limited,True
AHLEAST,0.7068,246,142.32,146.65,-2.953,Asian Hotels (East) Limited,Asian Hotels (East) Limited,True
KREBSBIO,0.7085,246,54.92,56.0,-1.929,Krebs Biochemicals & Industries Limited,Krebs Biochemicals & Industries Limited,True
KIRLFER,0.7087,63,472.55,472.7,-0.032,Kirloskar Ferrous Industries Limited,Kirloskar Ferrous Industries Limited,True
SELMC,0.7089,246,29.02,28.5,1.825,SEL Manufacturing Company Limited,,
DELTAMAGNT,0.709,246,59.56,58.6,1.638,Delta Manufacturing Limited,Delta Manufacturing Limited,True
TEAMGTY,0.7185,246,231.19,232.35,-0.499,Team India Guaranty Limited,Team India Guaranty Limited,True
RADIOCITY,0.7192,246,6.07,6.04,0.497,Music Broadcast Limited,Music Broadcast Limited,True
LYPSAGEMS,0.7201,246,4.63,4.62,0.216,Aurus Gem Corporation Limited,Aurus Gem Corporation Limited,True
HEADSUP,0.7209,246,6.91,7.0,-1.286,Heads UP Ventures Limited,Heads UP Ventures Limited,True
EUROBOND,0.7236,232,168.16,165.8,1.423,,Euro Panel Products Limited,
STARTECK,0.7246,246,271.35,274.8,-1.255,Starteck Finance Limited,Starteck Finance Limited,True
PODDARMENT,0.7303,246,240.33,249.95,-3.849,Poddar Pigments Limited,,
RVTH,0.7305,246,714.8,711.15,0.513,Revathi Equipment India Limited,Revathi Equipment India Limited,True
BEDMUTHA,0.7312,246,109.98,108.6,1.271,Bedmutha Industries Limited,Bedmutha Industries Limited,True
TNTELE,0.7324,246,9.46,9.69,-2.374,Tamilnadu Telecommunications Limited,Tamilnadu Telecommunications Limited,True
RHL,0.7352,246,173.91,176.1,-1.244,Robust Hotels Limited,Robust Hotels Limited,True
SIGIND,0.7356,246,47.47,47.34,0.275,Signet Industries Limited,,
PIONEEREMB,0.7395,247,23.42,23.88,-1.926,Pioneer Embroideries Limited,Pioneer Embroideries Limited,True
SUPREMEINF,0.7402,246,79.14,78.45,0.88,Supreme Infrastructure India Limited,Supreme Infrastructure India Limited,True
MHLXMIRU,0.7491,246,136.42,137.25,-0.605,Mahalaxmi Rubtech Limited,Mahalaxmi Rubtech Limited,True
CREST,0.7541,245,370.75,369.35,0.379,Crest Ventures Limited,Crest Ventures Limited,True
S&SPOWER,0.7561,246,361.0,374.5,-3.605,S&S Power Switchgear Limited,S&S Power Switchgear Limited,True
CINEVISTA,0.757,246,15.73,15.95,-1.379,Cinevista Limited,Cinevista Limited,True
SILINV,0.7578,246,420.85,413.2,1.851,SIL Investments Limited,SIL Investments Limited,True
TREEHOUSE,0.7581,246,6.47,6.38,1.411,Tree House Education & Accessories Limited,Tree House Education & Accessories Limited,True
MOHITIND,0.7591,246,22.89,22.91,-0.087,Mohit Industries Limited,Mohit Industries Limited,True
DIGIDRIVE,0.7597,246,18.98,18.78,1.065,Digidrive Distributors Limited,Digidrive Distributors Limited,True
NAGREEKEXP,0.7598,246,24.37,24.5,-0.531,Nagreeka Exports Limited,Nagreeka Exports Limited,True
HGM,0.7675,246,51.26,50.76,0.985,Handson Global Management (HGM) Limited,Handson Global Management (HGM) Limited,True
IMPAL,0.7706,246,1153.5,1151.3,0.191,India Motor Parts & Accessories Limited,India Motor Parts & Accessories Limited,True
GILLANDERS,0.7731,246,89.33,90.77,-1.586,Gillanders Arbuthnot and Company Limited,Gillanders Arbuthnot and Company Limited,True
SUPERHOUSE,0.776,246,157.2,157.05,0.096,Superhouse Limited,Superhouse Limited,True
GCSL,0.7762,210,511.4,510.55,0.166,Gretex Corporate Services Limited,Gretex Corporate Services Ltd,True
LAL,0.7768,246,8.79,8.71,0.918,Lorenzini Apparels Limited,Lorenzini Apparels Limited,True
GATECHDVR,0.7789,246,0.44,0.44,0.0,GACM Technologies Limited,GACM Technologies Limited,True
BBTCL,0.7803,246,214.45,214.55,-0.047,B&B Triplewall Containers Limited,B&B Triplewall Containers Limited,True
INNOVANA,0.7834,246,331.7,327.0,1.437,,Innovana Thinklabs Limited,
AMNPLST,0.7847,246,206.84,205.75,0.53,Amines & Plasticizers Limited,Amines & Plasticizers Limited,True
ARCHIDPLY,0.7862,246,80.2,82.88,-3.234,Archidply Industries Limited,Archidply Industries Limited,True
MAGNUM,0.7895,246,19.6,19.35,1.292,Magnum Ventures Limited,Magnum Ventures Limited,True
KALYANIFRG,0.7914,246,613.05,612.45,0.098,Kalyani Forge Limited,Kalyani Forge Limited,True
CCHHL,0.7916,246,13.08,12.77,2.428,Country Club Hospitality & Holidays Limited,Country Club Hospitality & Holidays Limited,True
RKDL,0.7917,246,18.67,18.66,0.054,Ravi Kumar Distilleries Limited,Ravi Kumar Distilleries Limited,True
TGBHOTELS,0.7923,246,8.72,8.72,0.0,TGB Banquets and Hotels Limited,TGB Banquets and Hotels Limited,True
GLOSTERLTD,0.7928,246,677.4,676.05,0.2,Gloster Limited,Gloster Limited,True
RELCHEMQ,0.7935,247,130.71,131.0,-0.221,Reliance Chemotex Industries Limited,Reliance Chemotex Industries Limited,True
SANDESH,0.7953,246,994.5,1000.0,-0.55,The Sandesh Limited,The Sandesh Limited,True
BALKRISHNA,0.7974,246,18.03,18.12,-0.497,Balkrishna Paper Mills Limited,Balkrishna Paper Mills Limited,True
BANG,0.7999,246,28.93,28.93,0.0,Bang Overseas Limited,Bang Overseas Limited,True
