yf_symbol,market_name,quality_score,momentum_3m
CTCL.BO,India,7.978598558215526,29.239766081871345
MOINFRA.NS,India,8.994375436181695,10.319412276858117
MIDCAPIETF.NS,India,8.995024468360693,13.86755934975154
MIDCAPETF.NS,India,8.994771423295814,15.433920388512233
MID150BEES.NS,India,8.995087472916762,14.18928313782083
COMMOIETF.NS,India,8.994735664396806,7.298101885336688
CCME.BO,India,8.991020029521412,22.347943389555343
PALREDTEC.BO,India,8.983071695389715,126.185949188957
MIDSELIETF.NS,India,8.994767460318453,21.24286800397967
AXISGOLD.NS,India,7.994077805784418,-4.053614980227891
AXISILVER.NS,India,7.989114224351222,-2.4759307848292353
AXISVALUE.NS,India,8.994832339840395,4.731861084854148
SATTRIX.BO,India,7.982965896179119,-3.687498067098676
VINRKLB.BO,India,7.990458503367418,-9.547058746236129
ADC,United States,8.994363201332193,2.645395183853571
ADUR,United States,8.976055973962097,51.20540480440342
ADEA,United States,8.985677718968065,16.850950559444954
ADTN,United States,7.983317083344206,-1.319876357014493
ADX,United States,8.994498589821823,16.355870466411115
ADI,United States,8.989895911240573,18.80162878128824
AEHR,United States,8.966808251529875,57.851984580773205
AEF,United States,8.99307545278687,27.44828157192174
AEE,United States,8.994187392920853,3.716652445320512
ADM,United States,8.991521118914093,4.694953910382953
AEG,United States,8.990778758919895,21.117544599788644
AEIS,United States,7.986731234495812,-6.302502597197755
ADPT,United States,8.976396623866908,43.07900022737501
ADV,United States,8.978707327065429,78.66666947288074
AER,United States,8.990331589952788,6.51689780884275
AERT,United States,7.969795423159068,90.74844225555373
AESI,United States,8.985386586695006,19.094656142706732
AEVA,United States,7.97053290997429,81.25472692331536
AFCG,United States,7.987205253667781,13.133802322297674
AFBI,United States,8.991770070480584,1.3920047578369588
AFB,United States,8.996701784185522,10.1372279601623
AES,United States,8.98868112465277,3.2151895179072327
AFRI,United States,7.989923558290011,4.498983088662557
AFG,United States,8.993146931805457,10.799948314555907
AEP,United States,8.993979718626136,5.152188987308839
AFL,United States,8.993730242810553,9.980032258252606
AFRM,United States,8.971054281705307,82.6387374711581
AFYA,United States,7.98797581938425,2.072195313009488
AGL,United States,8.96900533586307,933.6127048601694
AGIO,United States,8.982320933226164,6.761366524233243
AGCO,United States,8.98945874534169,1.918659060658935
AGM-A,United States,8.989437511512687,19.288680043031217
AGM-PD,United States,8.99436126682744,5.018287982354716
AGM,United States,8.991030516495112,34.877639916509615
AGD,United States,8.994273792278786,12.293271557356586
AGNCO,United States,8.996527217918329,4.593967620392276
AGNC,United States,8.99226516498851,12.056104528765054
AGNCL,United States,8.995919510301288,5.143549753700386
AGNCZ,United States,7.998486792683828,4.150962405150683
AGNCP,United States,8.996338624887485,5.8848896686675
AGNCN,United States,8.997205858353333,4.067629290485388
AHL-PF,United States,7.997029723400765,0.0
AHR,United States,8.991966395439704,15.004977324459142
AHCO,United States,7.982533932539772,-10.5569370929295
AHL-PD,United States,7.9939129456121165,0.0
AHRT,United States,8.991724386819818,28.028841530430004
AGX,United States,8.984556019797084,22.874370802584817
AHRT-PA,United States,8.994910746163333,0.3570189654650995
AII,United States,7.98849770018729,0.4168833844692924
AIP,United States,8.97569526338635,92.63736210760756
AIOT,United States,7.980764091627159,41.8831166820555
AIO,United States,8.993309527297168,26.416835380008074
AIRJ,United States,7.966789959888896,80.41044469067192
AIN,United States,8.990022174450091,41.00724570814248
AIRG,United States,8.98093045648258,13.786764560866729
AIR,United States,8.989341827690083,27.627985214347213
AIRT,United States,8.981588604927634,33.041473844274215
AIRS,United States,7.971807792338208,42.58674675525108
AIRTP,United States,8.991664579676241,4.076865035046054
AKA,United States,8.96905965921556,6.79888731029389
AIZ,United States,8.992475308191269,28.488489106434773
AKAM,United States,7.988929412402857,-4.093221890724311
ALAB,United States,8.971902338445922,246.95237796257777
AIT,United States,8.990866964510044,24.058591697831144
AKO-B,United States,8.988060272023116,18.290054617115565
ALDFU,United States,7.994354290543029,1.5023549935911291
AKO-A,United States,7.987263975487544,-6.741612281061158
ALDF,United States,8.999187585144728,1.5151500099837776
AKR,United States,8.991553172435694,10.557581051077682
ALEC,United States,7.975163349281768,-14.522826995274068
ALFUU,United States,8.997057280143528,1.1121398144886905
ALF,United States,8.99906357153853,0.8333347314669516
ALGM,United States,8.984328765473624,70.19939634168175
ALGN,United States,7.985031310373445,8.15943591496651
ALGT,United States,8.983467163099498,43.252056271115755
ALHC,United States,8.980906597690424,26.86566602712197
ALKS,United States,8.988700283393543,56.65901719865671
ALCO,United States,7.990961894822539,-0.7341471459531452
ALIT,United States,8.680166231658799,2345.96914646865
ALL-PJ,United States,8.997780808132827,3.177867894981925
ALK,United States,8.987114364316565,36.860427663001914
ALLR,United States,8.963205806619559,12.931032799512062
ALMU,United States,8.96222753295076,40.25298340769841
ALM,United States,8.977496629723303,2.2786483677919587
ALLY,United States,8.988436706700917,14.529035541950028
ALMS,United States,8.965331892057007,13.393235123517757
ALLO,United States,7.974312245074028,-16.129035979478314
ALNT,United States,8.985597292409146,43.61561389790203
ALOT,United States,8.98461569653794,212.95281342832112
ALOY,United States,8.949256964350418,44.504900319237045
ALRS,United States,8.990178751306962,31.439026300698863
ALSN,United States,7.991167770411353,-0.3423987605824771
ALTO,United States,8.976082497155229,19.057812675495473
ALTG-PA,United States,8.99524730868218,3.3946407468136512
ALX,United States,8.99216359164627,21.41306527030144
AM,United States,7.992083141402144,-0.2480011493645288
AMAL,United States,8.989851944033191,17.344493711592246
AMBQ,United States,7.972823594944451,190.39606197031048
AMAT,United States,8.986329484167632,73.26876693357623
AMBA,United States,8.98050907477159,55.045506907138005
AMC,United States,7.969062815692352,68.74999800430878
AMD,United States,8.983139988294475,138.07816428699712
AMCR,United States,7.992431650016698,14.574550507925537
AMCX,United States,8.982077979774965,43.09623597919207
ALXO,United States,8.970015635477967,5.076137217272785
AMG,United States,8.99032320626052,29.792234318722706
AME,United States,8.99344491378522,7.642016272674939
AMH-PG,United States,8.996073087994073,3.0016221689322538
AMJB,United States,8.994564330721285,1.9785552501751933
AMN,United States,8.984358647261146,90.93405793015792
AMBP,United States,8.987133986290338,21.08259746457069
AMH-PH,United States,8.996266179053123,0.674663284698419
AMH,United States,8.99327964829591,18.36731773628103
AMLX,United States,8.972694819313915,22.207362480640253
AMKR,United States,8.984001771631373,49.31128165447452
AMGN,United States,8.992777295917788,8.344934320868779
AMP,United States,7.991634806303381,13.136941635512848
AMPG,United States,8.968120600154663,210.3626908761593
AMRN,United States,7.979079089155098,11.058352058519633
AMRX,United States,8.984702651103806,37.41987377875427
AMRZ,United States,7.989236041506566,-0.1055606875205443
AMTB,United States,8.989172765179505,11.86302426067242
AMUB,United States,8.994055630142855,1.7111822669129546
AMWL,United States,8.976930779778339,68.18181818181817
AMZN,United States,8.989295089749234,15.68384098126443
AMX,United States,8.992216885768752,0.5473001957231994
ANAB,United States,8.98034687276968,64.92717337788487
ANDE,United States,7.988346594216308,-9.420481553726749
ANF,United States,7.98165459111804,0.1842798579352981
ANGO,United States,8.983809796490084,26.964108824687568
ANIP,United States,8.986127832336573,15.92777232266181
ANL,United States,8.963940862461147,16.014662800360764
ANSC,United States,8.99943009469166,1.2223249667628873
ANIK,United States,8.98664357423073,3.783780126522939
ANRO,United States,8.965517151013106,14.298894547200018
ANNX,United States,7.973106658255983,-0.7272720336914062
ANET,United States,8.985722751663147,26.294604600365897
ANSCU,United States,8.995213433994978,3.5135078941033204
AOMN,United States,7.997605117763346,0.9936407055491868
AOMD,United States,8.998166705270858,3.84139638572019
AOMR,United States,8.98840993354608,15.14482830331042
ANTX,United States,8.965216555610226,35.1681988402212
AOSL,United States,8.978588525419916,63.4081994997724
AOD,United States,8.994965806505753,13.847394822731982
AOUT,United States,8.984727161473769,48.06201861492056
AON,United States,8.993022467110585,10.91260011559739
APG,United States,7.990197621010408,-0.1189608339583761
APGE,United States,8.978405687498935,57.5883441227969
API,United States,7.972398728553201,9.562845214297583
AP,United States,8.977389464017666,2.5104578301714886
APLD,United States,8.958641831392795,34.60912903982623
APA,United States,7.985466996898411,-22.51046586181984
APLM,United States,8.954967202308994,32.88042874397661
APD,United States,8.992075617582067,7.696057422956734
APH,United States,8.990673404308204,28.77992720008658
APLE,United States,8.991831807494961,46.65489279031624
APOS,United States,8.997826712228473,1.9835293754003136
APOG,United States,7.988766550917671,22.57832142378825
APEI,United States,7.98069072411302,-1.6302438938545598
APPS,United States,8.967016382889401,339.7923728991839
APT,United States,8.984651980603534,23.873872277450488
APYX,United States,8.969830389468742,16.847829150285918
AQNB,United States,7.99651293983241,-0.2454089815497337
ARCB,United States,8.98501690786299,39.098352671432544
ARCO,United States,7.989203294226918,-0.6235312664420141
ARDT,United States,7.984032260820041,24.249427465027903
ARDC,United States,7.995862955517314,9.489614635905744
ARGX,United States,8.98838768121037,25.891591086848887
ARL,United States,8.981649903734372,44.15760141584352
ARI,United States,7.99077697963666,-2.2577588761464167
ARKO,United States,8.98611859783903,42.9142515440045
GAB,United States,7.99455186566004,9.075585065109056
GAINI,United States,8.998716222499406,2.441316879515423
GAIN,United States,8.993297215383961,9.876716141520363
GALT,United States,8.973429366043282,68.91386142362498
GABC,United States,8.992037337306336,12.449273908682176
GAINZ,United States,8.995388627768268,0.5197015051062144
GAM-PB,United States,8.997456562187267,0.796849378955176
GAM,United States,8.995237864400012,8.152908968042425
GASS,United States,7.985448791064339,-13.941299046375663
GBDC,United States,7.994837425522353,4.887901793335673
GBTG,United States,8.984689098842807,69.0647430803938
GBAB,United States,8.99560468850136,1.551389507088886
GCBC,United States,8.986962301478929,51.83017646796371
GBCI,United States,8.98950619224901,14.618072358642056
GCMG,United States,8.991972056160854,34.608080253848954
GCO,United States,8.981706885528757,16.80169270980298
GCTS,United States,8.91543150524382,118.33331512080372
GCV,United States,8.993653661789661,10.24636318317774
GD,United States,8.993797521640886,7.974072797926501
GDRX,United States,7.978065459124956,48.780488939529256
GDL,United States,8.997405747443883,3.3925428068490957
GECCG,United States,7.998029416155324,4.767471344579201
GECCH,United States,8.997222390115398,1.6925312518906954
GDV,United States,8.994936994920026,9.726268871327813
GDOT,United States,8.984714352635578,20.3787213506436
GECCI,United States,8.998313405150508,0.4131608246959583
GEF,United States,8.99137195448225,13.269013408260596
GEF-B,United States,8.991192365941815,5.977533872263956
GEGGL,United States,8.991136334789763,2.895960099337893
GE,United States,8.990686660592573,34.272294813086354
GENC,United States,7.989028420736337,-0.066528778344448
GEO,United States,8.98452944174438,64.22366924379634
GECCO,United States,8.996686637182187,1.998263491743804
GEV,United States,8.983984822499435,23.939009906588343
GFR,United States,7.987393094374086,-12.063495331310232
GFS,United States,8.984504977180741,59.86432764224746
GFF,United States,8.987581603079448,30.34524819884823
GGAL,United States,7.982408623964047,11.123030601559488
GF,United States,8.993799784419114,11.75651939375248
GGR,United States,7.977909060560062,9.695295103100188
GGB,United States,8.98831395188256,8.50126759891082
GH,United States,8.979596921970384,79.025889853434
GGZ,United States,8.99445540788404,9.063608836101125
GHRS,United States,8.973982442423736,85.38092515181553
GGT,United States,8.992146876311228,10.599006936202867
GIBO,United States,8.692692117167507,1755.7252311295326
GHC,United States,8.99214334052494,11.71803210444068
GHM,United States,8.985085617643337,42.05538236177885
GHY,United States,7.995721034903185,6.680444164166231
GIII,United States,8.984630510555737,19.98794357966925
GIC,United States,8.988223050799105,6.897947711643043
GITS,United States,7.460086956109041,-10.169492381566323
GILD,United States,7.99271606176495,-5.4235738605775365
GJH,United States,7.994579088685712,-0.5412214189372483
GJP,United States,8.99564637572932,0.8099874857047397
GKOS,United States,8.984817638062493,31.54207746179907
GJT,United States,8.996855931242143,1.739827640197052
GJS,United States,7.996770863639542,-0.2122793210357763
GJO,United States,8.997317925482648,1.8162510083037149
GJR,United States,8.996281360033091,0.7210508472018845
GLAS,United States,8.975679677262747,46.5416224068974
GLBS,United States,8.980370940769461,30.37974950958201
GLBE,United States,7.979662263371495,18.184727753206953
GL,United States,8.989318649459626,26.57082592418929
GLNG,United States,7.988266949832308,-10.910611029332836
GLOP-PB,United States,8.996184773019436,2.9602575148770636
GLO,United States,8.994056527155998,13.09266879370079
GLRE,United States,7.9920007000824,-8.291313784915832
GLOP-PA,United States,8.995656062350562,1.9361146788221792
GLP-PB,United States,8.997795791465045,2.205049956275459
GLSI,United States,7.976223021401987,-3.593337886898404
GLOP-PC,United States,8.995718266957024,2.546513321343801
GLU-PB,United States,8.99888774178524,0.9544515892027818
GLQ,United States,8.993995426153536,16.899337084213034
GLP,United States,7.989151192087661,7.1706464166231605
GLUE,United States,8.969776431285169,41.66178389885271
GLV,United States,8.994886629889896,15.036111743589354
GLU,United States,8.99424267399798,1.077435918080068
GM,United States,7.988989118109716,4.996881125889311
GLW,United States,8.988466152438846,33.242028049693936
GNL-PD,United States,8.994428501586615,6.990870406209651
GNK,United States,8.987629178725268,2.783997869591881
GNL-PA,United States,8.993427924656874,7.510729901595134
GNL-PB,United States,7.993059832040566,6.343128705095246
GNL,United States,7.991382321688496,-0.1616970739042777
GNE,United States,7.987165039624859,4.030732745013573
GNL-PE,United States,8.994705536775008,7.719859939138209
GNTA,United States,7.96921525909815,142.2535324777744
GNW,United States,8.990048992259265,14.541111602283044
GO,United States,7.985255569636437,43.905826111484664
GNT,United States,7.994046286470256,-1.9357551638328745
GNTX,United States,8.992125144708934,14.590765768637798
GNRC,United States,8.984183377732162,30.176726482211073
GOODN,United States,8.994488222788739,3.8851632431868066
GOLD,United States,8.985757839953656,7.130723615689967
GOOD,United States,7.9924622832308305,10.535700622566974
GOODO,United States,7.993954741245338,3.2088696925378524
GOLF,United States,8.990531488190921,25.583549630356018
GPAT,United States,7.999043119061729,-0.0919138674324344
GPATU,United States,8.996070475555076,1.011956373830159
GOOG,United States,8.990579281031703,21.03320719427161
GORO,United States,8.971654732439884,1.5999984741210938
GOOGL,United States,8.990532903284787,21.75845234867705
GP,United States,7.972173449948329,47.115387260561256
GPC,United States,8.99167825575028,29.52002381063657
GPRE,United States,7.981907646284498,-8.549522015707737
GPRK,United States,8.985895712451153,2.718170635833955
GRAF,United States,8.998143528531198,0.4655511340821719
GPN,United States,7.988935220435665,23.234247150275795
GRDN,United States,8.985639332518272,10.555404433704249
GRBK,United States,8.987103911005061,21.270086993779152
GRBK-PA,United States,7.994782887772134,6.828734083604438
GREEL,United States,8.975189946467239,22.17974501984844
GRDX,United States,7.957818628798366,84.1004143195988
GREE,United States,8.959698267937918,71.42857467236176
GRC,United States,8.990713052544066,34.83276528448313
GRN,United States,7.988110768953882,12.038682164886175
GRND,United States,7.96734241636997,32.18106971335924
GRPN,United States,7.973034870772731,122.43478194527005
GRMN,United States,8.99085648177417,1.4446328237804502
GRWG,United States,7.9742163774415316,33.63636334080342
GROW,United States,8.98922274817872,19.037469338661104
GRRR,United States,7.955386678021657,65.56350378910662
GRVY,United States,7.987114891095898,3.8315420986210382
GS,United States,8.991571425026248,18.824125836597705
GSHRU,United States,8.996017576723599,1.0556588855263176
GSHR,United States,8.999214621266036,0.8662097780527329
GRX,United States,8.995145271199872,7.676790741273436
GSAT,United States,8.97674784369757,3.4220968967417
GSG,United States,7.993184192161561,-15.18684546439348
GSIW,United States,7.918019789598231,71.47024758587965
GSBD,United States,7.994192671443069,9.706260897200323
GSL,United States,8.988994174395353,0.7571378028722665
GSBC,United States,8.991811385471863,23.690927767013378
GSL-PB,United States,8.996652750623978,1.610952898348241
GSRFU,United States,7.99808350070602,1.2658145566909675
GSK,United States,7.992815076445432,-4.480757350046236
GTEN,United States,8.998548996046317,2.742406776934831
GTERA,United States,7.999346325037634,0.1943679090166895
GTENU,United States,8.997157596436391,3.5316862096848833
GTERU,United States,7.998835679275151,0.9699265152806646
GTLS,United States,8.984350388426254,0.787099769007173
GTES,United States,8.989559513680796,21.098001022560368
GTX,United States,8.9874547558164,72.88280888202414
GVH,United States,7.9543181865434605,63.00365487819256
GTIM,United States,7.985189369013264,22.68907293644723
GTY,United States,8.993782601681321,7.229987434281315
GUG,United States,8.994769404495024,6.3390849332651324
GVA,United States,8.991036389942183,20.136086099512283
GUT,United States,8.993554168447991,13.234924047567626
GWW,United States,8.992573643955138,20.425619390534298
H,United States,8.98967297002534,33.43194768706161
HAFN,United States,7.988377106002932,-7.844546179988618
HALO,United States,8.988163950030184,23.19739429372377
HAPN,United States,8.980447542705488,37.50000665973699
HAFC,United States,8.989654486192466,23.892549813784257
HASI,United States,8.985856825984914,4.245787607617229
HAYW,United States,8.987711106497404,26.83108496418411
HBANL,United States,8.995012939375586,3.1986327161799317
HAL,United States,7.988011575897257,-13.28210310119346
HBIO,United States,7.970879558421588,18.269236941309597
HBCP,United States,8.99100559416234,13.47347765645874
HBAN,United States,8.990587401996155,14.130947562847668
HBB,United States,8.983718232341172,25.11394786545259
HBM,United States,8.983276360777205,4.418018875825982
HBT,United States,8.991297394053078,18.257747203593688
HBNC,United States,8.989285395681655,18.948380313951457
HCHL,United States,7.96787406708775,152.2292933660792
HCMAU,United States,7.998657663295006,1.749274109262161
