yf_symbol,market_name,quality_score,momentum_3m
ADSE,United States,6.982262503611782,15.706315468721163
ADP,United States,6.993302484268506,19.65496212844571
AGPU,United States,6.957808834845477,73.95576474425538
AGO,United States,6.991829873855077,3.6864746503694854
AGYS,United States,6.985395041167031,55.87284184389887
AIG,United States,6.992055598020968,5.963376883402777
AJG,United States,6.99300158650081,16.391830379351255
AIV,United States,6.991392865921027,4.969752311379979
ALRM,United States,6.989717355855167,13.785208862327424
AMPL,United States,6.980414234525773,29.239765429585653
ANGH,United States,6.956522503714962,2.040814340536656
ANIX,United States,5.978581560715958,28.235295767602658
AQB,United States,5.970754900757466,17.579907137867245
ARCC,United States,6.994007954202253,6.184202658326412
ARIS,United States,6.984100684548007,-17.141375232973605
GEN,United States,6.99050800393524,41.942438783929525
GLAD,United States,6.992885100211306,11.848331711494597
GLL,United States,6.989024974165241,26.818408321740755
GLXY,United States,5.973277393984688,39.39909865880084
GPCR,United States,6.970537827650871,-0.0560934546627719
GSIT,United States,5.954516309836295,25.367648895688102
HAE,United States,6.987992163268257,32.09571929628605
HCAT,United States,6.978500671621969,77.77777777777779
HELP,United States,6.97571355113926,21.874998253770137
HIVE,United States,5.9720027842090415,68.7500042685619
HLN,United States,6.992808110798638,0.2035987603850256
HOVR,United States,5.957873209234533,31.972790439642228
HPK,United States,6.979297152260597,-2.8985548309857627
HRI,United States,6.9843334438267535,48.94766669272258
HRB,United States,6.990059560943289,25.794568956363396
HSCS,United States,6.949406524553494,21.304348682410794
HUHU,United States,6.97097025623868,-10.740351580633112
IBN,United States,6.992901603293341,15.150328263554613
IFED,United States,6.993974906264427,7.95235418110025
INKT,United States,5.8926108279787535,9.167451210278772
IONQ,United States,5.969720036648949,67.64505191438569
IPI,United States,6.981915505411936,-23.33332781740873
IREN,United States,5.964556654744873,11.647970042393936
IRS,United States,6.984933292612153,-5.045040349302558
ISSC,United States,6.9822212151960885,-18.33925836662865
JACK,United States,6.984858933429276,72.17218375385694
JL,United States,5.824757585391698,-17.045451928515064
JLHL,United States,5.9427965354042565,27.478259542713996
SLM,United States,6.989213142367183,19.015087824990417
SLNH,United States,5.956676500996771,67.60564692742665
SMWB,United States,6.9802238085670885,130.59700277606402
SMP,United States,5.990481154283268,7.616265647757441
072020.KQ,South Korea,6.990734904973988,6.976744186046512
050760.KQ,South Korea,6.986769481002014,-5.1194539249146755
XPD.AX,Australia,5.955917948046835,10.000001862645192
XEN.AX,Australia,6.941991508408343,-25.000002910382907
9999.HK,Hong Kong,6.985834796059972,19.22957382965888
2320.SR,Saudi Arabia,5.989806092515352,6.3826838699885595
ALPL30IETF.NS,India,6.995977025641053,10.380761817190232
SMEL.BO,India,6.98784494288054,-14.206789107308158
QUANTDIA.BO,India,6.9838466636416605,38.54679998219495
ELANGO.BO,India,6.983073028781269,47.98154337722142
AASHKA.BO,India,6.983915210268433,35.41666666666667
SPACAPS.BO,India,6.985223328394686,-2.114594827443838
SHIVAEXPO.BO,India,6.982570744218849,-3.533836543522934
TRANSPACT.BO,India,6.9848040530921125,-5.75
GETALONG.BO,India,6.984728999910418,84.8837082936616
ADHHATA.BO,India,6.985443151720872,44.95798784009109
PADALPO.BO,India,6.983187591380931,-1.08509726769861
LIQUIDIETF.NS,India,5.999908084872921,0.0
JPTRLES.BO,India,6.99808962938682,0.0
SPVGLOBAL.BO,India,6.9955930035620595,0.0
WARDHEALTH.BO,India,6.996751131177792,0.0
IGLFXPL-B.BO,India,6.991400548708477,0.0
OCTAWARE.BO,India,6.985260940046157,-0.2509407961481608
SHYAM.BO,India,6.98440984278077,0.0
ZSOUTGAS.BO,India,5.9489965432907805,0.0
SPINAROO.BO,India,6.9844860040562775,-0.3684907755482129
MIHIKA.BO,India,6.985059601290391,48.6788606460872
SCARNOSE.BO,India,6.987028669781491,0.0
VAPIENTER.BO,India,6.9842262939002,28.296703296703296
MHEL.BO,India,6.987209412015023,17.860377518754962
ELM250.NS,India,6.994717690669837,12.12120667220076
